"Element";"Quota";"Centrality";"Value"
"chernavka";"30";"SRIC_EX";"0.0557399196356758"
"chernavka";"30";"Max";"0.0987296891881969"
"podschipa";"30";"SRIC_EX";"0.294440798596136"
"podschipa";"30";"Max";"0.182820908204047"
"durduran";"30";"SRIC_EX";"0.157826751044363"
"durduran";"30";"Max";"0.147842779368726"
"sljunjaj";"30";"SRIC_EX";"0.151209206705312"
"sljunjaj";"30";"Max";"0.158752137290074"
"tsyganka";"30";"SRIC_EX";"0.0349344891475405"
"tsyganka";"30";"Max";"0.0667227869213582"
"vakula";"30";"SRIC_EX";"0.180020350280016"
"vakula";"30";"Max";"0.154364792145262"
"trumf";"30";"SRIC_EX";"0.106857434385523"
"trumf";"30";"Max";"0.125688390974604"
"pazh";"30";"SRIC_EX";"0.0189710502054346"
"pazh";"30";"Max";"0.065078515907732"
"chernavka";"50";"SRIC_EX";"0.0571454127547425"
"chernavka";"50";"Max";"0.0852396304494274"
"podschipa";"50";"SRIC_EX";"0.276757669768213"
"podschipa";"50";"Max";"0.205129438937542"
"durduran";"50";"SRIC_EX";"0.157116356986399"
"durduran";"50";"Max";"0.146124049658358"
"sljunjaj";"50";"SRIC_EX";"0.161851586468634"
"sljunjaj";"50";"Max";"0.146223294196901"
"tsyganka";"50";"SRIC_EX";"0.0349979101843405"
"tsyganka";"50";"Max";"0.0707703782119142"
"vakula";"50";"SRIC_EX";"0.179489357294505"
"vakula";"50";"Max";"0.161783033394284"
"trumf";"50";"SRIC_EX";"0.112690550680224"
"trumf";"50";"Max";"0.124768429410066"
"pazh";"50";"SRIC_EX";"0.019951155862942"
"pazh";"50";"Max";"0.0599617457415071"
"chernavka";"70";"SRIC_EX";"0.0602518588222145"
"chernavka";"70";"Max";"0.0806150334178524"
"podschipa";"70";"SRIC_EX";"0.234504043151093"
"podschipa";"70";"Max";"0.209361071408576"
"durduran";"70";"SRIC_EX";"0.161054068076221"
"durduran";"70";"Max";"0.146905180857871"
"sljunjaj";"70";"SRIC_EX";"0.172251869205881"
"sljunjaj";"70";"Max";"0.147923361300604"
"tsyganka";"70";"SRIC_EX";"0.0354625054738881"
"tsyganka";"70";"Max";"0.0719194213402007"
"vakula";"70";"SRIC_EX";"0.176747643825466"
"vakula";"70";"Max";"0.163696029648666"
"trumf";"70";"SRIC_EX";"0.138859473322765"
"trumf";"70";"Max";"0.12323824355026"
"pazh";"70";"SRIC_EX";"0.0208685381224705"
"pazh";"70";"Max";"0.0563416584759707"
