"Element";"Quota";"Centrality";"Value"
"ivan";"30";"SRIC_EX";"0.0563375753758926"
"ivan";"30";"Max";"0.0748995986100574"
"taratora";"30";"SRIC_EX";"0.172592878172169"
"taratora";"30";"Max";"0.144436148385024"
"tyanislov";"30";"SRIC_EX";"0.123558706490771"
"tyanislov";"30";"Max";"0.115514682489096"
"azbukin";"30";"SRIC_EX";"0.079708520794382"
"azbukin";"30";"Max";"0.0914249049322859"
"rifmokrad";"30";"SRIC_EX";"0.146341825715462"
"rifmokrad";"30";"Max";"0.127762432331046"
"milon";"30";"SRIC_EX";"0.0421855579911817"
"milon";"30";"Max";"0.0594779675830876"
"priyata";"30";"SRIC_EX";"0.0395450467345567"
"priyata";"30";"Max";"0.0568096787253524"
"trojkina";"30";"SRIC_EX";"0.101624017711417"
"trojkina";"30";"Max";"0.101424876238433"
"plutana";"30";"SRIC_EX";"0.121770025476746"
"plutana";"30";"Max";"0.117769927099251"
"lancetin";"30";"SRIC_EX";"0.116335845537421"
"lancetin";"30";"Max";"0.110479783606367"
"ivan";"50";"SRIC_EX";"0.0523389452169076"
"ivan";"50";"Max";"0.0737244542004682"
"taratora";"50";"SRIC_EX";"0.184869396350189"
"taratora";"50";"Max";"0.145553028751221"
"tyanislov";"50";"SRIC_EX";"0.125492601743093"
"tyanislov";"50";"Max";"0.116481379372497"
"azbukin";"50";"SRIC_EX";"0.0756049422773883"
"azbukin";"50";"Max";"0.0906182321304298"
"rifmokrad";"50";"SRIC_EX";"0.149947483156668"
"rifmokrad";"50";"Max";"0.128357543563067"
"milon";"50";"SRIC_EX";"0.0346675897926663"
"milon";"50";"Max";"0.0586884615694394"
"priyata";"50";"SRIC_EX";"0.033447158558412"
"priyata";"50";"Max";"0.0564302284550869"
"trojkina";"50";"SRIC_EX";"0.0995847294911227"
"trojkina";"50";"Max";"0.101873131880248"
"plutana";"50";"SRIC_EX";"0.126874255501962"
"plutana";"50";"Max";"0.116687263012323"
"lancetin";"50";"SRIC_EX";"0.117172897911592"
"lancetin";"50";"Max";"0.11158627706522"
"ivan";"70";"SRIC_EX";"0"
"ivan";"70";"Max";"0.0737348279753861"
"taratora";"70";"SRIC_EX";"0"
"taratora";"70";"Max";"0.145097866609539"
"tyanislov";"70";"SRIC_EX";"0"
"tyanislov";"70";"Max";"0.116726513447092"
"azbukin";"70";"SRIC_EX";"0"
"azbukin";"70";"Max";"0.0907383784738303"
"rifmokrad";"70";"SRIC_EX";"0"
"rifmokrad";"70";"Max";"0.12845285571383"
"milon";"70";"SRIC_EX";"0"
"milon";"70";"Max";"0.0585268907491868"
"priyata";"70";"SRIC_EX";"0"
"priyata";"70";"Max";"0.0564847515223749"
"trojkina";"70";"SRIC_EX";"0"
"trojkina";"70";"Max";"0.101885292073454"
"plutana";"70";"SRIC_EX";"0"
"plutana";"70";"Max";"0.116856975277076"
"lancetin";"70";"SRIC_EX";"0"
"lancetin";"70";"Max";"0.11149564815823"
