"Element";"Quota";"Centrality";"Value"
"blez";"30";"SRIC_EX";"0.141533393167206"
"blez";"30";"Max";"0.120166270121319"
"muzhiki";"30";"SRIC_EX";"0.0173712246593475"
"muzhiki";"30";"Max";"0.0361507228761754"
"nineta";"30";"SRIC_EX";"0.059610279636986"
"nineta";"30";"Max";"0.0740108546765558"
"zhaneta";"30";"SRIC_EX";"0.0614154315571206"
"zhaneta";"30";"Max";"0.0747345243082314"
"hor";"30";"SRIC_EX";"0.0173712246593475"
"hor";"30";"Max";"0.0361507228761754"
"zhuleta";"30";"SRIC_EX";"0.185744045430948"
"zhuleta";"30";"Max";"0.155265354486633"
"rabotniki";"30";"SRIC_EX";"0.0173712246593475"
"rabotniki";"30";"Max";"0.0361507228761754"
"graf";"30";"SRIC_EX";"0.21058179616584"
"graf";"30";"Max";"0.167951908523416"
"paulin";"30";"SRIC_EX";"0.134234902577347"
"paulin";"30";"Max";"0.147573375305205"
"filipp";"30";"SRIC_EX";"0.15476647748651"
"filipp";"30";"Max";"0.151845543950114"
"blez";"50";"SRIC_EX";"0.109506415585856"
"blez";"50";"Max";"0.132522220603235"
"muzhiki";"50";"SRIC_EX";"0.0145264384936116"
"muzhiki";"50";"Max";"0.0345304908379265"
"nineta";"50";"SRIC_EX";"0.056588269211665"
"nineta";"50";"Max";"0.0732161967974195"
"zhaneta";"50";"SRIC_EX";"0.0640068301707927"
"zhaneta";"50";"Max";"0.0766604531043527"
"hor";"50";"SRIC_EX";"0.0145264384936116"
"hor";"50";"Max";"0.0345304908379265"
"zhuleta";"50";"SRIC_EX";"0.199531205755744"
"zhuleta";"50";"Max";"0.161008305405799"
"rabotniki";"50";"SRIC_EX";"0.0145264384936116"
"rabotniki";"50";"Max";"0.0345304908379265"
"graf";"50";"SRIC_EX";"0.215742945196023"
"graf";"50";"Max";"0.167248664754028"
"paulin";"50";"SRIC_EX";"0.135016823879568"
"paulin";"50";"Max";"0.134177774874766"
"filipp";"50";"SRIC_EX";"0.176028194719517"
"filipp";"50";"Max";"0.15157491194662"
"blez";"70";"SRIC_EX";"0.114914861411368"
"blez";"70";"Max";"0.134714649818256"
"muzhiki";"70";"SRIC_EX";"0"
"muzhiki";"70";"Max";"0.0320919513568398"
"nineta";"70";"SRIC_EX";"0.0248575750294107"
"nineta";"70";"Max";"0.0707353074517426"
"zhaneta";"70";"SRIC_EX";"0.0284380847206367"
"zhaneta";"70";"Max";"0.07550474194736"
"hor";"70";"SRIC_EX";"0"
"hor";"70";"Max";"0.0320919513568398"
"zhuleta";"70";"SRIC_EX";"0.197172721386547"
"zhuleta";"70";"Max";"0.164622477876822"
"rabotniki";"70";"SRIC_EX";"0"
"rabotniki";"70";"Max";"0.0320919513568398"
"graf";"70";"SRIC_EX";"0.227401113299118"
"graf";"70";"Max";"0.171109441874704"
"paulin";"70";"SRIC_EX";"0.204485104445509"
"paulin";"70";"Max";"0.135618393518526"
"filipp";"70";"SRIC_EX";"0.202730539707411"
"filipp";"70";"Max";"0.151419133442071"
