"Element";"Quota";"Centrality";"Value"
"semen";"30";"SRIC_EX";"0.100899035663164"
"semen";"30";"Max";"0.11853092735486"
"dasha";"30";"SRIC_EX";"0.171420240754251"
"dasha";"30";"Max";"0.162010629807403"
"liza";"30";"SRIC_EX";"0.00028618005836029"
"liza";"30";"Max";"0.0169827832906618"
"velkarov";"30";"SRIC_EX";"0.0624431713907339"
"velkarov";"30";"Max";"0.0993632655694249"
"fekla";"30";"SRIC_EX";"0.243308203434595"
"fekla";"30";"Max";"0.190577188961747"
"lukerja";"30";"SRIC_EX";"0.265851147854339"
"lukerja";"30";"Max";"0.194459190672093"
"njanja_vasilisa";"30";"SRIC_EX";"0.127459685834033"
"njanja_vasilisa";"30";"Max";"0.140878535283056"
"sidorka";"30";"SRIC_EX";"0.0261521661914264"
"sidorka";"30";"Max";"0.0573630313073543"
"sluga";"30";"SRIC_EX";"0.00218016881909737"
"sluga";"30";"Max";"0.0198344477534004"
"semen";"50";"SRIC_EX";"0.0935570188147219"
"semen";"50";"Max";"0.121018706229765"
"dasha";"50";"SRIC_EX";"0.190383656357083"
"dasha";"50";"Max";"0.164321924078046"
"liza";"50";"SRIC_EX";"0.000995035541306256"
"liza";"50";"Max";"0.0158212398389844"
"velkarov";"50";"SRIC_EX";"0.0565602276605364"
"velkarov";"50";"Max";"0.0907191584356291"
"fekla";"50";"SRIC_EX";"0.244491099150783"
"fekla";"50";"Max";"0.194635316937364"
"lukerja";"50";"SRIC_EX";"0.25769257166727"
"lukerja";"50";"Max";"0.200980935995745"
"njanja_vasilisa";"50";"SRIC_EX";"0.128223307321248"
"njanja_vasilisa";"50";"Max";"0.137361506666484"
"sidorka";"50";"SRIC_EX";"0.0262165147708996"
"sidorka";"50";"Max";"0.0575527125346531"
"sluga";"50";"SRIC_EX";"0.00188056871615232"
"sluga";"50";"Max";"0.0175884992833297"
"semen";"70";"SRIC_EX";"0.0995918430582273"
"semen";"70";"Max";"0.119832023817909"
"dasha";"70";"SRIC_EX";"0.190940388457699"
"dasha";"70";"Max";"0.165815647121555"
"liza";"70";"SRIC_EX";"0"
"liza";"70";"Max";"0.0102064414412412"
"velkarov";"70";"SRIC_EX";"0.0624931290516779"
"velkarov";"70";"Max";"0.0912730515379997"
"fekla";"70";"SRIC_EX";"0.232769465862812"
"fekla";"70";"Max";"0.197354809477467"
"lukerja";"70";"SRIC_EX";"0.238753609297645"
"lukerja";"70";"Max";"0.203617167826785"
"njanja_vasilisa";"70";"SRIC_EX";"0.146646471335872"
"njanja_vasilisa";"70";"Max";"0.137396223424569"
"sidorka";"70";"SRIC_EX";"0.0263451346562593"
"sidorka";"70";"Max";"0.0578152932694025"
"sluga";"70";"SRIC_EX";"0.00245995827980763"
"sluga";"70";"Max";"0.0166893420830718"
