"Element";"Quota";"Centrality";"Value"
"grunya";"30";"SRIC_EX";"0.18214445236188"
"grunya";"30";"Max";"0.108035650493567"
"rezinkin";"30";"SRIC_EX";"0.259091592128102"
"rezinkin";"30";"Max";"0.125169805794155"
"grivennichkin";"30";"SRIC_EX";"0.0318734973763187"
"grivennichkin";"30";"Max";"0.0423356732095058"
"mamaev";"30";"SRIC_EX";"0.0719587801426037"
"mamaev";"30";"Max";"0.0724364280100577"
"lipina";"30";"SRIC_EX";"0.0218006030682344"
"lipina";"30";"Max";"0.0460809546675794"
"vanechka";"30";"SRIC_EX";"0.00807190740095505"
"vanechka";"30";"Max";"0.0194477629547905"
"krestyanka";"30";"SRIC_EX";"0.00807190740095505"
"krestyanka";"30";"Max";"0.0194477629547905"
"podsnezhnikov";"30";"SRIC_EX";"0.00291999140797882"
"podsnezhnikov";"30";"Max";"0.0293913861256175"
"raznesenskij";"30";"SRIC_EX";"0.0503100231187279"
"raznesenskij";"30";"Max";"0.056841473369538"
"poddevkina";"30";"SRIC_EX";"0.0343816542301746"
"poddevkina";"30";"Max";"0.0425784987589312"
"rezinkina";"30";"SRIC_EX";"0.0747893080294478"
"rezinkina";"30";"Max";"0.0825913070352235"
"muha";"30";"SRIC_EX";"0.0430870320104589"
"muha";"30";"Max";"0.0523103913431624"
"lososinin";"30";"SRIC_EX";"0.027400714084811"
"lososinin";"30";"Max";"0.0322263684810063"
"dvorovyj_chelovek";"30";"SRIC_EX";"0.027400714084811"
"dvorovyj_chelovek";"30";"Max";"0.0322263684810063"
"polovoj";"30";"SRIC_EX";"0.027400714084811"
"polovoj";"30";"Max";"0.0322263684810063"
"vse_2-1";"30";"SRIC_EX";"0.027400714084811"
"vse_2-1";"30";"Max";"0.0322263684810063"
"muzykant";"30";"SRIC_EX";"0.027400714084811"
"muzykant";"30";"Max";"0.0322263684810063"
"odin_iz_cygan";"30";"SRIC_EX";"0.027400714084811"
"odin_iz_cygan";"30";"Max";"0.0322263684810063"
"praskovya_stepanovna";"30";"SRIC_EX";"0.0322268631167325"
"praskovya_stepanovna";"30";"Max";"0.0410083218190981"
"vse_3-3";"30";"SRIC_EX";"0.00756851796555668"
"vse_3-3";"30";"Max";"0.0239735042432756"
"slesar";"30";"SRIC_EX";"0.00487313512979472"
"slesar";"30";"Max";"0.0289307771533203"
"kuharka";"30";"SRIC_EX";"0.00242645060321246"
"kuharka";"30";"Max";"0.0160620911813499"
"grunya";"50";"SRIC_EX";"0.240391933282697"
"grunya";"50";"Max";"0.113331994468555"
"rezinkin";"50";"SRIC_EX";"0.23306548647189"
"rezinkin";"50";"Max";"0.138099622432249"
"grivennichkin";"50";"SRIC_EX";"0.00481865272796499"
"grivennichkin";"50";"Max";"0.0413262570191698"
"mamaev";"50";"SRIC_EX";"0.138876959803319"
"mamaev";"50";"Max";"0.0746212750507183"
"lipina";"50";"SRIC_EX";"0.0279263080950816"
"lipina";"50";"Max";"0.0397862813751611"
"vanechka";"50";"SRIC_EX";"0.012265718644956"
"vanechka";"50";"Max";"0.0190755298215176"
"krestyanka";"50";"SRIC_EX";"0.012265718644956"
"krestyanka";"50";"Max";"0.0190755298215176"
"podsnezhnikov";"50";"SRIC_EX";"0.00392191238407265"
"podsnezhnikov";"50";"Max";"0.0211532440598486"
"raznesenskij";"50";"SRIC_EX";"0.0278751009316489"
"raznesenskij";"50";"Max";"0.0562395260084698"
"poddevkina";"50";"SRIC_EX";"0.0537181579419232"
"poddevkina";"50";"Max";"0.0433547291316667"
"rezinkina";"50";"SRIC_EX";"0.15489462723319"
"rezinkina";"50";"Max";"0.0814844864055812"
"muha";"50";"SRIC_EX";"0.0213462437504598"
"muha";"50";"Max";"0.0537023146668562"
"lososinin";"50";"SRIC_EX";"0.00027292576419214"
"lososinin";"50";"Max";"0.0331463761523089"
"dvorovyj_chelovek";"50";"SRIC_EX";"0.00027292576419214"
"dvorovyj_chelovek";"50";"Max";"0.0331463761523089"
"polovoj";"50";"SRIC_EX";"0.00027292576419214"
"polovoj";"50";"Max";"0.0331463761523089"
"vse_2-1";"50";"SRIC_EX";"0.00027292576419214"
"vse_2-1";"50";"Max";"0.0331463761523089"
"muzykant";"50";"SRIC_EX";"0.00027292576419214"
"muzykant";"50";"Max";"0.0331463761523089"
"odin_iz_cygan";"50";"SRIC_EX";"0.00027292576419214"
"odin_iz_cygan";"50";"Max";"0.0331463761523089"
"praskovya_stepanovna";"50";"SRIC_EX";"0.0494437531369568"
"praskovya_stepanovna";"50";"Max";"0.0420343721821169"
"vse_3-3";"50";"SRIC_EX";"0.00873611769230992"
"vse_3-3";"50";"Max";"0.0233180199703056"
"slesar";"50";"SRIC_EX";"0.00516182633543775"
"slesar";"50";"Max";"0.022195373250037"
"kuharka";"50";"SRIC_EX";"0.00365392833798348"
"kuharka";"50";"Max";"0.012323187422376"
"grunya";"70";"SRIC_EX";"0.164865048313542"
"grunya";"70";"Max";"0.130292258940038"
"rezinkin";"70";"SRIC_EX";"0.265692729486311"
"rezinkin";"70";"Max";"0.204606725630232"
"grivennichkin";"70";"SRIC_EX";"0"
"grivennichkin";"70";"Max";"0.0138446742996712"
"mamaev";"70";"SRIC_EX";"0.166134281581485"
"mamaev";"70";"Max";"0.110070981848875"
"lipina";"70";"SRIC_EX";"0.0575242145050791"
"lipina";"70";"Max";"0.0610167394918849"
"vanechka";"70";"SRIC_EX";"0.0121584699453552"
"vanechka";"70";"Max";"0.032734056370721"
"krestyanka";"70";"SRIC_EX";"0.0121584699453552"
"krestyanka";"70";"Max";"0.032734056370721"
"podsnezhnikov";"70";"SRIC_EX";"0"
"podsnezhnikov";"70";"Max";"0.0266706444637675"
"raznesenskij";"70";"SRIC_EX";"0.0194938036850043"
"raznesenskij";"70";"Max";"0.0418629794427931"
"poddevkina";"70";"SRIC_EX";"0.0577908639373871"
"poddevkina";"70";"Max";"0.0633931094367172"
"rezinkina";"70";"SRIC_EX";"0.171151196562295"
"rezinkina";"70";"Max";"0.105053863981169"
"muha";"70";"SRIC_EX";"0"
"muha";"70";"Max";"0.0377514774241823"
"lososinin";"70";"SRIC_EX";"0"
"lososinin";"70";"Max";"0"
"dvorovyj_chelovek";"70";"SRIC_EX";"0"
"dvorovyj_chelovek";"70";"Max";"0"
"polovoj";"70";"SRIC_EX";"0"
"polovoj";"70";"Max";"0"
"vse_2-1";"70";"SRIC_EX";"0"
"vse_2-1";"70";"Max";"0"
"muzykant";"70";"SRIC_EX";"0"
"muzykant";"70";"Max";"0"
"odin_iz_cygan";"70";"SRIC_EX";"0"
"odin_iz_cygan";"70";"Max";"0"
"praskovya_stepanovna";"70";"SRIC_EX";"0.0527565256525653"
"praskovya_stepanovna";"70";"Max";"0.0579833660167577"
"vse_3-3";"70";"SRIC_EX";"0.0094250650230586"
"vse_3-3";"70";"Max";"0.0277023855867918"
"slesar";"70";"SRIC_EX";"0.00572289156626506"
"slesar";"70";"Max";"0.0344467526986564"
"kuharka";"70";"SRIC_EX";"0.00512643979629751"
"kuharka";"70";"Max";"0.0198359279970215"
