"Element";"Quota";"Centrality";"Value"
"konstantin_prohorovich";"30";"SRIC_EX";"0.163411515513013"
"konstantin_prohorovich";"30";"Max";"0.171186349542057"
"stepanida_karpovna";"30";"SRIC_EX";"0.185929662534399"
"stepanida_karpovna";"30";"Max";"0.183730805963882"
"padcheretsin";"30";"SRIC_EX";"0.26943567048871"
"padcheretsin";"30";"Max";"0.208102142869945"
"nadenka";"30";"SRIC_EX";"0.155090275540211"
"nadenka";"30";"Max";"0.162335648865321"
"alinskoj";"30";"SRIC_EX";"0.162780948099948"
"alinskoj";"30";"Max";"0.17396575607283"
"emeljan";"30";"SRIC_EX";"0.0633519278237186"
"emeljan";"30";"Max";"0.100679296685964"
"konstantin_prohorovich";"50";"SRIC_EX";"0.181191023235094"
"konstantin_prohorovich";"50";"Max";"0.166988591662635"
"stepanida_karpovna";"50";"SRIC_EX";"0.18047542411812"
"stepanida_karpovna";"50";"Max";"0.186763556464789"
"padcheretsin";"50";"SRIC_EX";"0.254284401603209"
"padcheretsin";"50";"Max";"0.21316162003781"
"nadenka";"50";"SRIC_EX";"0.139345468768004"
"nadenka";"50";"Max";"0.159380466575201"
"alinskoj";"50";"SRIC_EX";"0.168784678713284"
"alinskoj";"50";"Max";"0.169532975600866"
"emeljan";"50";"SRIC_EX";"0.0759190035622884"
"emeljan";"50";"Max";"0.1041727896587"
"konstantin_prohorovich";"70";"SRIC_EX";"0.173380251981733"
"konstantin_prohorovich";"70";"Max";"0.165107148842414"
"stepanida_karpovna";"70";"SRIC_EX";"0.199089657914844"
"stepanida_karpovna";"70";"Max";"0.18452896366526"
"padcheretsin";"70";"SRIC_EX";"0.239368929403058"
"padcheretsin";"70";"Max";"0.218508978644891"
"nadenka";"70";"SRIC_EX";"0.159707626386479"
"nadenka";"70";"Max";"0.161263753501668"
"alinskoj";"70";"SRIC_EX";"0.163933154370897"
"alinskoj";"70";"Max";"0.167522793105557"
"emeljan";"70";"SRIC_EX";"0.0645203799429889"
"emeljan";"70";"Max";"0.103068362240209"
