"Element";"Quota";"Centrality";"Value"
"PervyjjPonter_VyhodPervyj";"30";"SRIC_EX";"0.00935416858375029"
"PervyjjPonter_VyhodPervyj";"30";"Max";"0.0146892561481842"
"Bankomet";"30";"SRIC_EX";"0.00935416858375029"
"Bankomet";"30";"Max";"0.0146892561481842"
"VtorojjPonter_VyhodPervyj";"30";"SRIC_EX";"0.00935416858375029"
"VtorojjPonter_VyhodPervyj";"30";"Max";"0.0146892561481842"
"TretijjPonter_VyhodPervyj";"30";"SRIC_EX";"0.00935416858375029"
"TretijjPonter_VyhodPervyj";"30";"Max";"0.0146892561481842"
"ChetvertyjjPonter_VyhodPervyj";"30";"SRIC_EX";"0.00935416858375029"
"ChetvertyjjPonter_VyhodPervyj";"30";"Max";"0.0146892561481842"
"KnjazZvezdich";"30";"SRIC_EX";"0.12084873104471"
"KnjazZvezdich";"30";"Max";"0.0706637316934517"
"Shprih";"30";"SRIC_EX";"0.0548690687817055"
"Shprih";"30";"Max";"0.0460634182977892"
"Arbenin";"30";"SRIC_EX";"0.170940501913365"
"Arbenin";"30";"Max";"0.075366960635841"
"Kazarin";"30";"SRIC_EX";"0.0659741021844704"
"Kazarin";"30";"Max";"0.047687972387748"
"Igroki_VyhodVtoroj";"30";"SRIC_EX";"0.0163466976360485"
"Igroki_VyhodVtoroj";"30";"Max";"0.0210523960658606"
"PervyjjPonter_VyhodVtoroj";"30";"SRIC_EX";"0.0163466976360485"
"PervyjjPonter_VyhodVtoroj";"30";"Max";"0.0210523960658606"
"PervyjjIgrok_VyhodVtoroj";"30";"SRIC_EX";"0.0163466976360485"
"PervyjjIgrok_VyhodVtoroj";"30";"Max";"0.0210523960658606"
"VtorojjIgrok_VyhodVtoroj";"30";"SRIC_EX";"0.0163466976360485"
"VtorojjIgrok_VyhodVtoroj";"30";"Max";"0.0210523960658606"
"TretijjPonter_VyhodVtoroj";"30";"SRIC_EX";"0.0163466976360485"
"TretijjPonter_VyhodVtoroj";"30";"Max";"0.0210523960658606"
