"Element";"Quota";"Centrality";"Value"
"pavel_grigorich";"30";"SRIC_EX";"0.013661258913288"
"pavel_grigorich";"30";"Max";"0.0184205613292675"
"vladimir";"30";"SRIC_EX";"0.0803765268147527"
"vladimir";"30";"Max";"0.0560084635011513"
"belinskoj";"30";"SRIC_EX";"0.0354323091901771"
"belinskoj";"30";"Max";"0.0340184739027231"
"poverennyj";"30";"SRIC_EX";"0.000809061488673139"
"poverennyj";"30";"Max";"0.00995706017798245"
"anna_nikolavna";"30";"SRIC_EX";"0.0779815689051092"
"anna_nikolavna";"30";"Max";"0.0500520078589654"
"gost_2a";"30";"SRIC_EX";"0.0214073728640365"
"gost_2a";"30";"Max";"0.0280486829120845"
"natalya_fedorovna";"30";"SRIC_EX";"0.0214073728640365"
"natalya_fedorovna";"30";"Max";"0.0280486829120845"
"odna_iz_baryshen";"30";"SRIC_EX";"0.0214073728640365"
"odna_iz_baryshen";"30";"Max";"0.0280486829120845"
"drugaya_baryshnya";"30";"SRIC_EX";"0.0214073728640365"
"drugaya_baryshnya";"30";"Max";"0.0280486829120845"
"gost_2b";"30";"SRIC_EX";"0.0214073728640365"
"gost_2b";"30";"Max";"0.0280486829120845"
"gost_2c";"30";"SRIC_EX";"0.0214073728640365"
"gost_2c";"30";"Max";"0.0280486829120845"
"odna_iz_dam";"30";"SRIC_EX";"0.0214073728640365"
"odna_iz_dam";"30";"Max";"0.0280486829120845"
"gost_2d";"30";"SRIC_EX";"0.0214073728640365"
"gost_2d";"30";"Max";"0.0280486829120845"
"knyazhna_sofya";"30";"SRIC_EX";"0.0843049708621857"
"knyazhna_sofya";"30";"Max";"0.0519722980361477"
"mnogie_2";"30";"SRIC_EX";"0.0214073728640365"
"mnogie_2";"30";"Max";"0.0280486829120845"
"sluga_5";"30";"SRIC_EX";"0.0035949065822307"
"sluga_5";"30";"Max";"0.0128763902100762"
"muzhik";"30";"SRIC_EX";"0.0035949065822307"
"muzhik";"30";"Max";"0.0128763902100762"
"annushka";"30";"SRIC_EX";"0.0105177993527508"
"annushka";"30";"Max";"0.0125293007239612"
"marya_dmitrevna";"30";"SRIC_EX";"0.0105177993527508"
"marya_dmitrevna";"30";"Max";"0.0125293007239612"
"ivan";"30";"SRIC_EX";"0"
"ivan";"30";"Max";"0.00838052564980189"
"gost_12a";"30";"SRIC_EX";"0.00832381022122414"
"gost_12a";"30";"Max";"0.019794102219891"
"natasha";"30";"SRIC_EX";"0.0368546688143125"
"natasha";"30";"Max";"0.0365299645279731"
"gost_12b";"30";"SRIC_EX";"0.00832381022122414"
"gost_12b";"30";"Max";"0.019794102219891"
"pervaya_staruha";"30";"SRIC_EX";"0.00788504455138446"
"pervaya_staruha";"30";"Max";"0.0162535672057111"
"vtoraya_staruha";"30";"SRIC_EX";"0.00788504455138446"
