"Element";"Quota";"Centrality";"Value"
"fillida";"30";"SRIC_EX";"0.254549972608292"
"fillida";"30";"Max";"0.164212841346448"
"demofont";"30";"SRIC_EX";"0.114897720089594"
"demofont";"30";"Max";"0.131251850355033"
"kreuza";"30";"SRIC_EX";"0.0868561824063536"
"kreuza";"30";"Max";"0.138441801341184"
"polimnestor";"30";"SRIC_EX";"0.0991707429429456"
"polimnestor";"30";"Max";"0.116078939082788"
"iliona";"30";"SRIC_EX";"0.162204268654169"
"iliona";"30";"Max";"0.13924538409846"
"dramet";"30";"SRIC_EX";"0.0877422695363261"
"dramet";"30";"Max";"0.110725245186727"
"memnon";"30";"SRIC_EX";"0.184742391069585"
"memnon";"30";"Max";"0.154442966771148"
"vestnik";"30";"SRIC_EX";"0.00983645269273452"
"vestnik";"30";"Max";"0.0456009718182117"
"fillida";"50";"SRIC_EX";"0.298294302467297"
"fillida";"50";"Max";"0.192069482643523"
"demofont";"50";"SRIC_EX";"0.0873011869297137"
"demofont";"50";"Max";"0.124928058256895"
"kreuza";"50";"SRIC_EX";"0.0979035506107812"
"kreuza";"50";"Max";"0.127805727981099"
"polimnestor";"50";"SRIC_EX";"0.0994696721251979"
"polimnestor";"50";"Max";"0.114533146153473"
"iliona";"50";"SRIC_EX";"0.154232836357038"
"iliona";"50";"Max";"0.139086319375322"
"dramet";"50";"SRIC_EX";"0.0709858564438718"
"dramet";"50";"Max";"0.103514161097814"
"memnon";"50";"SRIC_EX";"0.181446779842911"
"memnon";"50";"Max";"0.156358641487739"
"vestnik";"50";"SRIC_EX";"0.0103658152231887"
"vestnik";"50";"Max";"0.0417044630041359"
"fillida";"70";"SRIC_EX";"0.220329476690927"
"fillida";"70";"Max";"0.20051603458763"
"demofont";"70";"SRIC_EX";"0.123763376654626"
"demofont";"70";"Max";"0.120970300085054"
"kreuza";"70";"SRIC_EX";"0.0962848754708377"
"kreuza";"70";"Max";"0.116386533726255"
"polimnestor";"70";"SRIC_EX";"0.119678528699624"
"polimnestor";"70";"Max";"0.113758312494979"
"iliona";"70";"SRIC_EX";"0.145121601943576"
"iliona";"70";"Max";"0.14280799427705"
"dramet";"70";"SRIC_EX";"0.104045917064755"
"dramet";"70";"Max";"0.110705205614305"
"memnon";"70";"SRIC_EX";"0.175445619963776"
"memnon";"70";"Max";"0.155242861933842"
"vestnik";"70";"SRIC_EX";"0.0153306035118784"
"vestnik";"70";"Max";"0.0396127572808849"
