"Element";"Quota";"Centrality";"Value"
"tamira";"30";"SRIC_EX";"0.186149172311608"
"tamira";"30";"Max";"0.141412208149834"
"kleona";"30";"SRIC_EX";"0.137887223897911"
"kleona";"30";"Max";"0.137662464479967"
"mumet";"30";"SRIC_EX";"0.1270173225352"
"mumet";"30";"Max";"0.119757438456356"
"selim";"30";"SRIC_EX";"0.108764684016695"
"selim";"30";"Max";"0.108953489507553"
"mamaj";"30";"SRIC_EX";"0.0708554742342676"
"mamaj";"30";"Max";"0.0939623267940668"
"nadir";"30";"SRIC_EX";"0.20654735730065"
"nadir";"30";"Max";"0.156536174284961"
"vestnik_5-3";"30";"SRIC_EX";"0.00306842908655261"
"vestnik_5-3";"30";"Max";"0.0311756032302479"
"narsim";"30";"SRIC_EX";"0.025060306397422"
"narsim";"30";"Max";"0.0599490269219878"
"zaisan";"30";"SRIC_EX";"0.13341268488786"
"zaisan";"30";"Max";"0.125053951390042"
"vestnik_2-6";"30";"SRIC_EX";"0.00123734533183352"
"vestnik_2-6";"30";"Max";"0.0255373167849854"
"tamira";"50";"SRIC_EX";"0.180470267393124"
"tamira";"50";"Max";"0.146538204258967"
"kleona";"50";"SRIC_EX";"0.144088060973241"
"kleona";"50";"Max";"0.136528337256546"
"mumet";"50";"SRIC_EX";"0.123372338762525"
"mumet";"50";"Max";"0.12435667544772"
"selim";"50";"SRIC_EX";"0.123341221935059"
"selim";"50";"Max";"0.114074030556998"
"mamaj";"50";"SRIC_EX";"0.0691987061108221"
"mamaj";"50";"Max";"0.0922814405556498"
"nadir";"50";"SRIC_EX";"0.200544711299243"
"nadir";"50";"Max";"0.159478931479743"
"vestnik_5-3";"50";"SRIC_EX";"0.00209601894599784"
"vestnik_5-3";"50";"Max";"0.0265936410574115"
"narsim";"50";"SRIC_EX";"0.022859770403842"
"narsim";"50";"Max";"0.0574924462021387"
"zaisan";"50";"SRIC_EX";"0.133223731552014"
"zaisan";"50";"Max";"0.122546968400224"
"vestnik_2-6";"50";"SRIC_EX";"0.00080517262413078"
"vestnik_2-6";"50";"Max";"0.0201093247846016"
"tamira";"70";"SRIC_EX";"0.14883075557309"
"tamira";"70";"Max";"0.149808989465739"
"kleona";"70";"SRIC_EX";"0.14259779106483"
"kleona";"70";"Max";"0.133607988303383"
"mumet";"70";"SRIC_EX";"0.149649829531798"
"mumet";"70";"Max";"0.125372781099739"
"selim";"70";"SRIC_EX";"0.148458831934646"
"selim";"70";"Max";"0.115486930376143"
"mamaj";"70";"SRIC_EX";"0.0531330412599823"
"mamaj";"70";"Max";"0.0924581323454895"
"nadir";"70";"SRIC_EX";"0.222284924924497"
"nadir";"70";"Max";"0.162983872732914"
"vestnik_5-3";"70";"SRIC_EX";"0"
"vestnik_5-3";"70";"Max";"0.0233866850255589"
"narsim";"70";"SRIC_EX";"0.00690524193548387"
"narsim";"70";"Max";"0.0561577147963795"
"zaisan";"70";"SRIC_EX";"0.128139583775673"
"zaisan";"70";"Max";"0.124653664974568"
"vestnik_2-6";"70";"SRIC_EX";"0"
"vestnik_2-6";"70";"Max";"0.0160832408800856"
