"Element";"Quota";"Centrality";"Value"
"albina";"30";"SRIC_EX";"0.123174593449286"
"albina";"30";"Max";"0.164329049683167"
"agriopa";"30";"SRIC_EX";"0.365450427239854"
"agriopa";"30";"Max";"0.17767142488528"
"azor";"30";"SRIC_EX";"0.0844863039205058"
"azor";"30";"Max";"0.133909990184472"
"telef";"30";"SRIC_EX";"0.24411769570403"
"telef";"30";"Max";"0.160516942482564"
"voenachalnik";"30";"SRIC_EX";"0.0895008761095244"
"voenachalnik";"30";"Max";"0.144996220308677"
"vestnik";"30";"SRIC_EX";"0.0194258001729727"
"vestnik";"30";"Max";"0.0543445704053411"
"ariston";"30";"SRIC_EX";"0.071988431903935"
"ariston";"30";"Max";"0.137410904960537"
"odin_voin";"30";"SRIC_EX";"0.00185587149989147"
"odin_voin";"30";"Max";"0.0268208970899618"
"albina";"50";"SRIC_EX";"0.124847025398763"
"albina";"50";"Max";"0.143900791945485"
"agriopa";"50";"SRIC_EX";"0.383238010085157"
"agriopa";"50";"Max";"0.228374976978329"
"azor";"50";"SRIC_EX";"0.0542381827380105"
"azor";"50";"Max";"0.124518737447708"
"telef";"50";"SRIC_EX";"0.270239065315394"
"telef";"50";"Max";"0.193811774817361"
"voenachalnik";"50";"SRIC_EX";"0.0875133486153004"
"voenachalnik";"50";"Max";"0.127781237118827"
"vestnik";"50";"SRIC_EX";"0.00589009247820938"
"vestnik";"50";"Max";"0.0438946528332003"
"ariston";"50";"SRIC_EX";"0.0731437593646141"
"ariston";"50";"Max";"0.113880532874946"
"odin_voin";"50";"SRIC_EX";"0.000890516004551526"
"odin_voin";"50";"Max";"0.0238372959841435"
"albina";"70";"SRIC_EX";"0.14894082837897"
"albina";"70";"Max";"0.137411506541215"
"agriopa";"70";"SRIC_EX";"0.290852659537448"
"agriopa";"70";"Max";"0.243266418781152"
"azor";"70";"SRIC_EX";"0.0982547780010593"
"azor";"70";"Max";"0.123540081099973"
"telef";"70";"SRIC_EX";"0.268824801566448"
"telef";"70";"Max";"0.202529959620208"
"voenachalnik";"70";"SRIC_EX";"0.110713074413775"
"voenachalnik";"70";"Max";"0.123920087143739"
"vestnik";"70";"SRIC_EX";"0.0154339466521522"
"vestnik";"70";"Max";"0.0444756876258314"
"ariston";"70";"SRIC_EX";"0.0660906419685578"
"ariston";"70";"Max";"0.103220163227517"
"odin_voin";"70";"SRIC_EX";"0.000889269481588828"
"odin_voin";"70";"Max";"0.0216360959603644"
