"Element";"Quota";"Centrality";"Value"
"klit";"30";"SRIC_EX";"0.0584888135086946"
"klit";"30";"Max";"0.184370068931152"
"femist";"30";"SRIC_EX";"0.326660194897597"
"femist";"30";"Max";"0.209284943111037"
"ieronima";"30";"SRIC_EX";"0.0993189685741293"
"ieronima";"30";"Max";"0.144174071920937"
"magomet";"30";"SRIC_EX";"0.432702982936521"
"magomet";"30";"Max";"0.198820695955485"
"nachalnik";"30";"SRIC_EX";"0.0544206499624942"
"nachalnik";"30";"Max";"0.129059048251806"
"osman";"30";"SRIC_EX";"0.0284083901205637"
"osman";"30";"Max";"0.134291171829582"
"klit";"50";"SRIC_EX";"0.0369681990573972"
"klit";"50";"Max";"0.13751987281399"
"femist";"50";"SRIC_EX";"0.349870153769945"
"femist";"50";"Max";"0.226964816478883"
"ieronima";"50";"SRIC_EX";"0.0909896691845014"
"ieronima";"50";"Max";"0.151931983134029"
"magomet";"50";"SRIC_EX";"0.426580185845543"
"magomet";"50";"Max";"0.270235708854635"
"nachalnik";"50";"SRIC_EX";"0.0651766377393761"
"nachalnik";"50";"Max";"0.105723370429253"
"osman";"50";"SRIC_EX";"0.0304151544032371"
"osman";"50";"Max";"0.10762424828921"
"klit";"70";"SRIC_EX";"0.047398401703076"
"klit";"70";"Max";"0.121754880667626"
"femist";"70";"SRIC_EX";"0.303686948503896"
"femist";"70";"Max";"0.245649064615109"
"ieronima";"70";"SRIC_EX";"0.155333368621846"
"ieronima";"70";"Max";"0.149812352540881"
"magomet";"70";"SRIC_EX";"0.375367440638993"
"magomet";"70";"Max";"0.282259674744404"
"nachalnik";"70";"SRIC_EX";"0.0805821772697429"
"nachalnik";"70";"Max";"0.103570802788836"
"osman";"70";"SRIC_EX";"0.0376316632624454"
"osman";"70";"Max";"0.0969532246431438"
