"Element";"Quota";"Centrality";"Value"
"velosipedkin";"30";"SRIC_EX";"0.133277721989243"
"velosipedkin";"30";"Max";"0.0792427532413549"
"chudakov";"30";"SRIC_EX";"0.133461874377428"
"chudakov";"30";"Max";"0.0817414668037317"
"foskin";"30";"SRIC_EX";"0.0380457651552887"
"foskin";"30";"Max";"0.0550533526800014"
"mezaljansova";"30";"SRIC_EX";"0.0757756544343125"
"mezaljansova";"30";"Max";"0.0622747128597217"
"ivan_ivanovich";"30";"SRIC_EX";"0.0798809255316869"
"ivan_ivanovich";"30";"Max";"0.0681836405992068"
"momentalnikov";"30";"SRIC_EX";"0.0118880456301821"
"momentalnikov";"30";"Max";"0.0323182245136263"
"pont_kich";"30";"SRIC_EX";"0.0251583523903694"
"pont_kich";"30";"Max";"0.0370492659277737"
"polja";"30";"SRIC_EX";"0.0239079109850889"
"polja";"30";"Max";"0.0395821550290521"
"preddomkoma";"30";"SRIC_EX";"0.000853004457948437"
"preddomkoma";"30";"Max";"0.00997019740097091"
"optimistenko";"30";"SRIC_EX";"0.102165489075618"
"optimistenko";"30";"Max";"0.085496188762251"
"kapeldiner";"30";"SRIC_EX";"0.00231059468036794"
"kapeldiner";"30";"Max";"0.0163314578939317"
"pobedonosikov";"30";"SRIC_EX";"0.172805949840653"
"pobedonosikov";"30";"Max";"0.0959120061374681"
"rezhisser";"30";"SRIC_EX";"0.00819845669995518"
"rezhisser";"30";"Max";"0.02631355939201"
"dvojkin";"30";"SRIC_EX";"0.0157032471420703"
"dvojkin";"30";"Max";"0.034763404043925"
"trojkin";"30";"SRIC_EX";"0.00692932561622659"
"trojkin";"30";"Max";"0.0223427287572954"
"fosforicheskaja_zhenschina";"30";"SRIC_EX";"0.0684786967256906"
"fosforicheskaja_zhenschina";"30";"Max";"0.0669436878253672"
"passazhiry";"30";"SRIC_EX";"0.00228095822741581"
"passazhiry";"30";"Max";"0.0155346173590452"
"underton";"30";"SRIC_EX";"0.031970888498843"
"underton";"30";"Max";"0.0422993779654352"
"golosa";"30";"SRIC_EX";"0.0110163976349882"
"golosa";"30";"Max";"0.0217610259157317"
"nochkin";"30";"SRIC_EX";"0.0320625635194448"
"nochkin";"30";"Max";"0.0390576713671616"
"militsioner";"30";"SRIC_EX";"0.0110163976349882"
"militsioner";"30";"Max";"0.0217610259157317"
"belvedonskij";"30";"SRIC_EX";"0.00796863705327209"
"belvedonskij";"30";"Max";"0.0263270919879509"
"prositel";"30";"SRIC_EX";"0.00242157134945919"
"prositel";"30";"Max";"0.00987019381062794"
"prositelnitsa";"30";"SRIC_EX";"0.00242157134945919"
"prositelnitsa";"30";"Max";"0.00987019381062794"
"velosipedkin";"50";"SRIC_EX";"0.157016551101219"
"velosipedkin";"50";"Max";"0.0824094464076773"
"chudakov";"50";"SRIC_EX";"0.147938675842865"
"chudakov";"50";"Max";"0.0830772413419516"
"foskin";"50";"SRIC_EX";"0.102070108211358"
"foskin";"50";"Max";"0.0545342228105535"
"mezaljansova";"50";"SRIC_EX";"0.0599435408176999"
"mezaljansova";"50";"Max";"0.0670275036774717"
"ivan_ivanovich";"50";"SRIC_EX";"0.0927361424023847"
"ivan_ivanovich";"50";"Max";"0.0696019041498112"
"momentalnikov";"50";"SRIC_EX";"0.00853233455191355"
"momentalnikov";"50";"Max";"0.0322155626925392"
"pont_kich";"50";"SRIC_EX";"0.00895674808311537"
"pont_kich";"50";"Max";"0.0384821988769359"
"polja";"50";"SRIC_EX";"0.0127638435324361"
"polja";"50";"Max";"0.0373727327314267"
"preddomkoma";"50";"SRIC_EX";"0.00120670458372274"
"preddomkoma";"50";"Max";"0.00908980239741662"
"optimistenko";"50";"SRIC_EX";"0.0829114234224077"
"optimistenko";"50";"Max";"0.0845694706540477"
"kapeldiner";"50";"SRIC_EX";"0.002179798085578"
"kapeldiner";"50";"Max";"0.0143220961616601"
"pobedonosikov";"50";"SRIC_EX";"0.118965669329841"
"pobedonosikov";"50";"Max";"0.0994747873705735"
"rezhisser";"50";"SRIC_EX";"0.00551605749894746"
"rezhisser";"50";"Max";"0.0241676201959846"
"dvojkin";"50";"SRIC_EX";"0.0206043892169042"
"dvojkin";"50";"Max";"0.033877921913773"
"trojkin";"50";"SRIC_EX";"0.00979268741007649"
"trojkin";"50";"Max";"0.0209638332700258"
"fosforicheskaja_zhenschina";"50";"SRIC_EX";"0.0993341691749794"
"fosforicheskaja_zhenschina";"50";"Max";"0.0710982885517131"
"passazhiry";"50";"SRIC_EX";"0.00192843095634264"
"passazhiry";"50";"Max";"0.014128745880775"
