"Element";"Quota";"Centrality";"Value"
"pugovichnyj_raznoschik";"30";"SRIC_EX";"0"
"pugovichnyj_raznoschik";"30";"Max";"0.0135412971092237"
"raznoschik_kukol";"30";"SRIC_EX";"0"
"raznoschik_kukol";"30";"Max";"0.0135412971092237"
"raznoschica_yablok";"30";"SRIC_EX";"0"
"raznoschica_yablok";"30";"Max";"0.0135412971092237"
"raznoschik_tochilnyh_kamnej";"30";"SRIC_EX";"0"
"raznoschik_tochilnyh_kamnej";"30";"Max";"0.0135412971092237"
"raznoschik_abazhurov";"30";"SRIC_EX";"0"
"raznoschik_abazhurov";"30";"Max";"0.0135412971092237"
"prodavec_sharov";"30";"SRIC_EX";"0"
"prodavec_sharov";"30";"Max";"0.0135412971092237"
"raznoschik_seledok";"30";"SRIC_EX";"0"
"raznoschik_seledok";"30";"Max";"0.0135412971092237"
"raznoschica_galanterei";"30";"SRIC_EX";"0"
"raznoschica_galanterei";"30";"Max";"0.0135412971092237"
"prodavec_kleya";"30";"SRIC_EX";"0"
"prodavec_kleya";"30";"Max";"0.0135412971092237"
"raznoschica_duhov";"30";"SRIC_EX";"0"
"raznoschica_duhov";"30";"Max";"0.0135412971092237"
"prodavec_knig";"30";"SRIC_EX";"0"
"prodavec_knig";"30";"Max";"0.0135412971092237"
"prisypkin-skripkin";"30";"SRIC_EX";"0.0832645186185607"
"prisypkin-skripkin";"30";"Max";"0.0417010399613594"
"rozaliya_pavlovna";"30";"SRIC_EX";"0.0253521126760563"
"rozaliya_pavlovna";"30";"Max";"0.0220302541985287"
"bayan";"30";"SRIC_EX";"0.0507042253521127"
"bayan";"30";"Max";"0.0312629567729995"
"raznoschik_igrushek";"30";"SRIC_EX";"0"
"raznoschik_igrushek";"30";"Max";"0.0135412971092237"
"prodavec_seldej";"30";"SRIC_EX";"0"
"prodavec_seldej";"30";"Max";"0.0135412971092237"
"zoya_berezkina";"30";"SRIC_EX";"0.0320470769824426"
"zoya_berezkina";"30";"Max";"0.0218507294262474"
"milicioner";"30";"SRIC_EX";"0"
"milicioner";"30";"Max";"0.0135412971092237"
"bosoj_paren";"30";"SRIC_EX";"0.0225352112676056"
"bosoj_paren";"30";"Max";"0.00820684673286286"
"uborschik";"30";"SRIC_EX";"0.0225352112676056"
"uborschik";"30";"Max";"0.00820684673286286"
"molodoj_rabochij";"30";"SRIC_EX";"0.0225352112676056"
"molodoj_rabochij";"30";"Max";"0.00820684673286286"
"devushka_2";"30";"SRIC_EX";"0.0225352112676056"
"devushka_2";"30";"Max";"0.00820684673286286"
"izobretatel";"30";"SRIC_EX";"0.0225352112676056"
"izobretatel";"30";"Max";"0.00820684673286286"
