"Element";"Quota";"Centrality";"Value"
"nechistyj";"30";"SRIC_EX";"0.5"
"nechistyj";"30";"Max";"0"
"iz-za_sceny";"30";"SRIC_EX";"0.5"
"iz-za_sceny";"30";"Max";"0"
"ohotnik";"30";"SRIC_EX";"0"
"ohotnik";"30";"Max";"0.0446927374301676"
"rybak";"30";"SRIC_EX";"0"
"rybak";"30";"Max";"0"
"nemec";"30";"SRIC_EX";"0"
"nemec";"30";"Max";"0"
"avstraliec";"30";"SRIC_EX";"0"
"avstraliec";"30";"Max";"0"
"avstralijka";"30";"SRIC_EX";"0"
"avstralijka";"30";"Max";"0"
"anglichanin";"30";"SRIC_EX";"0"
"anglichanin";"30";"Max";"0"
"francuz";"30";"SRIC_EX";"0"
"francuz";"30";"Max";"0"
"kupec";"30";"SRIC_EX";"0"
"kupec";"30";"Max";"0"
"nechistye";"30";"SRIC_EX";"0"
"nechistye";"30";"Max";"0.0813159528243327"
"chistye";"30";"SRIC_EX";"0"
"chistye";"30";"Max";"0"
"negus";"30";"SRIC_EX";"0"
"negus";"30";"Max";"0"
"kitaec";"30";"SRIC_EX";"0"
"kitaec";"30";"Max";"0"
"pers";"30";"SRIC_EX";"0"
"pers";"30";"Max";"0"
"radzha";"30";"SRIC_EX";"0"
"radzha";"30";"Max";"0"
"pasha";"30";"SRIC_EX";"0"
"pasha";"30";"Max";"0"
"dama";"30";"SRIC_EX";"0"
"dama";"30";"Max";"0"
"golos_iz_tolpy_chistyh";"30";"SRIC_EX";"0"
"golos_iz_tolpy_chistyh";"30";"Max";"0"
"soglashatel";"30";"SRIC_EX";"0"
"soglashatel";"30";"Max";"0.0813159528243327"
"kuznec";"30";"SRIC_EX";"0"
"kuznec";"30";"Max";"0.0813159528243327"
"prachka";"30";"SRIC_EX";"0"
"prachka";"30";"Max";"0.0813159528243327"
"krasnoarmeec";"30";"SRIC_EX";"0"
"krasnoarmeec";"30";"Max";"0.0813159528243327"
"pop";"30";"SRIC_EX";"0"
"pop";"30";"Max";"0"
"diplomat";"30";"SRIC_EX";"0"
"diplomat";"30";"Max";"0"
"intelligenciya";"30";"SRIC_EX";"0"
"intelligenciya";"30";"Max";"0"
"plotnik";"30";"SRIC_EX";"0"
"plotnik";"30";"Max";"0"
"amerikanec";"30";"SRIC_EX";"0"
"amerikanec";"30";"Max";"0"
"batrak";"30";"SRIC_EX";"0"
"batrak";"30";"Max";"0.0813159528243327"
"shveya";"30";"SRIC_EX";"0"
"shveya";"30";"Max";"0.0813159528243327"
"fonarschik";"30";"SRIC_EX";"0"
"fonarschik";"30";"Max";"0.0446927374301676"
"shofer";"30";"SRIC_EX";"0"
"shofer";"30";"Max";"0"
"bulochnik";"30";"SRIC_EX";"0"
"bulochnik";"30";"Max";"0"
"sapozhnik";"30";"SRIC_EX";"0"
"sapozhnik";"30";"Max";"0.0813159528243327"
"sluga";"30";"SRIC_EX";"0"
"sluga";"30";"Max";"0"
"shahter";"30";"SRIC_EX";"0"
"shahter";"30";"Max";"0.0813159528243327"
"golos";"30";"SRIC_EX";"0"
"golos";"30";"Max";"0"
"trubochist";"30";"SRIC_EX";"0"
"trubochist";"30";"Max";"0"
"chelovek";"30";"SRIC_EX";"0"
"chelovek";"30";"Max";"0"
