"Element";"Quota";"Centrality";"Value"
"aleksej";"30";"SRIC_EX";"0.0624550752395619"
"aleksej";"30";"Max";"0.065417311415123"
"akulina";"30";"SRIC_EX";"0.0663977703580976"
"akulina";"30";"Max";"0.0642091769017112"
"vanjushin";"30";"SRIC_EX";"0.0949258025383975"
"vanjushin";"30";"Max";"0.0835684641929907"
"arina_ivanovna";"30";"SRIC_EX";"0.0949258025383975"
"arina_ivanovna";"30";"Max";"0.0835684641929907"
"konstantin";"30";"SRIC_EX";"0.0949258025383975"
"konstantin";"30";"Max";"0.0835684641929907"
"lena";"30";"SRIC_EX";"0.0624550752395619"
"lena";"30";"Max";"0.065417311415123"
"avdotja";"30";"SRIC_EX";"0.0663977703580976"
"avdotja";"30";"Max";"0.0642091769017112"
"katja";"30";"SRIC_EX";"0.0949258025383975"
"katja";"30";"Max";"0.0835684641929907"
"anja";"30";"SRIC_EX";"0.0949258025383975"
"anja";"30";"Max";"0.0835684641929907"
"schetkin";"30";"SRIC_EX";"0.0624550752395619"
"schetkin";"30";"Max";"0.065417311415123"
"klavdija";"30";"SRIC_EX";"0.0949258025383975"
"klavdija";"30";"Max";"0.0835684641929907"
"ljudmila";"30";"SRIC_EX";"0.0624550752395619"
"ljudmila";"30";"Max";"0.065417311415123"
"krasavin";"30";"SRIC_EX";"0.0299315429449754"
"krasavin";"30";"Max";"0.0437349873424278"
"inna";"30";"SRIC_EX";"0.00596593338339913"
"inna";"30";"Max";"0.0215888760119044"
"kukarnikova";"30";"SRIC_EX";"0.00596593338339913"
"kukarnikova";"30";"Max";"0.0215888760119044"
"starik_v_lohmotjah";"30";"SRIC_EX";"0.00596593338339913"
"starik_v_lohmotjah";"30";"Max";"0.0215888760119044"
"aleksej";"50";"SRIC_EX";"0"
"aleksej";"50";"Max";"0.0689014402711099"
"akulina";"50";"SRIC_EX";"0"
"akulina";"50";"Max";"0.0681615362891838"
"vanjushin";"50";"SRIC_EX";"0"
"vanjushin";"50";"Max";"0.0887545890991245"
"arina_ivanovna";"50";"SRIC_EX";"0"
"arina_ivanovna";"50";"Max";"0.0887545890991245"
"konstantin";"50";"SRIC_EX";"0"
"konstantin";"50";"Max";"0.0887545890991245"
"lena";"50";"SRIC_EX";"0"
"lena";"50";"Max";"0.0689014402711099"
"avdotja";"50";"SRIC_EX";"0"
"avdotja";"50";"Max";"0.0681615362891838"
"katja";"50";"SRIC_EX";"0"
"katja";"50";"Max";"0.0887545890991245"
"anja";"50";"SRIC_EX";"0"
"anja";"50";"Max";"0.0887545890991245"
"schetkin";"50";"SRIC_EX";"0"
"schetkin";"50";"Max";"0.0689014402711099"
"klavdija";"50";"SRIC_EX";"0"
"klavdija";"50";"Max";"0.0887545890991245"
"ljudmila";"50";"SRIC_EX";"0"
"ljudmila";"50";"Max";"0.0689014402711099"
"krasavin";"50";"SRIC_EX";"0"
"krasavin";"50";"Max";"0.0428692459757131"
"inna";"50";"SRIC_EX";"0"
"inna";"50";"Max";"0.00422479525557752"
"kukarnikova";"50";"SRIC_EX";"0"
"kukarnikova";"50";"Max";"0.00422479525557752"
"starik_v_lohmotjah";"50";"SRIC_EX";"0"
"starik_v_lohmotjah";"50";"Max";"0.00422479525557752"
"aleksej";"70";"SRIC_EX";"0"
"aleksej";"70";"Max";"0"
"akulina";"70";"SRIC_EX";"0"
"akulina";"70";"Max";"0"
"vanjushin";"70";"SRIC_EX";"0"
"vanjushin";"70";"Max";"0"
"arina_ivanovna";"70";"SRIC_EX";"0"
"arina_ivanovna";"70";"Max";"0"
"konstantin";"70";"SRIC_EX";"0"
"konstantin";"70";"Max";"0"
"lena";"70";"SRIC_EX";"0"
"lena";"70";"Max";"0"
"avdotja";"70";"SRIC_EX";"0"
"avdotja";"70";"Max";"0"
"katja";"70";"SRIC_EX";"0"
"katja";"70";"Max";"0"
"anja";"70";"SRIC_EX";"0"
"anja";"70";"Max";"0"
"schetkin";"70";"SRIC_EX";"0"
"schetkin";"70";"Max";"0"
"klavdija";"70";"SRIC_EX";"0"
"klavdija";"70";"Max";"0"
"ljudmila";"70";"SRIC_EX";"0"
"ljudmila";"70";"Max";"0"
"krasavin";"70";"SRIC_EX";"0"
"krasavin";"70";"Max";"0"
"inna";"70";"SRIC_EX";"0"
"inna";"70";"Max";"0"
"kukarnikova";"70";"SRIC_EX";"0"
"kukarnikova";"70";"Max";"0"
"starik_v_lohmotjah";"70";"SRIC_EX";"0"
"starik_v_lohmotjah";"70";"Max";"0"
