"Element";"Quota";"Centrality";"Value"
"grigoriy";"30";"SRIC_EX";"0.290409703207126"
"grigoriy";"30";"Max";"0.175944823703287"
"pervaya_devushka";"30";"SRIC_EX";"0.110412489197864"
"pervaya_devushka";"30";"Max";"0.117390386374833"
"vtoraya_devushka";"30";"SRIC_EX";"0.110412489197864"
"vtoraya_devushka";"30";"Max";"0.117390386374833"
"tretya_devushka";"30";"SRIC_EX";"0.110412489197864"
"tretya_devushka";"30";"Max";"0.117390386374833"
"triumviratov";"30";"SRIC_EX";"0.215134297520661"
"triumviratov";"30";"Max";"0.164965866704202"
"kalistratka";"30";"SRIC_EX";"0.0549857204156309"
"kalistratka";"30";"Max";"0.103596312196495"
"kharchin";"30";"SRIC_EX";"0.0128697469020728"
"kharchin";"30";"Max";"0.0507424871560279"
"tuzov";"30";"SRIC_EX";"0.0903935834556065"
"tuzov";"30";"Max";"0.104722359068196"
"kadykov";"30";"SRIC_EX";"0.00496948090530978"
"kadykov";"30";"Max";"0.047856992047294"
"grigoriy";"50";"SRIC_EX";"0.302174785235533"
"grigoriy";"50";"Max";"0.19956534064065"
"pervaya_devushka";"50";"SRIC_EX";"0.111947773312194"
"pervaya_devushka";"50";"Max";"0.117074553529245"
"vtoraya_devushka";"50";"SRIC_EX";"0.111947773312194"
"vtoraya_devushka";"50";"Max";"0.117074553529245"
"tretya_devushka";"50";"SRIC_EX";"0.111947773312194"
"tretya_devushka";"50";"Max";"0.117074553529245"
"triumviratov";"50";"SRIC_EX";"0.210876639007055"
"triumviratov";"50";"Max";"0.155343475385051"
"kalistratka";"50";"SRIC_EX";"0.052355905675573"
"kalistratka";"50";"Max";"0.0946801474062175"
"kharchin";"50";"SRIC_EX";"0.0246519000976809"
"kharchin";"50";"Max";"0.0535764905981291"
"tuzov";"50";"SRIC_EX";"0.0725682421772545"
"tuzov";"50";"Max";"0.107908910516867"
"kadykov";"50";"SRIC_EX";"0.00152920787032317"
"kadykov";"50";"Max";"0.0377019748653501"
"grigoriy";"70";"SRIC_EX";"0.347611031762225"
"grigoriy";"70";"Max";"0.213246059770907"
"pervaya_devushka";"70";"SRIC_EX";"0.106040717313927"
"pervaya_devushka";"70";"Max";"0.118680561536474"
"vtoraya_devushka";"70";"SRIC_EX";"0.106040717313927"
"vtoraya_devushka";"70";"Max";"0.118680561536474"
"tretya_devushka";"70";"SRIC_EX";"0.106040717313927"
"tretya_devushka";"70";"Max";"0.118680561536474"
"triumviratov";"70";"SRIC_EX";"0.161883629191321"
"triumviratov";"70";"Max";"0.165015933166825"
"kalistratka";"70";"SRIC_EX";"0.0643236074270557"
"kalistratka";"70";"Max";"0.0873883960612063"
"kharchin";"70";"SRIC_EX";"0.00795755968169761"
"kharchin";"70";"Max";"0.0413975253351707"
"tuzov";"70";"SRIC_EX";"0.100102019995919"
"tuzov";"70";"Max";"0.106221112163753"
"kadykov";"70";"SRIC_EX";"0"
"kadykov";"70";"Max";"0.0306892888927167"
