"Element";"Quota";"Centrality";"Value"
"panfil";"30";"SRIC_EX";"0.136826644681872"
"panfil";"30";"Max";"0.139158011784019"
"marina";"30";"SRIC_EX";"0.277431985553607"
"marina";"30";"Max";"0.181300189820739"
"nadmen";"30";"SRIC_EX";"0.160299240393363"
"nadmen";"30";"Max";"0.132700158896737"
"chesnodum";"30";"SRIC_EX";"0.144924027616936"
"chesnodum";"30";"Max";"0.144569712242286"
"milana";"30";"SRIC_EX";"0.111530543618265"
"milana";"30";"Max";"0.138629295933776"
"modstrih";"30";"SRIC_EX";"0.104547434931065"
"modstrih";"30";"Max";"0.140194294850496"
"kruton";"30";"SRIC_EX";"0.0610370004158172"
"kruton";"30";"Max";"0.0899418506558661"
"naborshchik";"30";"SRIC_EX";"0.00340312278907534"
"naborshchik";"30";"Max";"0.0335064858160811"
"panfil";"50";"SRIC_EX";"0.134732907686537"
"panfil";"50";"Max";"0.142705955111043"
"marina";"50";"SRIC_EX";"0.308325726943673"
"marina";"50";"Max";"0.202657185008586"
"nadmen";"50";"SRIC_EX";"0.148282707287006"
"nadmen";"50";"Max";"0.137339085035967"
"chesnodum";"50";"SRIC_EX";"0.134979760069132"
"chesnodum";"50";"Max";"0.142889249854045"
"milana";"50";"SRIC_EX";"0.109304743767696"
"milana";"50";"Max";"0.129891819627827"
"modstrih";"50";"SRIC_EX";"0.103736416370403"
"modstrih";"50";"Max";"0.13336708795513"
"kruton";"50";"SRIC_EX";"0.05797707288181"
"kruton";"50";"Max";"0.0812720744034464"
"naborshchik";"50";"SRIC_EX";"0.00266066499374362"
"naborshchik";"50";"Max";"0.0298775430039553"
"panfil";"70";"SRIC_EX";"0.156489541902012"
"panfil";"70";"Max";"0.141315038207719"
"marina";"70";"SRIC_EX";"0.213415120918877"
"marina";"70";"Max";"0.210742475784689"
"nadmen";"70";"SRIC_EX";"0.160726917711371"
"nadmen";"70";"Max";"0.14376305296843"
"chesnodum";"70";"SRIC_EX";"0.168470285770143"
"chesnodum";"70";"Max";"0.143665188535205"
"milana";"70";"SRIC_EX";"0.119903186041541"
"milana";"70";"Max";"0.128938811836579"
"modstrih";"70";"SRIC_EX";"0.11318131109592"
"modstrih";"70";"Max";"0.122503062573222"
"kruton";"70";"SRIC_EX";"0.0652259424830809"
"kruton";"70";"Max";"0.081434936511989"
"naborshchik";"70";"SRIC_EX";"0.00258769407705578"
"naborshchik";"70";"Max";"0.0276374335821683"
