"Element";"Quota";"Centrality";"Value"
"anna_petrovna";"30";"SRIC_EX";"0.113830859692253"
"anna_petrovna";"30";"Max";"0.0923281258367065"
"marja_andreevna";"30";"SRIC_EX";"0.280669891598928"
"marja_andreevna";"30";"Max";"0.112234607370573"
"darja";"30";"SRIC_EX";"0.0762077434663963"
"darja";"30";"Max";"0.0852034523614739"
"malchik";"30";"SRIC_EX";"0.000438187875527433"
"malchik";"30";"Max";"0.0114433506106698"
"karpovna";"30";"SRIC_EX";"0.00808602152132662"
"karpovna";"30";"Max";"0.0233179894104425"
"pankratevna";"30";"SRIC_EX";"0.0067904597876878"
"pankratevna";"30";"Max";"0.0232743929051414"
"horkova";"30";"SRIC_EX";"0.00798164154584292"
"horkova";"30";"Max";"0.0279888866860892"
"milashin";"30";"SRIC_EX";"0.0502617023424479"
"milashin";"30";"Max";"0.0688787978872062"
"dobrotvorskij";"30";"SRIC_EX";"0.110764054563785"
"dobrotvorskij";"30";"Max";"0.0876768016722485"
"benevolenskij";"30";"SRIC_EX";"0.0367542320659162"
"benevolenskij";"30";"Max";"0.0605517637037389"
"horkov";"30";"SRIC_EX";"0.00944073730184924"
"horkov";"30";"Max";"0.0272865292077957"
"golos_iz_tolpy";"30";"SRIC_EX";"0.00960759103450963"
"golos_iz_tolpy";"30";"Max";"0.0147851935492038"
"odna_iz_tolpy";"30";"SRIC_EX";"0.00960759103450963"
"odna_iz_tolpy";"30";"Max";"0.0147851935492038"
"staruha";"30";"SRIC_EX";"0.00960759103450963"
"staruha";"30";"Max";"0.0147851935492038"
"zhenschina";"30";"SRIC_EX";"0.00960759103450963"
"zhenschina";"30";"Max";"0.0147851935492038"
"merich";"30";"SRIC_EX";"0.0158549554136044"
"merich";"30";"Max";"0.048986198795959"
"ofitsiant";"30";"SRIC_EX";"0.018107830993057"
"ofitsiant";"30";"Max";"0.0225982566565088"
"zhenschina_v_kapote";"30";"SRIC_EX";"0.018107830993057"
"zhenschina_v_kapote";"30";"Max";"0.0225982566565088"
"kucher";"30";"SRIC_EX";"0.018107830993057"
"kucher";"30";"Max";"0.0225982566565088"
"pervyj_molodoj_chelovek";"30";"SRIC_EX";"0.018107830993057"
"pervyj_molodoj_chelovek";"30";"Max";"0.0225982566565088"
"devushka";"30";"SRIC_EX";"0.018107830993057"
"devushka";"30";"Max";"0.0225982566565088"
"vtoroj_molodoj_chelovek";"30";"SRIC_EX";"0.018107830993057"
"vtoroj_molodoj_chelovek";"30";"Max";"0.0225982566565088"
"pasha";"30";"SRIC_EX";"0.0424770524231849"
"pasha";"30";"Max";"0.0302936946031026"
"dunja";"30";"SRIC_EX";"0.0424770524231849"
"dunja";"30";"Max";"0.0302936946031026"
"pervaja";"30";"SRIC_EX";"0.012722014470421"
"pervaja";"30";"Max";"0.0188778500524704"
"vtoraja";"30";"SRIC_EX";"0.012722014470421"
"vtoraja";"30";"Max";"0.0188778500524704"
"pervaja_staruha";"30";"SRIC_EX";"0.012722014470421"
"pervaja_staruha";"30";"Max";"0.0188778500524704"
"vtoraja_staruha";"30";"SRIC_EX";"0.012722014470421"
"vtoraja_staruha";"30";"Max";"0.0188778500524704"
"anna_petrovna";"50";"SRIC_EX";"0.202224803300222"
"anna_petrovna";"50";"Max";"0.103708458463948"
"marja_andreevna";"50";"SRIC_EX";"0.298858356516366"
"marja_andreevna";"50";"Max";"0.145534690044728"
"darja";"50";"SRIC_EX";"0.0670696834062578"
"darja";"50";"Max";"0.0830335472751994"
"malchik";"50";"SRIC_EX";"0.00120079227836758"
"malchik";"50";"Max";"0.0109633927954123"
"karpovna";"50";"SRIC_EX";"0.0120787307694234"
"karpovna";"50";"Max";"0.0199668852840156"
"pankratevna";"50";"SRIC_EX";"0.00665654981390203"
"pankratevna";"50";"Max";"0.0152276423484001"
"horkova";"50";"SRIC_EX";"0.00711056973086647"
"horkova";"50";"Max";"0.0252304441707936"
"milashin";"50";"SRIC_EX";"0.0618125539467722"
"milashin";"50";"Max";"0.062005541972795"
"dobrotvorskij";"50";"SRIC_EX";"0.146535144839005"
