"Element";"Quota";"Centrality";"Value"
"Egorushka";"30";"SRIC_EX";"0.0243330191726656"
"Egorushka";"30";"Max";"0.0398554534542379"
"Mitja";"30";"SRIC_EX";"0.141089075677102"
"Mitja";"30";"Max";"0.0926056917149533"
"Arina";"30";"SRIC_EX";"0.0356294135349326"
"Arina";"30";"Max";"0.0463029896989455"
"PelagejaEgorovna";"30";"SRIC_EX";"0.127982621476044"
"PelagejaEgorovna";"30";"Max";"0.0889701482817726"
"Liza";"30";"SRIC_EX";"0.0543936347698734"
"Liza";"30";"Max";"0.0588952059233758"
"Razljuljaev";"30";"SRIC_EX";"0.0948270198921407"
"Razljuljaev";"30";"Max";"0.0814678543642358"
"PervajaGostja";"30";"SRIC_EX";"0.0249401135143666"
"PervajaGostja";"30";"Max";"0.0384723260480476"
"VtorajaGostja";"30";"SRIC_EX";"0.0102552425869795"
"VtorajaGostja";"30";"Max";"0.0266075237309038"
"Masha";"30";"SRIC_EX";"0.0543936347698734"
"Masha";"30";"Max";"0.0588952059233758"
"LjubovGordeevna";"30";"SRIC_EX";"0.125944464832051"
"LjubovGordeevna";"30";"Max";"0.0974049103053873"
"Guslin";"30";"SRIC_EX";"0.0651043520840311"
"Guslin";"30";"Max";"0.0644968152157224"
"AnnaIvanovna";"30";"SRIC_EX";"0.0630420895520895"
"AnnaIvanovna";"30";"Max";"0.0652361362797658"
"Devushki";"30";"SRIC_EX";"0.0227871646002243"
"Devushki";"30";"Max";"0.0410796204591913"
"Starik";"30";"SRIC_EX";"0.00401440508149535"
"Starik";"30";"Max";"0.0158321406531194"
"Vozhak";"30";"SRIC_EX";"0.00401440508149535"
"Vozhak";"30";"Max";"0.0158321406531194"
"GordejKarpych";"30";"SRIC_EX";"0.0727316442861331"
"GordejKarpych";"30";"Max";"0.0702946194498716"
"Korshunov";"30";"SRIC_EX";"0.0584536161662787"
"Korshunov";"30";"Max";"0.062787497765689"
"LjubimKarpych";"30";"SRIC_EX";"0.0160640829222241"
"LjubimKarpych";"30";"Max";"0.034963720078286"
"Egorushka";"50";"SRIC_EX";"0.00964892377388676"
"Egorushka";"50";"Max";"0.0410569649994771"
"Mitja";"50";"SRIC_EX";"0.0359010712180989"
"Mitja";"50";"Max";"0.0916229575722644"
"Arina";"50";"SRIC_EX";"0.00971814682208523"
"Arina";"50";"Max";"0.0457118070554926"
"PelagejaEgorovna";"50";"SRIC_EX";"0.110084239581498"
"PelagejaEgorovna";"50";"Max";"0.0909832912137946"
