"Element";"Quota";"Centrality";"Value"
"Ivan";"30";"SRIC_EX";"0.0684293494637248"
"Ivan";"30";"Max";"0.0784604005189909"
"Gavrilo";"30";"SRIC_EX";"0.0306968085384938"
"Gavrilo";"30";"Max";"0.05525562038357"
"Vozhevatov";"30";"SRIC_EX";"0.174773242951051"
"Vozhevatov";"30";"Max";"0.140118898175135"
"Knurov";"30";"SRIC_EX";"0.118465045247335"
"Knurov";"30";"Max";"0.113055994450762"
"Ogudalova";"30";"SRIC_EX";"0.0965603624669511"
"Ogudalova";"30";"Max";"0.0951693614249059"
"Karandyshev";"30";"SRIC_EX";"0.0917905506760956"
"Karandyshev";"30";"Max";"0.096521338925665"
"Larisa";"30";"SRIC_EX";"0.105999875297639"
"Larisa";"30";"Max";"0.102810959136218"
"Paratov";"30";"SRIC_EX";"0.155515700027286"
"Paratov";"30";"Max";"0.131173189951479"
"Robinzon";"30";"SRIC_EX";"0.132322331589688"
"Robinzon";"30";"Max";"0.119531985500952"
"EvfrosinjaPotapovna";"30";"SRIC_EX";"0.0133706904759198"
"EvfrosinjaPotapovna";"30";"Max";"0.0362743665149396"
"Ilja";"30";"SRIC_EX";"0.0120760432658156"
"Ilja";"30";"Max";"0.0316278850173832"
"Ivan";"50";"SRIC_EX";"0.0603006548353667"
"Ivan";"50";"Max";"0.0792722928924158"
"Gavrilo";"50";"SRIC_EX";"0.0287920796203276"
"Gavrilo";"50";"Max";"0.0509062932801966"
"Vozhevatov";"50";"SRIC_EX";"0.186773064968096"
"Vozhevatov";"50";"Max";"0.140617107357981"
"Knurov";"50";"SRIC_EX";"0.12593664114682"
"Knurov";"50";"Max";"0.115408265638998"
"Ogudalova";"50";"SRIC_EX";"0.0924819639498293"
"Ogudalova";"50";"Max";"0.0963330687801387"
"Karandyshev";"50";"SRIC_EX";"0.0835719557948667"
"Karandyshev";"50";"Max";"0.0971243445890835"
"Larisa";"50";"SRIC_EX";"0.103259537494604"
"Larisa";"50";"Max";"0.103065314919656"
"Paratov";"50";"SRIC_EX";"0.166177810559168"
"Paratov";"50";"Max";"0.132310078637928"
"Robinzon";"50";"SRIC_EX";"0.139412288529363"
"Robinzon";"50";"Max";"0.119908697510457"
"EvfrosinjaPotapovna";"50";"SRIC_EX";"0.00609831383410522"
"EvfrosinjaPotapovna";"50";"Max";"0.0335919578593545"
"Ilja";"50";"SRIC_EX";"0.00719568926745313"
"Ilja";"50";"Max";"0.0314625785337919"
"Ivan";"70";"SRIC_EX";"0"
"Ivan";"70";"Max";"0.0796925143656225"
"Gavrilo";"70";"SRIC_EX";"0"
"Gavrilo";"70";"Max";"0.050036431362246"
"Vozhevatov";"70";"SRIC_EX";"0"
"Vozhevatov";"70";"Max";"0.141110915162436"
"Knurov";"70";"SRIC_EX";"0"
"Knurov";"70";"Max";"0.116041406038588"
"Ogudalova";"70";"SRIC_EX";"0"
"Ogudalova";"70";"Max";"0.0967927270557443"
"Karandyshev";"70";"SRIC_EX";"0"
"Karandyshev";"70";"Max";"0.0967620850667219"
"Larisa";"70";"SRIC_EX";"0"
"Larisa";"70";"Max";"0.103058912132877"
"Paratov";"70";"SRIC_EX";"0"
"Paratov";"70";"Max";"0.133281464315821"
"Robinzon";"70";"SRIC_EX";"0"
"Robinzon";"70";"Max";"0.120202045281185"
"EvfrosinjaPotapovna";"70";"SRIC_EX";"0"
"EvfrosinjaPotapovna";"70";"Max";"0.0329361233221212"
"Ilja";"70";"SRIC_EX";"0"
"Ilja";"70";"Max";"0.0300853758966355"
