"Element";"Quota";"Centrality";"Value"
"kuligin";"30";"SRIC_EX";"0.0759217305030486"
"kuligin";"30";"Max";"0.0684701128509067"
"kudrjash";"30";"SRIC_EX";"0.0308578813359039"
"kudrjash";"30";"Max";"0.0520225095167907"
"shapkin";"30";"SRIC_EX";"0.00892824512740367"
"shapkin";"30";"Max";"0.0292360496744575"
"boris";"30";"SRIC_EX";"0.0740560532965353"
"boris";"30";"Max";"0.0809546196413349"
"feklusha";"30";"SRIC_EX";"0.00626447912851138"
"feklusha";"30";"Max";"0.0201721740466061"
"glasha";"30";"SRIC_EX";"0.0140223441152656"
"glasha";"30";"Max";"0.03016930204529"
"varvara";"30";"SRIC_EX";"0.158186547031771"
"varvara";"30";"Max";"0.101448844429441"
"dikoj";"30";"SRIC_EX";"0.00750107391658909"
"dikoj";"30";"Max";"0.0204566249553424"
"pervyj_dejstvije_4a";"30";"SRIC_EX";"0.00775663541890188"
"pervyj_dejstvije_4a";"30";"Max";"0.015521851251985"
"pervyj_dejstvije_4b";"30";"SRIC_EX";"0.00621718580684826"
"pervyj_dejstvije_4b";"30";"Max";"0.0191587495685939"
"zhenschina_4b";"30";"SRIC_EX";"0.00621718580684826"
"zhenschina_4b";"30";"Max";"0.0191587495685939"
"katerina";"30";"SRIC_EX";"0.13762196505789"
"katerina";"30";"Max";"0.103345592514851"
"kabanova";"30";"SRIC_EX";"0.149043943535976"
"kabanova";"30";"Max";"0.0922154289759566"
"kabanov";"30";"SRIC_EX";"0.179715310786459"
"kabanov";"30";"Max";"0.106797216293203"
"odin_iz_naroda_5a";"30";"SRIC_EX";"0.0131421796440527"
"odin_iz_naroda_5a";"30";"Max";"0.0193935782342712"
"neskolko_golosov";"30";"SRIC_EX";"0.0131421796440527"
"neskolko_golosov";"30";"Max";"0.0193935782342712"
"odin_iz_naroda_5b";"30";"SRIC_EX";"0.0131421796440527"
"odin_iz_naroda_5b";"30";"Max";"0.0193935782342712"
"drugoj";"30";"SRIC_EX";"0.0131421796440527"
"drugoj";"30";"Max";"0.0193935782342712"
"tretij";"30";"SRIC_EX";"0.0131421796440527"
"tretij";"30";"Max";"0.0193935782342712"
"zhenschina_4c";"30";"SRIC_EX";"0.00703783873370855"
"zhenschina_4c";"30";"Max";"0.0172519884842414"
"pervyj_dejstvije_4c";"30";"SRIC_EX";"0.00703783873370855"
"pervyj_dejstvije_4c";"30";"Max";"0.0172519884842414"
"vtoroj_dejstvije_4b";"30";"SRIC_EX";"0.00703783873370855"
"vtoroj_dejstvije_4b";"30";"Max";"0.0172519884842414"
"barynja";"30";"SRIC_EX";"0.00139573356990807"
"barynja";"30";"Max";"0.0136258524386049"
"pervyj_dejstvije_5";"30";"SRIC_EX";"0.00960488684596135"
"pervyj_dejstvije_5";"30";"Max";"0.0151237153416489"
"vtoroj_dejstvije_5";"30";"SRIC_EX";"0.00960488684596135"
"vtoroj_dejstvije_5";"30";"Max";"0.0151237153416489"
"odin_iz_vozvrativshihsja";"30";"SRIC_EX";"0.00960488684596135"
"odin_iz_vozvrativshihsja";"30";"Max";"0.0151237153416489"
"drugoj_iz_vozvrativshihsja";"30";"SRIC_EX";"0.00960488684596135"
"drugoj_iz_vozvrativshihsja";"30";"Max";"0.0151237153416489"
"vtoroj_dejstvije_4a";"30";"SRIC_EX";"0.00552486187845304"
"vtoroj_dejstvije_4a";"30";"Max";"0.0090138021186836"
"zhenschina_4a";"30";"SRIC_EX";"0.00552486187845304"
"zhenschina_4a";"30";"Max";"0.0090138021186836"
"kuligin";"50";"SRIC_EX";"0.0731887451272918"
"kuligin";"50";"Max";"0.0743595800029772"
"kudrjash";"50";"SRIC_EX";"0.0351320275202413"
"kudrjash";"50";"Max";"0.045916420997296"
"shapkin";"50";"SRIC_EX";"0.00578518893536235"
"shapkin";"50";"Max";"0.0238095778930874"
"boris";"50";"SRIC_EX";"0.0634730641206835"
"boris";"50";"Max";"0.0740237990381242"
"feklusha";"50";"SRIC_EX";"0.00586326718171769"
"feklusha";"50";"Max";"0.0196859601792985"
"glasha";"50";"SRIC_EX";"0.00696181685379285"
"glasha";"50";"Max";"0.028178487927317"
"varvara";"50";"SRIC_EX";"0.191107822504842"
"varvara";"50";"Max";"0.103184269624644"
"dikoj";"50";"SRIC_EX";"0.00547999641317827"
"dikoj";"50";"Max";"0.0217804491294879"
"pervyj_dejstvije_4a";"50";"SRIC_EX";"0.00773363725170954"
"pervyj_dejstvije_4a";"50";"Max";"0.0152658098817928"
"pervyj_dejstvije_4b";"50";"SRIC_EX";"0.00530659926331567"
"pervyj_dejstvije_4b";"50";"Max";"0.0198295592981131"
"zhenschina_4b";"50";"SRIC_EX";"0.00530659926331567"
"zhenschina_4b";"50";"Max";"0.0198295592981131"
"katerina";"50";"SRIC_EX";"0.182950583215325"
"katerina";"50";"Max";"0.0972230215190768"
"kabanova";"50";"SRIC_EX";"0.128917099058804"
"kabanova";"50";"Max";"0.101011938189616"
"kabanov";"50";"SRIC_EX";"0.146722436002628"
"kabanov";"50";"Max";"0.112908889012875"
"odin_iz_naroda_5a";"50";"SRIC_EX";"0.012264998296528"
"odin_iz_naroda_5a";"50";"Max";"0.0200360941027069"
"neskolko_golosov";"50";"SRIC_EX";"0.012264998296528"
"neskolko_golosov";"50";"Max";"0.0200360941027069"
"odin_iz_naroda_5b";"50";"SRIC_EX";"0.012264998296528"
"odin_iz_naroda_5b";"50";"Max";"0.0200360941027069"
"drugoj";"50";"SRIC_EX";"0.012264998296528"
"drugoj";"50";"Max";"0.0200360941027069"
"tretij";"50";"SRIC_EX";"0.012264998296528"
"tretij";"50";"Max";"0.0200360941027069"
"zhenschina_4c";"50";"SRIC_EX";"0.00796954576308172"
"zhenschina_4c";"50";"Max";"0.0174295118259775"
"pervyj_dejstvije_4c";"50";"SRIC_EX";"0.00796954576308172"
"pervyj_dejstvije_4c";"50";"Max";"0.0174295118259775"
"vtoroj_dejstvije_4b";"50";"SRIC_EX";"0.00796954576308172"
"vtoroj_dejstvije_4b";"50";"Max";"0.0174295118259775"
"barynja";"50";"SRIC_EX";"0.00177749532979441"
"barynja";"50";"Max";"0.0129307422295496"
"pervyj_dejstvije_5";"50";"SRIC_EX";"0.00925295010375693"
"pervyj_dejstvije_5";"50";"Max";"0.0143946046661744"
"vtoroj_dejstvije_5";"50";"SRIC_EX";"0.00925295010375693"
"vtoroj_dejstvije_5";"50";"Max";"0.0143946046661744"
"odin_iz_vozvrativshihsja";"50";"SRIC_EX";"0.00925295010375693"
"odin_iz_vozvrativshihsja";"50";"Max";"0.0143946046661744"
"drugoj_iz_vozvrativshihsja";"50";"SRIC_EX";"0.00925295010375693"
"drugoj_iz_vozvrativshihsja";"50";"Max";"0.0143946046661744"
"vtoroj_dejstvije_4a";"50";"SRIC_EX";"0.00602409638554217"
"vtoroj_dejstvije_4a";"50";"Max";"0.0100072555612334"
