"Element";"Quota";"Centrality";"Value"
"aksjusha";"30";"SRIC_EX";"0.0625920869455556"
"aksjusha";"30";"Max";"0.073351682372515"
"karp";"30";"SRIC_EX";"0.15680944061744"
"karp";"30";"Max";"0.124339396739739"
"bulanov";"30";"SRIC_EX";"0.149780878121267"
"bulanov";"30";"Max";"0.127637704155987"
"ulita";"30";"SRIC_EX";"0.0179883336436556"
"ulita";"30";"Max";"0.0534233681832883"
"gurmyzhskaja";"30";"SRIC_EX";"0.189088062046256"
"gurmyzhskaja";"30";"Max";"0.136578768744293"
"petr";"30";"SRIC_EX";"0.0601594213997018"
"petr";"30";"Max";"0.0714506512307088"
"malchik";"30";"SRIC_EX";"0.00130445724611636"
"malchik";"30";"Max";"0.0153726516545513"
"neschastlivtsev";"30";"SRIC_EX";"0.127399232909845"
"neschastlivtsev";"30";"Max";"0.11004160276223"
"schastlivtsev";"30";"SRIC_EX";"0.0758114599763735"
"schastlivtsev";"30";"Max";"0.0889489239323972"
"milonov";"30";"SRIC_EX";"0.0463206902612037"
"milonov";"30";"Max";"0.0591206408647976"
"vosmibratov";"30";"SRIC_EX";"0.0664252465713814"
"vosmibratov";"30";"Max";"0.0806139684946951"
"bodaev";"30";"SRIC_EX";"0.0463206902612037"
"bodaev";"30";"Max";"0.0591206408647976"
"aksjusha";"50";"SRIC_EX";"0.0528055647922501"
"aksjusha";"50";"Max";"0.0754079057806363"
"karp";"50";"SRIC_EX";"0.172355316829875"
"karp";"50";"Max";"0.127736289296853"
"bulanov";"50";"SRIC_EX";"0.16741315715381"
"bulanov";"50";"Max";"0.1227542413728"
"ulita";"50";"SRIC_EX";"0.0128699686815965"
"ulita";"50";"Max";"0.0457568298107203"
"gurmyzhskaja";"50";"SRIC_EX";"0.217164203053444"
"gurmyzhskaja";"50";"Max";"0.14680241499716"
"petr";"50";"SRIC_EX";"0.0525201064951352"
"petr";"50";"Max";"0.0703892684489181"
"malchik";"50";"SRIC_EX";"0.000848256804126011"
"malchik";"50";"Max";"0.0122638269076472"
"neschastlivtsev";"50";"SRIC_EX";"0.121240248475796"
"neschastlivtsev";"50";"Max";"0.118168444269541"
"schastlivtsev";"50";"SRIC_EX";"0.063871567392939"
"schastlivtsev";"50";"Max";"0.0815164323136674"
"milonov";"50";"SRIC_EX";"0.039984252538422"
"milonov";"50";"Max";"0.0601742636338776"
"vosmibratov";"50";"SRIC_EX";"0.0589431052441848"
"vosmibratov";"50";"Max";"0.0788558195343022"
"bodaev";"50";"SRIC_EX";"0.039984252538422"
"bodaev";"50";"Max";"0.0601742636338776"
"aksjusha";"70";"SRIC_EX";"0.0769230769230769"
"aksjusha";"70";"Max";"0.0745101076904919"
"karp";"70";"SRIC_EX";"0.328618848318661"
"karp";"70";"Max";"0.129701381200064"
"bulanov";"70";"SRIC_EX";"0.187328618848319"
"bulanov";"70";"Max";"0.123550434233582"
"ulita";"70";"SRIC_EX";"0"
"ulita";"70";"Max";"0.0437495779268255"
"gurmyzhskaja";"70";"SRIC_EX";"0.187328618848319"
"gurmyzhskaja";"70";"Max";"0.14909997084235"
"petr";"70";"SRIC_EX";"0.0769230769230769"
"petr";"70";"Max";"0.0692094516457466"
"malchik";"70";"SRIC_EX";"0"
"malchik";"70";"Max";"0.0108808404867428"
"neschastlivtsev";"70";"SRIC_EX";"0"
"neschastlivtsev";"70";"Max";"0.119236917728724"
"schastlivtsev";"70";"SRIC_EX";"0.142877760138548"
"schastlivtsev";"70";"Max";"0.0798708514318319"
"milonov";"70";"SRIC_EX";"0"
"milonov";"70";"Max";"0.0607992033505349"
"vosmibratov";"70";"SRIC_EX";"0"
"vosmibratov";"70";"Max";"0.0785920601125711"
"bodaev";"70";"SRIC_EX";"0"
"bodaev";"70";"Max";"0.0607992033505349"
