"Element";"Quota";"Centrality";"Value"
"bessudnyj";"30";"SRIC_EX";"0.223614321253139"
"bessudnyj";"30";"Max";"0.155832360197145"
"razzorennyj";"30";"SRIC_EX";"0.0167306960506489"
"razzorennyj";"30";"Max";"0.05145039510997"
"evgeniya";"30";"SRIC_EX";"0.191960282788987"
"evgeniya";"30";"Max";"0.146766652092933"
"annushka";"30";"SRIC_EX";"0.150174708036518"
"annushka";"30";"Max";"0.127969490181167"
"zhuk";"30";"SRIC_EX";"0.101140417147603"
"zhuk";"30";"Max";"0.114642816537282"
"milovidov";"30";"SRIC_EX";"0.139806303221475"
"milovidov";"30";"Max";"0.12643272160158"
"pyzhikov";"30";"SRIC_EX";"0.0283403749328962"
"pyzhikov";"30";"Max";"0.0497575478559632"
"neputevyj";"30";"SRIC_EX";"0.0627751650514631"
"neputevyj";"30";"Max";"0.0759973336029041"
"senya";"30";"SRIC_EX";"0.0674273345138843"
"senya";"30";"Max";"0.0794109858323295"
"ivan";"30";"SRIC_EX";"0.00900938842275058"
"ivan";"30";"Max";"0.0378259960269832"
"grishka";"30";"SRIC_EX";"0.00902100858063457"
"grishka";"30";"Max";"0.033913700961743"
"bessudnyj";"50";"SRIC_EX";"0.231971401556917"
"bessudnyj";"50";"Max";"0.168624837426003"
"razzorennyj";"50";"SRIC_EX";"0.014493725697571"
"razzorennyj";"50";"Max";"0.0448516103746394"
"evgeniya";"50";"SRIC_EX";"0.194578261310696"
"evgeniya";"50";"Max";"0.154252113985496"
"annushka";"50";"SRIC_EX";"0.153131324516567"
"annushka";"50";"Max";"0.134721708915443"
"zhuk";"50";"SRIC_EX";"0.103193171109612"
"zhuk";"50";"Max";"0.105375096558146"
"milovidov";"50";"SRIC_EX";"0.14327873172194"
"milovidov";"50";"Max";"0.124655504472199"
"pyzhikov";"50";"SRIC_EX";"0.0206836964395913"
"pyzhikov";"50";"Max";"0.0514121889662266"
"neputevyj";"50";"SRIC_EX";"0.0583699453107972"
"neputevyj";"50";"Max";"0.0744848045023924"
"senya";"50";"SRIC_EX";"0.0656600451592138"
"senya";"50";"Max";"0.0791357369972472"
"ivan";"50";"SRIC_EX";"0.0075722665083102"
"ivan";"50";"Max";"0.0339009914303392"
"grishka";"50";"SRIC_EX";"0.00706743066878361"
"grishka";"50";"Max";"0.0285854063718682"
"bessudnyj";"70";"SRIC_EX";"0.214343491556562"
"bessudnyj";"70";"Max";"0.170878790653262"
"razzorennyj";"70";"SRIC_EX";"0.00755715095409031"
"razzorennyj";"70";"Max";"0.0416577923833424"
"evgeniya";"70";"SRIC_EX";"0.224314302423558"
"evgeniya";"70";"Max";"0.156784784840494"
"annushka";"70";"SRIC_EX";"0.20629708561135"
"annushka";"70";"Max";"0.136444815664479"
"zhuk";"70";"SRIC_EX";"0.131238142317655"
"zhuk";"70";"Max";"0.105212762412594"
"milovidov";"70";"SRIC_EX";"0.136844269298051"
"milovidov";"70";"Max";"0.125062123115465"
"pyzhikov";"70";"SRIC_EX";"0.0119807210730335"
"pyzhikov";"70";"Max";"0.0515603008225297"
"neputevyj";"70";"SRIC_EX";"0.0321558772342827"
"neputevyj";"70";"Max";"0.0748139017477349"
"senya";"70";"SRIC_EX";"0.0289724891363015"
"senya";"70";"Max";"0.078128795772906"
"ivan";"70";"SRIC_EX";"0.00386779184247539"
"ivan";"70";"Max";"0.0318674333401875"
"grishka";"70";"SRIC_EX";"0.00242867855264189"
"grishka";"70";"Max";"0.0275884992470063"
