"Element";"Quota";"Centrality";"Value"
"glumov";"30";"SRIC_EX";"0.162186985918805"
"glumov";"30";"Max";"0.106130869308938"
"glumova";"30";"SRIC_EX";"0.0317370495359199"
"glumova";"30";"Max";"0.0579121806259811"
"kurchaev";"30";"SRIC_EX";"0.0671608229384527"
"kurchaev";"30";"Max";"0.0771737927194965"
"golutvin";"30";"SRIC_EX";"0.00262014574864305"
"golutvin";"30";"Max";"0.0253338409598832"
"chelovek_mamaeva";"30";"SRIC_EX";"0.00911129795345711"
"chelovek_mamaeva";"30";"Max";"0.0339239418579711"
"mamaev";"30";"SRIC_EX";"0.082920959776944"
"mamaev";"30";"Max";"0.0819468431971539"
"manefa";"30";"SRIC_EX";"0.00827521007834308"
"manefa";"30";"Max";"0.0286776449748254"
"mamaeva";"30";"SRIC_EX";"0.138442377043168"
"mamaeva";"30";"Max";"0.0991688814641641"
"gorodulin";"30";"SRIC_EX";"0.0322882831544856"
"gorodulin";"30";"Max";"0.0522534080223669"
"chelovek_krutickogo";"30";"SRIC_EX";"0.00215212884355331"
"chelovek_krutickogo";"30";"Max";"0.0182860287145787"
"krutickij";"30";"SRIC_EX";"0.0593746100698163"
"krutickij";"30";"Max";"0.0717050687069133"
"turusina";"30";"SRIC_EX";"0.153649001586497"
"turusina";"30";"Max";"0.103848407703977"
"grigorij";"30";"SRIC_EX";"0.0948201586371419"
"grigorij";"30";"Max";"0.0801073802751419"
"mashenka";"30";"SRIC_EX";"0.112393058606766"
"mashenka";"30";"Max";"0.0881901795593689"
"pervaja_prizhivalka";"30";"SRIC_EX";"0.0265627065284387"
"pervaja_prizhivalka";"30";"Max";"0.0429144824633309"
"vtoraja_prizhivalka";"30";"SRIC_EX";"0.0163052035795683"
"vtoraja_prizhivalka";"30";"Max";"0.032427049445909"
"glumov";"50";"SRIC_EX";"0.168279664608555"
"glumov";"50";"Max";"0.116267233028537"
"glumova";"50";"SRIC_EX";"0.0446766242495216"
"glumova";"50";"Max";"0.0529152363072182"
"kurchaev";"50";"SRIC_EX";"0.0610009499085234"
"kurchaev";"50";"Max";"0.0766437766233652"
"golutvin";"50";"SRIC_EX";"0.000667853962600178"
"golutvin";"50";"Max";"0.0207472138456652"
"chelovek_mamaeva";"50";"SRIC_EX";"0.00938307583549478"
"chelovek_mamaeva";"50";"Max";"0.0281645677538142"
"mamaev";"50";"SRIC_EX";"0.0910606628946745"
"mamaev";"50";"Max";"0.0851353770279036"
"manefa";"50";"SRIC_EX";"0.00770638852112899"
"manefa";"50";"Max";"0.027408465068811"
"mamaeva";"50";"SRIC_EX";"0.135152261250258"
"mamaeva";"50";"Max";"0.102758852997321"
"gorodulin";"50";"SRIC_EX";"0.0308772294775357"
"gorodulin";"50";"Max";"0.0514389518382174"
"chelovek_krutickogo";"50";"SRIC_EX";"0.00111282441541483"
"chelovek_krutickogo";"50";"Max";"0.0158162912390463"
"krutickij";"50";"SRIC_EX";"0.0542671074654941"
"krutickij";"50";"Max";"0.0693346229247654"
"turusina";"50";"SRIC_EX";"0.146237932434962"
"turusina";"50";"Max";"0.110531102752123"
"grigorij";"50";"SRIC_EX";"0.0941193247143151"
"grigorij";"50";"Max";"0.0780771045327091"
"mashenka";"50";"SRIC_EX";"0.11794939137991"
"mashenka";"50";"Max";"0.0914647998094462"
"pervaja_prizhivalka";"50";"SRIC_EX";"0.0238891676536332"
"pervaja_prizhivalka";"50";"Max";"0.0426687607553283"
"vtoraja_prizhivalka";"50";"SRIC_EX";"0.0136195412279781"
"vtoraja_prizhivalka";"50";"Max";"0.0306276434957289"
"glumov";"70";"SRIC_EX";"0.241750137476295"
"glumov";"70";"Max";"0.117858235939686"
"glumova";"70";"SRIC_EX";"0.0212652844231792"
"glumova";"70";"Max";"0.0502366826994799"
"kurchaev";"70";"SRIC_EX";"0.0263157894736842"
"kurchaev";"70";"Max";"0.0809910123899732"
"golutvin";"70";"SRIC_EX";"0"
"golutvin";"70";"Max";"0.00851921809268522"
"chelovek_mamaeva";"70";"SRIC_EX";"0.0136705399863295"
"chelovek_mamaeva";"70";"Max";"0.0259502159790997"
"mamaev";"70";"SRIC_EX";"0.142730856620845"
"mamaev";"70";"Max";"0.0975525551608548"
"manefa";"70";"SRIC_EX";"0.0289520267359602"
"manefa";"70";"Max";"0.024832637810787"
"mamaeva";"70";"SRIC_EX";"0.180780614100757"
"mamaeva";"70";"Max";"0.102248616372184"
"gorodulin";"70";"SRIC_EX";"0"
"gorodulin";"70";"Max";"0.0506394212767151"
"chelovek_krutickogo";"70";"SRIC_EX";"0"
"chelovek_krutickogo";"70";"Max";"0.0124481578223989"
"krutickij";"70";"SRIC_EX";"0.0175438596491228"
"krutickij";"70";"Max";"0.0647084108075412"
"turusina";"70";"SRIC_EX";"0.146108185443366"
"turusina";"70";"Max";"0.111804442299718"
"grigorij";"70";"SRIC_EX";"0.0566016931667901"
"grigorij";"70";"Max";"0.0846382317407642"
"mashenka";"70";"SRIC_EX";"0.0566016931667901"
"mashenka";"70";"Max";"0.0946583814135774"
"pervaja_prizhivalka";"70";"SRIC_EX";"0.037989711119905"
"pervaja_prizhivalka";"70";"Max";"0.0427554796204336"
"vtoraja_prizhivalka";"70";"SRIC_EX";"0.0296896086369771"
"vtoraja_prizhivalka";"70";"Max";"0.0301583005741007"
