"Element";"Quota";"Centrality";"Value"
"pervyj_kupec";"30";"SRIC_EX";"0.00662251655629139"
"pervyj_kupec";"30";"Max";"0.00353212511272625"
"zhena";"30";"SRIC_EX";"0.00662251655629139"
"zhena";"30";"Max";"0.00353212511272625"
"vtoroj_kupec";"30";"SRIC_EX";"0.00662251655629139"
"vtoroj_kupec";"30";"Max";"0.00353212511272625"
"pogulyaev";"30";"SRIC_EX";"0.116027555441442"
"pogulyaev";"30";"Max";"0.0974214769930931"
"pervyj_student";"30";"SRIC_EX";"0.0188057854780541"
"pervyj_student";"30";"Max";"0.0318281170060404"
"vtoroj_student";"30";"SRIC_EX";"0.0188057854780541"
"vtoroj_student";"30";"Max";"0.0318281170060404"
"studenty";"30";"SRIC_EX";"0.0188057854780541"
"studenty";"30";"Max";"0.0318281170060404"
"kiselnikov";"30";"SRIC_EX";"0.267010828167016"
"kiselnikov";"30";"Max";"0.143359554615843"
"tretij_student";"30";"SRIC_EX";"0.0084107045048449"
"tretij_student";"30";"Max";"0.0195371148128449"
"pereyarkov";"30";"SRIC_EX";"0.0685759248248986"
"pereyarkov";"30";"Max";"0.0743274376501314"
"prohodyashchij";"30";"SRIC_EX";"0.00772915014619958"
"prohodyashchij";"30";"Max";"0.0236600776828609"
"borovcova";"30";"SRIC_EX";"0.0659289915627635"
"borovcova";"30";"Max";"0.0720609907027988"
"borovcov";"30";"SRIC_EX";"0.123112915082883"
"borovcov";"30";"Max";"0.101982108964435"
"turuntaev";"30";"SRIC_EX";"0.0397630859470586"
"turuntaev";"30";"Max";"0.0584315606082232"
"glafira";"30";"SRIC_EX";"0.111492886082252"
"glafira";"30";"Max";"0.0977032538030193"
"liza";"30";"SRIC_EX";"0.0353701792164693"
"liza";"30";"Max";"0.0666591854294487"
"anna_ustinovna";"30";"SRIC_EX";"0.0707912330081357"
"anna_ustinovna";"30";"Max";"0.0835078331516223"
"aksinya";"30";"SRIC_EX";"0.00785014251322861"
"aksinya";"30";"Max";"0.0313567369433098"
"neizvestnyj";"30";"SRIC_EX";"0.00165149739977087"
"neizvestnyj";"30";"Max";"0.0239119422860695"
"pervyj_kupec";"50";"SRIC_EX";"0.00662251655629139"
"pervyj_kupec";"50";"Max";"0.00612373377254066"
"zhena";"50";"SRIC_EX";"0.00662251655629139"
"zhena";"50";"Max";"0.00612373377254066"
