"Element";"Quota";"Centrality";"Value"
"leshij";"30";"SRIC_EX";"0.00710456968418042"
"leshij";"30";"Max";"0.015955606788464"
"vesna_krasna";"30";"SRIC_EX";"0.0117932319827002"
"vesna_krasna";"30";"Max";"0.0205294734298692"
"hor_ptits";"30";"SRIC_EX";"0.00147378988589653"
"hor_ptits";"30";"Max";"0.00816753974755798"
"snegurochka";"30";"SRIC_EX";"0.176584954780649"
"snegurochka";"30";"Max";"0.0849879057166285"
"moroz";"30";"SRIC_EX";"0.00556601061122951"
"moroz";"30";"Max";"0.0147301984340009"
"golosa_leshih";"30";"SRIC_EX";"0.0028247730731503"
"golosa_leshih";"30";"Max";"0.00855899580284102"
"mizgir";"30";"SRIC_EX";"0.109011194484362"
"mizgir";"30";"Max";"0.0604398828974745"
"perviy_hor_berendeev";"30";"SRIC_EX";"0.00820132714772523"
"perviy_hor_berendeev";"30";"Max";"0.012738699039828"
"vtoroj_hor_berendeev";"30";"SRIC_EX";"0.00820132714772523"
"vtoroj_hor_berendeev";"30";"Max";"0.012738699039828"
"chuchelo_masljanitsy";"30";"SRIC_EX";"0.00820132714772523"
"chuchelo_masljanitsy";"30";"Max";"0.012738699039828"
"bobyliha";"30";"SRIC_EX";"0.0492117982337389"
"bobyliha";"30";"Max";"0.0450106114105525"
"bobyl";"30";"SRIC_EX";"0.0404840314902561"
"bobyl";"30";"Max";"0.0395889450448825"
"berendei";"30";"SRIC_EX";"0.00820132714772523"
"berendei";"30";"Max";"0.012738699039828"
"odin_berendej";"30";"SRIC_EX";"0.00820132714772523"
"odin_berendej";"30";"Max";"0.012738699039828"
"golosa_iz_lesu";"30";"SRIC_EX";"0.00820132714772523"
"golosa_iz_lesu";"30";"Max";"0.012738699039828"
"birjuch";"30";"SRIC_EX";"0.000481515535541511"
"birjuch";"30";"Max";"0.00808472149368517"
"lel";"30";"SRIC_EX";"0.125849601735858"
"lel";"30";"Max";"0.0639033369485025"
"malusha";"30";"SRIC_EX";"0.0463031582829042"
"malusha";"30";"Max";"0.0417531378076615"
"radushka";"30";"SRIC_EX";"0.0463031582829042"
"radushka";"30";"Max";"0.0417531378076615"
"brusilo";"30";"SRIC_EX";"0.0463031582829042"
"brusilo";"30";"Max";"0.0417531378076615"
"kurilka";"30";"SRIC_EX";"0.0212256845431812"
"kurilka";"30";"Max";"0.0320976656050736"
"kupava";"30";"SRIC_EX";"0.06559423130404"
"kupava";"30";"Max";"0.0510315783560964"
"malysh";"30";"SRIC_EX";"0.0118222724392708"
"malysh";"30";"Max";"0.023249072210314"
"tsar";"30";"SRIC_EX";"0.0578905173558985"
"tsar";"30";"Max";"0.050038232725865"
"bermjata";"30";"SRIC_EX";"0.0258668578492865"
"bermjata";"30";"Max";"0.0278005255515018"
"elena_prekrasnaja";"30";"SRIC_EX";"0.0148688844147981"
"elena_prekrasnaja";"30";"Max";"0.0264714834227659"
"narod";"30";"SRIC_EX";"0.0103866949190022"
"narod";"30";"Max";"0.0232879071364334"
"devushki_i_parni";"30";"SRIC_EX";"0.00266054556856278"
"devushki_i_parni";"30";"Max";"0.0159118009918014"
"murash";"30";"SRIC_EX";"0.0270480853065531"
"murash";"30";"Max";"0.0373785498157145"
"odna_storona";"30";"SRIC_EX";"0.00493996393288376"
"odna_storona";"30";"Max";"0.0123137783739232"
"drugaja_storona";"30";"SRIC_EX";"0.00493996393288376"
"drugaja_storona";"30";"Max";"0.0123137783739232"
"golosa_iz_naroda";"30";"SRIC_EX";"0.00493996393288376"
"golosa_iz_naroda";"30";"Max";"0.0123137783739232"
"obschij_hor";"30";"SRIC_EX";"0.00493996393288376"
"obschij_hor";"30";"Max";"0.0123137783739232"
"berendej";"30";"SRIC_EX";"0.000419896083493833"
"berendej";"30";"Max";"0.00920125890669599"
"vse_1-8";"30";"SRIC_EX";"0.00281941571105031"
"vse_1-8";"30";"Max";"0.013730787158166"
"hor_naroda";"30";"SRIC_EX";"0.00255672462348853"
"hor_naroda";"30";"Max";"0.0129278377051481"
"perviy_birjuch";"30";"SRIC_EX";"0.00285089794849841"
"perviy_birjuch";"30";"Max";"0.00972152116550593"
"vtoroj_birjuch";"30";"SRIC_EX";"0.00285089794849841"
"vtoroj_birjuch";"30";"Max";"0.00972152116550593"
"otrok";"30";"SRIC_EX";"0.00370131709361051"
"otrok";"30";"Max";"0.0139367676063031"
"gusljary";"30";"SRIC_EX";"0.00305810397553517"
"gusljary";"30";"Max";"0.00752985053500151"
"perviy_skomoroh";"30";"SRIC_EX";"0.00305810397553517"
"perviy_skomoroh";"30";"Max";"0.00752985053500151"
"vtoroj_skomoroh";"30";"SRIC_EX";"0.00305810397553517"
"vtoroj_skomoroh";"30";"Max";"0.00752985053500151"
"leshij";"50";"SRIC_EX";"0.021871859714079"
"leshij";"50";"Max";"0.00995850235305318"
