"Element";"Quota";"Centrality";"Value"
"lipochka";"30";"SRIC_EX";"0.16004914350835"
"lipochka";"30";"Max";"0.148239982403524"
"agrafena_kondratevna";"30";"SRIC_EX";"0.212186305270752"
"agrafena_kondratevna";"30";"Max";"0.169722270356024"
"fominishna";"30";"SRIC_EX";"0.0711482232859552"
"fominishna";"30";"Max";"0.0911402903425458"
"ustinja_naumovna";"30";"SRIC_EX";"0.161857034412737"
"ustinja_naumovna";"30";"Max";"0.144582986290884"
"bolshov";"30";"SRIC_EX";"0.146768643737677"
"bolshov";"30";"Max";"0.14109741438605"
"tishka";"30";"SRIC_EX";"0.0199893639564364"
"tishka";"30";"Max";"0.0602520242271122"
"rispolozhenskij";"30";"SRIC_EX";"0.0727986736148392"
"rispolozhenskij";"30";"Max";"0.104163357899965"
"podhaljuzin";"30";"SRIC_EX";"0.155202612213253"
"podhaljuzin";"30";"Max";"0.140801674093896"
"lipochka";"50";"SRIC_EX";"0.147329793315504"
"lipochka";"50";"Max";"0.144548734873667"
"agrafena_kondratevna";"50";"SRIC_EX";"0.215762609301383"
"agrafena_kondratevna";"50";"Max";"0.180016353123165"
"fominishna";"50";"SRIC_EX";"0.0798040211505493"
"fominishna";"50";"Max";"0.0943971201555299"
"ustinja_naumovna";"50";"SRIC_EX";"0.163121597458241"
"ustinja_naumovna";"50";"Max";"0.143782411389009"
"bolshov";"50";"SRIC_EX";"0.150943391736165"
"bolshov";"50";"Max";"0.139656649597874"
"tishka";"50";"SRIC_EX";"0.0234344359702797"
"tishka";"50";"Max";"0.0548114807561547"
"rispolozhenskij";"50";"SRIC_EX";"0.0733720679884534"
"rispolozhenskij";"50";"Max";"0.100212378752021"
"podhaljuzin";"50";"SRIC_EX";"0.146232083079424"
"podhaljuzin";"50";"Max";"0.142574871352579"
"lipochka";"70";"SRIC_EX";"0.169525178001449"
"lipochka";"70";"Max";"0.142567956117132"
"agrafena_kondratevna";"70";"SRIC_EX";"0.203736018102314"
"agrafena_kondratevna";"70";"Max";"0.182460025622837"
"fominishna";"70";"SRIC_EX";"0.0622098175289611"
"fominishna";"70";"Max";"0.0952614904188069"
"ustinja_naumovna";"70";"SRIC_EX";"0.173325254834553"
"ustinja_naumovna";"70";"Max";"0.144449396736565"
"bolshov";"70";"SRIC_EX";"0.152085073473057"
"bolshov";"70";"Max";"0.140324503479545"
"tishka";"70";"SRIC_EX";"0.0036065190268247"
"tishka";"70";"Max";"0.0532654587300723"
"rispolozhenskij";"70";"SRIC_EX";"0.0539275853930407"
"rispolozhenskij";"70";"Max";"0.0972559552325922"
"podhaljuzin";"70";"SRIC_EX";"0.1815845536398"
"podhaljuzin";"70";"Max";"0.14441521366245"
