"Element";"Quota";"Centrality";"Value"
"pavlin";"30";"SRIC_EX";"0.0854227152539696"
"pavlin";"30";"Max";"0.0790894118764998"
"stoljar";"30";"SRIC_EX";"0.0287557432466156"
"stoljar";"30";"Max";"0.0310412168724088"
"maljar";"30";"SRIC_EX";"0.0287557432466156"
"maljar";"30";"Max";"0.0310412168724088"
"starosta";"30";"SRIC_EX";"0.0287557432466156"
"starosta";"30";"Max";"0.0310412168724088"
"podrjadchik";"30";"SRIC_EX";"0.0287557432466156"
"podrjadchik";"30";"Max";"0.0310412168724088"
"pervyj_krestjanin";"30";"SRIC_EX";"0.010036963320223"
"pervyj_krestjanin";"30";"Max";"0.0173173539240606"
"vtoroj_krestjanin";"30";"SRIC_EX";"0.010036963320223"
"vtoroj_krestjanin";"30";"Max";"0.0173173539240606"
"chugunov";"30";"SRIC_EX";"0.068891701640207"
"chugunov";"30";"Max";"0.0730025351655029"
"murzavetskij";"30";"SRIC_EX";"0.0567508646059303"
"murzavetskij";"30";"Max";"0.0692882373706639"
"vlas";"30";"SRIC_EX";"0.000894658209398702"
"vlas";"30";"Max";"0.0142708191332893"
"glafira";"30";"SRIC_EX";"0.0673488980233124"
"glafira";"30";"Max";"0.074646893143729"
"murzavetskaja";"30";"SRIC_EX";"0.135044718109271"
"murzavetskaja";"30";"Max";"0.109247445352224"
"lynjaev";"30";"SRIC_EX";"0.106535679900243"
"lynjaev";"30";"Max";"0.0881364324473661"
"anfusa";"30";"SRIC_EX";"0.0994086199483897"
"anfusa";"30";"Max";"0.0992167576031866"
"berkutov";"30";"SRIC_EX";"0.0679942099161155"
"berkutov";"30";"Max";"0.0736336430709357"
"kupavina";"30";"SRIC_EX";"0.166917748565029"
"kupavina";"30";"Max";"0.112743127731501"
"goretskij";"30";"SRIC_EX";"0.00226039442714416"
"goretskij";"30";"Max";"0.0167587174954528"
"lakej";"30";"SRIC_EX";"0.00743289177408154"
"lakej";"30";"Max";"0.0311664042718929"
"pavlin";"50";"SRIC_EX";"0.086041239817253"
"pavlin";"50";"Max";"0.0824606626574688"
"stoljar";"50";"SRIC_EX";"0.0265589254751441"
"stoljar";"50";"Max";"0.0312273366592182"
"maljar";"50";"SRIC_EX";"0.0265589254751441"
"maljar";"50";"Max";"0.0312273366592182"
"starosta";"50";"SRIC_EX";"0.0265589254751441"
"starosta";"50";"Max";"0.0312273366592182"
"podrjadchik";"50";"SRIC_EX";"0.0265589254751441"
"podrjadchik";"50";"Max";"0.0312273366592182"
"pervyj_krestjanin";"50";"SRIC_EX";"0.0100898949091949"
"pervyj_krestjanin";"50";"Max";"0.0174409095510901"
"vtoroj_krestjanin";"50";"SRIC_EX";"0.0100898949091949"
"vtoroj_krestjanin";"50";"Max";"0.0174409095510901"
"chugunov";"50";"SRIC_EX";"0.071106220785418"
"chugunov";"50";"Max";"0.071549011142735"
"murzavetskij";"50";"SRIC_EX";"0.0581107906446363"
"murzavetskij";"50";"Max";"0.0655677456262461"
"vlas";"50";"SRIC_EX";"0.000569003240779228"
"vlas";"50";"Max";"0.0110895797281641"
"glafira";"50";"SRIC_EX";"0.0688226446626137"
"glafira";"50";"Max";"0.0718917549909366"
"murzavetskaja";"50";"SRIC_EX";"0.148393770805772"
"murzavetskaja";"50";"Max";"0.112445834979234"
"lynjaev";"50";"SRIC_EX";"0.103087621656065"
"lynjaev";"50";"Max";"0.0871261866035922"
"anfusa";"50";"SRIC_EX";"0.106632236810287"
"anfusa";"50";"Max";"0.0956888734967923"
"berkutov";"50";"SRIC_EX";"0.0564676152190476"
"berkutov";"50";"Max";"0.0731968853781704"
"kupavina";"50";"SRIC_EX";"0.165571225979004"
"kupavina";"50";"Max";"0.125489747509901"
"goretskij";"50";"SRIC_EX";"0.00147068076297777"
"goretskij";"50";"Max";"0.0156787146551731"
"lakej";"50";"SRIC_EX";"0.00731145789717918"
"lakej";"50";"Max";"0.0280238374925343"
"pavlin";"70";"SRIC_EX";"0.0962955962955963"
"pavlin";"70";"Max";"0.0922850504334595"
"stoljar";"70";"SRIC_EX";"0.055"
"stoljar";"70";"Max";"0.0269697105525159"
"maljar";"70";"SRIC_EX";"0.055"
"maljar";"70";"Max";"0.0269697105525159"
"starosta";"70";"SRIC_EX";"0.055"
"starosta";"70";"Max";"0.0269697105525159"
"podrjadchik";"70";"SRIC_EX";"0.055"
"podrjadchik";"70";"Max";"0.0269697105525159"
"pervyj_krestjanin";"70";"SRIC_EX";"0"
"pervyj_krestjanin";"70";"Max";"0.0142174137131917"
"vtoroj_krestjanin";"70";"SRIC_EX";"0"
"vtoroj_krestjanin";"70";"Max";"0.0142174137131917"
"chugunov";"70";"SRIC_EX";"0.0247007210643574"
"chugunov";"70";"Max";"0.064232168657075"
"murzavetskij";"70";"SRIC_EX";"0.0257233336741533"
"murzavetskij";"70";"Max";"0.0618843718312851"
"vlas";"70";"SRIC_EX";"0"
"vlas";"70";"Max";"0.00625469417451221"
"glafira";"70";"SRIC_EX";"0.0961601368978418"
"glafira";"70";"Max";"0.0740676697534068"
"murzavetskaja";"70";"SRIC_EX";"0.106871901812289"
"murzavetskaja";"70";"Max";"0.105396217864772"
"lynjaev";"70";"SRIC_EX";"0.0722898776997138"
"lynjaev";"70";"Max";"0.0945299967357543"
"anfusa";"70";"SRIC_EX";"0.101162752071843"
"anfusa";"70";"Max";"0.101081224682534"
"berkutov";"70";"SRIC_EX";"0.043381204118909"
"berkutov";"70";"Max";"0.0807188029654906"
"kupavina";"70";"SRIC_EX";"0.209644552595372"
"kupavina";"70";"Max";"0.138745303508203"
"goretskij";"70";"SRIC_EX";"0.000942480942480943"
"goretskij";"70";"Max";"0.0154184851697064"
"lakej";"70";"SRIC_EX";"0.00282744282744283"
"lakej";"70";"Max";"0.0290723445873543"
