"Element";"Quota";"Centrality";"Value"
"dimitrij";"30";"SRIC_EX";"0.314966549427288"
"dimitrij";"30";"Max";"0.166776372660606"
"tverskij";"30";"SRIC_EX";"0.222123445113087"
"tverskij";"30";"Max";"0.148089584924145"
"belozerskij";"30";"SRIC_EX";"0.182446713487801"
"belozerskij";"30";"Max";"0.136932890547335"
"smolenskij";"30";"SRIC_EX";"0.0391469303913983"
"smolenskij";"30";"Max";"0.0874166174415422"
"posol";"30";"SRIC_EX";"0.00182634847176899"
"posol";"30";"Max";"0.0500182793297699"
"brenskij";"30";"SRIC_EX";"0.0652598651678072"
"brenskij";"30";"Max";"0.135791558011209"
"voin";"30";"SRIC_EX";"0.039453067627031"
"voin";"30";"Max";"0.0786371363944157"
"ksenija";"30";"SRIC_EX";"0.102023870058596"
"ksenija";"30";"Max";"0.0976886102666801"
"bojarin";"30";"SRIC_EX";"0.0266630183190167"
"bojarin";"30";"Max";"0.0495892103329539"
"izbrana";"30";"SRIC_EX";"0.00609019193620524"
"izbrana";"30";"Max";"0.0490597400913426"
"dimitrij";"50";"SRIC_EX";"0.344774649442378"
"dimitrij";"50";"Max";"0.208419172214598"
"tverskij";"50";"SRIC_EX";"0.200291302118655"
"tverskij";"50";"Max";"0.160796153051376"
"belozerskij";"50";"SRIC_EX";"0.171393182454484"
"belozerskij";"50";"Max";"0.145863158049231"
"smolenskij";"50";"SRIC_EX";"0.0770329521539068"
"smolenskij";"50";"Max";"0.0889766452235453"
"posol";"50";"SRIC_EX";"0.000969013710159693"
"posol";"50";"Max";"0.0174985515234805"
"brenskij";"50";"SRIC_EX";"0.0601605640877479"
"brenskij";"50";"Max";"0.116390766931916"
"voin";"50";"SRIC_EX";"0.0374851953092797"
"voin";"50";"Max";"0.0694022352316549"
"ksenija";"50";"SRIC_EX";"0.082457294581147"
"ksenija";"50";"Max";"0.103610043795593"
"bojarin";"50";"SRIC_EX";"0.0217134391682033"
"bojarin";"50";"Max";"0.051839501113702"
"izbrana";"50";"SRIC_EX";"0.00372240697403895"
"izbrana";"50";"Max";"0.0372037728649037"
"dimitrij";"70";"SRIC_EX";"0.290814865354127"
"dimitrij";"70";"Max";"0.224480908109043"
"tverskij";"70";"SRIC_EX";"0.232288691807312"
"tverskij";"70";"Max";"0.165343529501284"
"belozerskij";"70";"SRIC_EX";"0.218262969435435"
"belozerskij";"70";"Max";"0.149386306972706"
"smolenskij";"70";"SRIC_EX";"0.0349375523318141"
"smolenskij";"70";"Max";"0.0900653066766991"
"posol";"70";"SRIC_EX";"0"
"posol";"70";"Max";"0.0153398020453238"
"brenskij";"70";"SRIC_EX";"0.0564347826086957"
"brenskij";"70";"Max";"0.0989602185101107"
"voin";"70";"SRIC_EX";"0.00832606829808947"
"voin";"70";"Max";"0.0643764681388439"
"ksenija";"70";"SRIC_EX";"0.132083385835794"
"ksenija";"70";"Max";"0.110628672942899"
"bojarin";"70";"SRIC_EX";"0.0221193566150391"
"bojarin";"70";"Max";"0.0520679396403696"
"izbrana";"70";"SRIC_EX";"0.00473232771369417"
"izbrana";"70";"Max";"0.029350847462722"
