"Element";"Quota";"Centrality";"Value"
"lukavin";"30";"SRIC_EX";"0.158985452717427"
"lukavin";"30";"Max";"0.129466358454667"
"zmejkin";"30";"SRIC_EX";"0.0993254974049009"
"zmejkin";"30";"Max";"0.0926333917883937"
"masha";"30";"SRIC_EX";"0.00826060086457637"
"masha";"30";"Max";"0.0335473108128055"
"dosazhaeva";"30";"SRIC_EX";"0.0572938530612302"
"dosazhaeva";"30";"Max";"0.0875358899320961"
"dosazhaev";"30";"SRIC_EX";"0.215748017583367"
"dosazhaev";"30";"Max";"0.139882246177625"
"vetron";"30";"SRIC_EX";"0.211080602680109"
"vetron";"30";"Max";"0.138747970233259"
"zdravosudov";"30";"SRIC_EX";"0.163789447330677"
"zdravosudov";"30";"Max";"0.132386681339896"
"sluga_lukavina";"30";"SRIC_EX";"0.00999479915242178"
"sluga_lukavina";"30";"Max";"0.0432610891157824"
"gosti";"30";"SRIC_EX";"0.00550071334830436"
"gosti";"30";"Max";"0.0317934044180644"
"usladov";"30";"SRIC_EX";"0.0425351432587704"
"usladov";"30";"Max";"0.0694884988307451"
"sluga_vetrona";"30";"SRIC_EX";"0.00191241699794948"
"sluga_vetrona";"30";"Max";"0.0164328584933817"
"moisej";"30";"SRIC_EX";"0.0161228342557084"
"moisej";"30";"Max";"0.0533598596491353"
"porfirij";"30";"SRIC_EX";"0.00945062134455834"
"porfirij";"30";"Max";"0.0314644407541503"
"lukavin";"50";"SRIC_EX";"0.158474345042187"
"lukavin";"50";"Max";"0.132642409310426"
"zmejkin";"50";"SRIC_EX";"0.0943922045445666"
"zmejkin";"50";"Max";"0.0913388379348645"
"masha";"50";"SRIC_EX";"0.01075040281168"
"masha";"50";"Max";"0.0312707918466072"
"dosazhaeva";"50";"SRIC_EX";"0.0531765045041158"
"dosazhaeva";"50";"Max";"0.0807120393587375"
"dosazhaev";"50";"SRIC_EX";"0.213997914078569"
"dosazhaev";"50";"Max";"0.154894839622309"
"vetron";"50";"SRIC_EX";"0.204811399873091"
"vetron";"50";"Max";"0.153627911495726"
"zdravosudov";"50";"SRIC_EX";"0.188293679584675"
"zdravosudov";"50";"Max";"0.135854681965098"
"sluga_lukavina";"50";"SRIC_EX";"0.0121680991612788"
"sluga_lukavina";"50";"Max";"0.0359709562859824"
"gosti";"50";"SRIC_EX";"0.01026438366948"
"gosti";"50";"Max";"0.0304591462783989"
"usladov";"50";"SRIC_EX";"0.0294666302490673"
"usladov";"50";"Max";"0.062385603702516"
"sluga_vetrona";"50";"SRIC_EX";"0.00183826811486386"
"sluga_vetrona";"50";"Max";"0.0155915653540285"
"moisej";"50";"SRIC_EX";"0.0157506947306459"
"moisej";"50";"Max";"0.0446814750827397"
"porfirij";"50";"SRIC_EX";"0.00661547363577946"
"porfirij";"50";"Max";"0.0305697417625664"
"lukavin";"70";"SRIC_EX";"0.152512994653138"
"lukavin";"70";"Max";"0.133383560284139"
"zmejkin";"70";"SRIC_EX";"0.0818768672604922"
"zmejkin";"70";"Max";"0.0935071780931602"
"masha";"70";"SRIC_EX";"0.0066994973529701"
"masha";"70";"Max";"0.0316818818803253"
"dosazhaeva";"70";"SRIC_EX";"0.0742942350337068"
"dosazhaeva";"70";"Max";"0.076580827479296"
"dosazhaev";"70";"SRIC_EX";"0.206471814384284"
"dosazhaev";"70";"Max";"0.159162415860002"
"vetron";"70";"SRIC_EX";"0.26046851289699"
"vetron";"70";"Max";"0.158314511998371"
"zdravosudov";"70";"SRIC_EX";"0.14973552728261"
"zdravosudov";"70";"Max";"0.138667727443241"
"sluga_lukavina";"70";"SRIC_EX";"0.0103413935382827"
"sluga_lukavina";"70";"Max";"0.0338263973579305"
"gosti";"70";"SRIC_EX";"0.00183962419105811"
"gosti";"70";"Max";"0.0289714298686099"
"usladov";"70";"SRIC_EX";"0.0363532466438093"
"usladov";"70";"Max";"0.0589628493019657"
"sluga_vetrona";"70";"SRIC_EX";"0.000919812095529056"
"sluga_vetrona";"70";"Max";"0.0147363312715293"
"moisej";"70";"SRIC_EX";"0.0155898016277821"
"moisej";"70";"Max";"0.0421121358743016"
"porfirij";"70";"SRIC_EX";"0.00289667303934735"
"porfirij";"70";"Max";"0.0300927532871294"
