"Element";"Quota";"Centrality";"Value"
"spiridonevna";"30";"SRIC_EX";"0.0121380402945543"
"spiridonevna";"30";"Max";"0.0373963666062616"
"matrena";"30";"SRIC_EX";"0.0442757133208402"
"matrena";"30";"Max";"0.0476456590481285"
"djadja_nikon";"30";"SRIC_EX";"0.0335555538648146"
"djadja_nikon";"30";"Max";"0.0460088621477739"
"ananij_jakovlev";"30";"SRIC_EX";"0.154759931913031"
"ananij_jakovlev";"30";"Max";"0.0895154971673483"
"lizaveta";"30";"SRIC_EX";"0.0485680336739822"
"lizaveta";"30";"Max";"0.047993371083786"
"burmistr";"30";"SRIC_EX";"0.148131348781118"
"burmistr";"30";"Max";"0.089493843701008"
"ispravnik";"30";"SRIC_EX";"0.118730630145892"
"ispravnik";"30";"Max";"0.0796999696558698"
"strjapchij";"30";"SRIC_EX";"0.0328828971550326"
"strjapchij";"30";"Max";"0.0493725061596499"
"chinovnik";"30";"SRIC_EX";"0.0640634725443279"
"chinovnik";"30";"Max";"0.0572392890169755"
"sotskij";"30";"SRIC_EX";"0.0651899855436851"
"sotskij";"30";"Max";"0.0594182784567429"
"zolotilov";"30";"SRIC_EX";"0.0784503005286902"
"zolotilov";"30";"Max";"0.064449870869476"
"odna_iz_bab";"30";"SRIC_EX";"0.00767462070698234"
"odna_iz_bab";"30";"Max";"0.0203950938162581"
"muzhik";"30";"SRIC_EX";"0.00767462070698234"
"muzhik";"30";"Max";"0.0203950938162581"
"davyd_ivanov";"30";"SRIC_EX";"0.0478159203730294"
"davyd_ivanov";"30";"Max";"0.0496466038893588"
"rabotnica";"30";"SRIC_EX";"0.000794164616513445"
"rabotnica";"30";"Max";"0.0166976690736417"
"cheglov";"30";"SRIC_EX";"0.0130301427911075"
"cheglov";"30";"Max";"0.0348966430098478"
"fedor_petrov";"30";"SRIC_EX";"0.0272856177494943"
"fedor_petrov";"30";"Max";"0.0350688770211676"
"vybornyj";"30";"SRIC_EX";"0.0272856177494943"
"vybornyj";"30";"Max";"0.0350688770211676"
"krivoj_muzhik";"30";"SRIC_EX";"0.00795872396218114"
"krivoj_muzhik";"30";"Max";"0.0181124370039599"
"rjaboj_muzhik";"30";"SRIC_EX";"0.0272856177494943"
"rjaboj_muzhik";"30";"Max";"0.0350688770211676"
"molodoj_paren";"30";"SRIC_EX";"0.0272856177494943"
"molodoj_paren";"30";"Max";"0.0350688770211676"
"lakej";"30";"SRIC_EX";"0.000995352028209441"
"lakej";"30";"Max";"0.0128762228069861"
"golos_za_stenoj";"30";"SRIC_EX";"0.00416807605104936"
"golos_za_stenoj";"30";"Max";"0.0184712145859989"
"spiridonevna";"50";"SRIC_EX";"0.0138021828683059"
"spiridonevna";"50";"Max";"0.0274469683448737"
"matrena";"50";"SRIC_EX";"0.0284403007931836"
"matrena";"50";"Max";"0.0512653109207761"
"djadja_nikon";"50";"SRIC_EX";"0.0156349074653956"
"djadja_nikon";"50";"Max";"0.0484739779907084"
"ananij_jakovlev";"50";"SRIC_EX";"0.108638568449505"
"ananij_jakovlev";"50";"Max";"0.103973146745326"
"lizaveta";"50";"SRIC_EX";"0.0337663990478056"
"lizaveta";"50";"Max";"0.0546194398606089"
"burmistr";"50";"SRIC_EX";"0.153877661144567"
"burmistr";"50";"Max";"0.103747816219552"
"ispravnik";"50";"SRIC_EX";"0.137996668174122"
"ispravnik";"50";"Max";"0.0888617064835187"
"strjapchij";"50";"SRIC_EX";"0.0531884777983659"
"strjapchij";"50";"Max";"0.0505478440897803"
"chinovnik";"50";"SRIC_EX";"0.111323487086205"
"chinovnik";"50";"Max";"0.0587030647176329"
"sotskij";"50";"SRIC_EX";"0.0846391329755477"
"sotskij";"50";"Max";"0.063972972017573"
"zolotilov";"50";"SRIC_EX";"0.0855325929210469"
"zolotilov";"50";"Max";"0.0700903579743539"
"odna_iz_bab";"50";"SRIC_EX";"0.00408448516850443"
"odna_iz_bab";"50";"Max";"0.0172889028734369"
"muzhik";"50";"SRIC_EX";"0.00408448516850443"
"muzhik";"50";"Max";"0.0172889028734369"
"davyd_ivanov";"50";"SRIC_EX";"0.03915551737562"
"davyd_ivanov";"50";"Max";"0.0546701999983533"
"rabotnica";"50";"SRIC_EX";"0"
"rabotnica";"50";"Max";"0"
"cheglov";"50";"SRIC_EX";"0.0101807366735301"
"cheglov";"50";"Max";"0.0309167457905174"
"fedor_petrov";"50";"SRIC_EX";"0.0253900709219858"
"fedor_petrov";"50";"Max";"0.0287606580738683"
"vybornyj";"50";"SRIC_EX";"0.0253900709219858"
"vybornyj";"50";"Max";"0.0287606580738683"
"krivoj_muzhik";"50";"SRIC_EX";"0.0105910165484634"
"krivoj_muzhik";"50";"Max";"0.0144430516077439"
"rjaboj_muzhik";"50";"SRIC_EX";"0.0253900709219858"
"rjaboj_muzhik";"50";"Max";"0.0287606580738683"
"molodoj_paren";"50";"SRIC_EX";"0.0253900709219858"
"molodoj_paren";"50";"Max";"0.0287606580738683"
"lakej";"50";"SRIC_EX";"0.00183682840961274"
"lakej";"50";"Max";"0.0098290099897222"
"golos_za_stenoj";"50";"SRIC_EX";"0.00166626824377085"
"golos_za_stenoj";"50";"Max";"0.0188179492066121"
"spiridonevna";"70";"SRIC_EX";"0"
"spiridonevna";"70";"Max";"0.0329105426599968"
"matrena";"70";"SRIC_EX";"0.192837465564738"
"matrena";"70";"Max";"0.0415866910824267"
"djadja_nikon";"70";"SRIC_EX";"0.0165289256198347"
"djadja_nikon";"70";"Max";"0.0283004197270616"
"ananij_jakovlev";"70";"SRIC_EX";"0.248422642850795"
"ananij_jakovlev";"70";"Max";"0.140108768020011"
"lizaveta";"70";"SRIC_EX";"0.0495423442637519"
"lizaveta";"70";"Max";"0.0715822684525317"
"burmistr";"70";"SRIC_EX";"0.217008797653959"
"burmistr";"70";"Max";"0.141380779610757"
"ispravnik";"70";"SRIC_EX";"0"
"ispravnik";"70";"Max";"0.0653578672262537"
"strjapchij";"70";"SRIC_EX";"0"
"strjapchij";"70";"Max";"0.0241829255604847"
"chinovnik";"70";"SRIC_EX";"0"
"chinovnik";"70";"Max";"0.0423807792431237"
"sotskij";"70";"SRIC_EX";"0"
"sotskij";"70";"Max";"0.0493290506492222"
"zolotilov";"70";"SRIC_EX";"0.217008797653959"
"zolotilov";"70";"Max";"0.0521230645479708"
"odna_iz_bab";"70";"SRIC_EX";"0"
"odna_iz_bab";"70";"Max";"0"
"muzhik";"70";"SRIC_EX";"0"
"muzhik";"70";"Max";"0"
"davyd_ivanov";"70";"SRIC_EX";"0"
"davyd_ivanov";"70";"Max";"0.0775963833695881"
"rabotnica";"70";"SRIC_EX";"0"
"rabotnica";"70";"Max";"0"
"cheglov";"70";"SRIC_EX";"0.0454545454545455"
"cheglov";"70";"Max";"0"
"fedor_petrov";"70";"SRIC_EX";"0"
"fedor_petrov";"70";"Max";"0.0491783209520529"
"vybornyj";"70";"SRIC_EX";"0"
"vybornyj";"70";"Max";"0.0491783209520529"
"krivoj_muzhik";"70";"SRIC_EX";"0"
"krivoj_muzhik";"70";"Max";"0.0281018976868874"
"rjaboj_muzhik";"70";"SRIC_EX";"0"
"rjaboj_muzhik";"70";"Max";"0.0491783209520529"
"molodoj_paren";"70";"SRIC_EX";"0"
"molodoj_paren";"70";"Max";"0.0491783209520529"
"lakej";"70";"SRIC_EX";"0.0131964809384164"
"lakej";"70";"Max";"0"
"golos_za_stenoj";"70";"SRIC_EX";"0"
"golos_za_stenoj";"70";"Max";"0.00834527835547283"
