"Element";"Quota";"Centrality";"Value"
"grubej";"30";"SRIC_EX";"0.185378588164772"
"grubej";"30";"Max";"0.15906027118769"
"ermak";"30";"SRIC_EX";"0.238407961294886"
"ermak";"30";"Max";"0.167588264944712"
"irta";"30";"SRIC_EX";"0.198976425122588"
"irta";"30";"Max";"0.148439841849047"
"sogdaj";"30";"SRIC_EX";"0.0726477876807847"
"sogdaj";"30";"Max";"0.100532361161582"
"kuchum";"30";"SRIC_EX";"0.218562347446399"
"kuchum";"30";"Max";"0.150286108538711"
"kazak";"30";"SRIC_EX";"0.0190537196369552"
"kazak";"30";"Max";"0.0537477120527304"
"horunzhij";"30";"SRIC_EX";"0.0167860962094517"
"horunzhij";"30";"Max";"0.0531147063305596"
"narsim";"30";"SRIC_EX";"0.0407416200578297"
"narsim";"30";"Max";"0.0821178395414225"
"vse_5-8";"30";"SRIC_EX";"0.00345737977324887"
"vse_5-8";"30";"Max";"0.0278698352677966"
"ten";"30";"SRIC_EX";"0.00148949722741779"
"ten";"30";"Max";"0.0261906117548158"
"vse_3-4";"30";"SRIC_EX";"0.00449857738566694"
"vse_3-4";"30";"Max";"0.031052447370933"
"grubej";"50";"SRIC_EX";"0.193328178315372"
"grubej";"50";"Max";"0.155550923055681"
"ermak";"50";"SRIC_EX";"0.233008827956576"
"ermak";"50";"Max";"0.175373811154639"
"irta";"50";"SRIC_EX";"0.167918032386572"
"irta";"50";"Max";"0.158621007063359"
"sogdaj";"50";"SRIC_EX";"0.0850635942562378"
"sogdaj";"50";"Max";"0.0999103882004814"
"kuchum";"50";"SRIC_EX";"0.227438042038847"
"kuchum";"50";"Max";"0.169025180644934"
"kazak";"50";"SRIC_EX";"0.0180979513435405"
"kazak";"50";"Max";"0.048249591873753"
"horunzhij";"50";"SRIC_EX";"0.0134711413980796"
"horunzhij";"50";"Max";"0.0469798657718121"
"narsim";"50";"SRIC_EX";"0.0469248105166243"
"narsim";"50";"Max";"0.0698403502169905"
"vse_5-8";"50";"SRIC_EX";"0.00466630052740856"
"vse_5-8";"50";"Max";"0.0280287299219484"
"ten";"50";"SRIC_EX";"0.00352209940227746"
"ten";"50";"Max";"0.0218696107707427"
"vse_3-4";"50";"SRIC_EX";"0.00656102185846441"
"vse_3-4";"50";"Max";"0.026550541325659"
"grubej";"70";"SRIC_EX";"0.207039986895698"
"grubej";"70";"Max";"0.157875541063746"
"ermak";"70";"SRIC_EX";"0.20689982960731"
"ermak";"70";"Max";"0.174882492484545"
"irta";"70";"SRIC_EX";"0.161934433958647"
"irta";"70";"Max";"0.156241791048634"
"sogdaj";"70";"SRIC_EX";"0.112725514157957"
"sogdaj";"70";"Max";"0.10222068504823"
"kuchum";"70";"SRIC_EX";"0.210061585972223"
"kuchum";"70";"Max";"0.16973110107893"
"kazak";"70";"SRIC_EX";"0.015739284386041"
"kazak";"70";"Max";"0.0495982037873531"
"horunzhij";"70";"SRIC_EX";"0.0109664585012087"
"horunzhij";"70";"Max";"0.0474057413752742"
"narsim";"70";"SRIC_EX";"0.0656634543692482"
"narsim";"70";"Max";"0.0685291528350786"
"vse_5-8";"70";"SRIC_EX";"0.00334717659455774"
"vse_5-8";"70";"Max";"0.0271536049665757"
"ten";"70";"SRIC_EX";"0.00142564929027459"
"ten";"70";"Max";"0.0205150129294192"
"vse_3-4";"70";"SRIC_EX";"0.00419662626683612"
"vse_3-4";"70";"Max";"0.0258466733822146"
