"Element";"Quota";"Centrality";"Value"
"ZhenaPreslepa";"30";"SRIC_EX";"0.209430054237778"
"ZhenaPreslepa";"30";"Max";"0.167880622664509"
"Preslep";"30";"SRIC_EX";"0.185034471577215"
"Preslep";"30";"Max";"0.156089096710163"
"Paraskovja";"30";"SRIC_EX";"0.170661878606147"
"Paraskovja";"30";"Max";"0.148052674699758"
"Eremeevna";"30";"SRIC_EX";"0.100101589034282"
"Eremeevna";"30";"Max";"0.106173690626062"
"Pimen";"30";"SRIC_EX";"0.0889160784373334"
"Pimen";"30";"Max";"0.102628406237303"
"Neoh";"30";"SRIC_EX";"0.0519123441940976"
"Neoh";"30";"Max";"0.0772835361589033"
"Skotinin";"30";"SRIC_EX";"0.0725896919832648"
"Skotinin";"30";"Max";"0.0859194426126864"
"Tsyfirkin";"30";"SRIC_EX";"0.048764199946618"
"Tsyfirkin";"30";"Max";"0.0700530876779303"
"Kutejkin";"30";"SRIC_EX";"0.0725896919832648"
"Kutejkin";"30";"Max";"0.0859194426126864"
"ZhenaPreslepa";"50";"SRIC_EX";"0.22346896280301"
"ZhenaPreslepa";"50";"Max";"0.170643380186245"
"Preslep";"50";"SRIC_EX";"0.182915900424782"
"Preslep";"50";"Max";"0.156787784250501"
"Paraskovja";"50";"SRIC_EX";"0.169447311623165"
"Paraskovja";"50";"Max";"0.147166253033302"
"Eremeevna";"50";"SRIC_EX";"0.0980742968829445"
"Eremeevna";"50";"Max";"0.106400247162215"
"Pimen";"50";"SRIC_EX";"0.0917803175665753"
"Pimen";"50";"Max";"0.100643744625749"
"Neoh";"50";"SRIC_EX";"0.0527706986160011"
"Neoh";"50";"Max";"0.0763504043144384"
"Skotinin";"50";"SRIC_EX";"0.0679497902041215"
"Skotinin";"50";"Max";"0.0859121805860122"
"Tsyfirkin";"50";"SRIC_EX";"0.0456429316752788"
"Tsyfirkin";"50";"Max";"0.0701838252555263"
"Kutejkin";"50";"SRIC_EX";"0.0679497902041215"
"Kutejkin";"50";"Max";"0.0859121805860122"
"ZhenaPreslepa";"70";"SRIC_EX";"0.257792207792208"
"ZhenaPreslepa";"70";"Max";"0.171227534889513"
"Preslep";"70";"SRIC_EX";"0.252597402597403"
"Preslep";"70";"Max";"0.156651385072815"
"Paraskovja";"70";"SRIC_EX";"0.257792207792208"
"Paraskovja";"70";"Max";"0.14689788833799"
"Eremeevna";"70";"SRIC_EX";"0.0675324675324675"
"Eremeevna";"70";"Max";"0.106233800602442"
"Pimen";"70";"SRIC_EX";"0.107142857142857"
"Pimen";"70";"Max";"0.100511375576952"
"Neoh";"70";"SRIC_EX";"0.0571428571428571"
"Neoh";"70";"Max";"0.0759832499202192"
"Skotinin";"70";"SRIC_EX";"0"
"Skotinin";"70";"Max";"0.0858768495528383"
"Tsyfirkin";"70";"SRIC_EX";"0"
"Tsyfirkin";"70";"Max";"0.070741066494392"
"Kutejkin";"70";"SRIC_EX";"0"
"Kutejkin";"70";"Max";"0.0858768495528383"
