"Element";"Quota";"Centrality";"Value"
"Knjaginja";"30";"SRIC_EX";"0.5"
"Knjaginja";"30";"Max";"0.5"
"Knjaz";"30";"SRIC_EX";"0.5"
"Knjaz";"30";"Max";"0.5"
"Baron";"30";"SRIC_EX";"0"
"Baron";"30";"Max";"0"
"Knjaginja";"50";"SRIC_EX";"0.5"
"Knjaginja";"50";"Max";"0.5"
"Knjaz";"50";"SRIC_EX";"0.5"
"Knjaz";"50";"Max";"0.5"
"Baron";"50";"SRIC_EX";"0"
"Baron";"50";"Max";"0"
"Knjaginja";"70";"SRIC_EX";"0.5"
"Knjaginja";"70";"Max";"0.5"
"Knjaz";"70";"SRIC_EX";"0.5"
"Knjaz";"70";"Max";"0.5"
"Baron";"70";"SRIC_EX";"0"
"Baron";"70";"Max";"0"
