"Element";"Quota";"Centrality";"Value"
"Ivanov";"30";"SRIC_EX";"0.0715090410009122"
"Ivanov";"30";"Max";"0.087948421226649"
"Shishkengolm";"30";"SRIC_EX";"0.133247928166864"
"Shishkengolm";"30";"Max";"0.125888576624235"
"Liza";"30";"SRIC_EX";"0.145353819708296"
"Liza";"30";"Max";"0.132087948421227"
"MinaHristianovna";"30";"SRIC_EX";"0.156674364942892"
"MinaHristianovna";"30";"Max";"0.138783269961977"
"Kasimov";"30";"SRIC_EX";"0.146240683929977"
"Kasimov";"30";"Max";"0.132997189618119"
"Vihorin";"30";"SRIC_EX";"0.121176108848206"
"Vihorin";"30";"Max";"0.116630848074062"
"Kurtsgalop";"30";"SRIC_EX";"0.037662050737245"
"Kurtsgalop";"30";"Max";"0.0590180195073566"
"Gustav";"30";"SRIC_EX";"0.094068001332804"
"Gustav";"30";"Max";"0.103322863283187"
"Fritz";"30";"SRIC_EX";"0.094068001332804"
"Fritz";"30";"Max";"0.103322863283187"
"Ivanov";"50";"SRIC_EX";"0.0784551350813136"
"Ivanov";"50";"Max";"0.0879075355234268"
"Shishkengolm";"50";"SRIC_EX";"0.130750456895336"
"Shishkengolm";"50";"Max";"0.125647292762749"
"Liza";"50";"SRIC_EX";"0.142351383110282"
"Liza";"50";"Max";"0.13186130328514"
"MinaHristianovna";"50";"SRIC_EX";"0.154424151430562"
"MinaHristianovna";"50";"Max";"0.14043663780604"
"Kasimov";"50";"SRIC_EX";"0.144264032208656"
"Kasimov";"50";"Max";"0.1322755706533"
"Vihorin";"50";"SRIC_EX";"0.121178668369229"
"Vihorin";"50";"Max";"0.117361945399561"
"Kurtsgalop";"50";"SRIC_EX";"0.0324671332093945"
"Kurtsgalop";"50";"Max";"0.0588673930154522"
"Gustav";"50";"SRIC_EX";"0.0980545198476139"
"Gustav";"50";"Max";"0.102821160777166"
"Fritz";"50";"SRIC_EX";"0.0980545198476139"
"Fritz";"50";"Max";"0.102821160777166"
"Ivanov";"70";"SRIC_EX";"0"
"Ivanov";"70";"Max";"0.0885575229996953"
"Shishkengolm";"70";"SRIC_EX";"0"
"Shishkengolm";"70";"Max";"0.124447728054386"
"Liza";"70";"SRIC_EX";"0"
"Liza";"70";"Max";"0.132369872530393"
"MinaHristianovna";"70";"SRIC_EX";"0"
"MinaHristianovna";"70";"Max";"0.139944167743693"
"Kasimov";"70";"SRIC_EX";"0"
"Kasimov";"70";"Max";"0.131924037559882"
"Vihorin";"70";"SRIC_EX";"0"
"Vihorin";"70";"Max";"0.118206038467229"
"Kurtsgalop";"70";"SRIC_EX";"0"
"Kurtsgalop";"70";"Max";"0.058902148532615"
"Gustav";"70";"SRIC_EX";"0"
"Gustav";"70";"Max";"0.102824242056054"
"Fritz";"70";"SRIC_EX";"0"
"Fritz";"70";"Max";"0.102824242056054"
