"Element";"Quota";"Centrality";"Value"
"kutilo-zavaldajskij";"30";"SRIC_EX";"0.148157537228491"
"kutilo-zavaldajskij";"30";"Max";"0.13277089606424"
"razorvaki";"30";"SRIC_EX";"0.148157537228491"
"razorvaki";"30";"Max";"0.13277089606424"
"knyaz_batog-batyev";"30";"SRIC_EX";"0.148157537228491"
"knyaz_batog-batyev";"30";"Max";"0.13277089606424"
"milovidov";"30";"SRIC_EX";"0.148157537228491"
"milovidov";"30";"Max";"0.13277089606424"
"bespardonnyj";"30";"SRIC_EX";"0.148157537228491"
"bespardonnyj";"30";"Max";"0.13277089606424"
"libental";"30";"SRIC_EX";"0.084422143302165"
"libental";"30";"Max";"0.0919109354037997"
"chupurlina";"30";"SRIC_EX";"0.076099753878203"
"chupurlina";"30";"Max";"0.0888042640326415"
"dvornya";"30";"SRIC_EX";"0.0081351927028517"
"dvornya";"30";"Max";"0.0208725552244414"
"lizaveta_platonovna";"30";"SRIC_EX";"0.0430913270184512"
"lizaveta_platonovna";"30";"Max";"0.0537760195748555"
"lakej";"30";"SRIC_EX";"0.0118659742389679"
"lakej";"30";"Max";"0.0201954363607654"
"gornichnaya";"30";"SRIC_EX";"0.0118659742389679"
"gornichnaya";"30";"Max";"0.0201954363607654"
"akulina";"30";"SRIC_EX";"0.0118659742389679"
"akulina";"30";"Max";"0.0201954363607654"
"povar";"30";"SRIC_EX";"0.0118659742389679"
"povar";"30";"Max";"0.0201954363607654"
"kutilo-zavaldajskij";"50";"SRIC_EX";"0.151717479674797"
"kutilo-zavaldajskij";"50";"Max";"0.135668056841362"
"razorvaki";"50";"SRIC_EX";"0.151717479674797"
"razorvaki";"50";"Max";"0.135668056841362"
"knyaz_batog-batyev";"50";"SRIC_EX";"0.151717479674797"
"knyaz_batog-batyev";"50";"Max";"0.135668056841362"
"milovidov";"50";"SRIC_EX";"0.151717479674797"
"milovidov";"50";"Max";"0.135668056841362"
"bespardonnyj";"50";"SRIC_EX";"0.151717479674797"
"bespardonnyj";"50";"Max";"0.135668056841362"
"libental";"50";"SRIC_EX";"0.0826554878048781"
"libental";"50";"Max";"0.0949000259266679"
"chupurlina";"50";"SRIC_EX";"0.0758638211382114"
"chupurlina";"50";"Max";"0.0902681154320219"
"dvornya";"50";"SRIC_EX";"0"
"dvornya";"50";"Max";"0"
"lizaveta_platonovna";"50";"SRIC_EX";"0.0453932926829268"
"lizaveta_platonovna";"50";"Max";"0.0603862772733808"
"lakej";"50";"SRIC_EX";"0.009375"
"lakej";"50";"Max";"0.01902632429028"
"gornichnaya";"50";"SRIC_EX";"0.009375"
"gornichnaya";"50";"Max";"0.01902632429028"
"akulina";"50";"SRIC_EX";"0.009375"
"akulina";"50";"Max";"0.01902632429028"
"povar";"50";"SRIC_EX";"0.009375"
"povar";"50";"Max";"0.01902632429028"
"kutilo-zavaldajskij";"70";"SRIC_EX";"0.182978723404255"
"kutilo-zavaldajskij";"70";"Max";"0.138552510624161"
"razorvaki";"70";"SRIC_EX";"0.182978723404255"
"razorvaki";"70";"Max";"0.138552510624161"
"knyaz_batog-batyev";"70";"SRIC_EX";"0.182978723404255"
"knyaz_batog-batyev";"70";"Max";"0.138552510624161"
"milovidov";"70";"SRIC_EX";"0.182978723404255"
"milovidov";"70";"Max";"0.138552510624161"
"bespardonnyj";"70";"SRIC_EX";"0.182978723404255"
"bespardonnyj";"70";"Max";"0.138552510624161"
"libental";"70";"SRIC_EX";"0.0170212765957447"
"libental";"70";"Max";"0.0984895074275513"
"chupurlina";"70";"SRIC_EX";"0"
"chupurlina";"70";"Max";"0.0911896561077245"
"dvornya";"70";"SRIC_EX";"0"
"dvornya";"70";"Max";"0.0203857260395778"
"lizaveta_platonovna";"70";"SRIC_EX";"0.0170212765957447"
"lizaveta_platonovna";"70";"Max";"0.0627096786684925"
"lakej";"70";"SRIC_EX";"0.0127659574468085"
"lakej";"70";"Max";"0.00861571965896209"
"gornichnaya";"70";"SRIC_EX";"0.0127659574468085"
"gornichnaya";"70";"Max";"0.00861571965896209"
"akulina";"70";"SRIC_EX";"0.0127659574468085"
"akulina";"70";"Max";"0.00861571965896209"
"povar";"70";"SRIC_EX";"0.0127659574468085"
"povar";"70";"Max";"0.00861571965896209"
