"Element";"Quota";"Centrality";"Value"
"izvestnyj_pisatel";"30";"SRIC_EX";"0.01875"
"izvestnyj_pisatel";"30";"Max";"0.102493074792244"
"ivan_semenych";"30";"SRIC_EX";"0.1875"
"ivan_semenych";"30";"Max";"0.149584487534626"
"milovidov";"30";"SRIC_EX";"0.15875"
"milovidov";"30";"Max";"0.149584487534626"
"kutilo-zavaldajskij";"30";"SRIC_EX";"0.15875"
"kutilo-zavaldajskij";"30";"Max";"0.149584487534626"
"knyaz_batog-batyev";"30";"SRIC_EX";"0.15875"
"knyaz_batog-batyev";"30";"Max";"0.149584487534626"
"libental";"30";"SRIC_EX";"0.15875"
"libental";"30";"Max";"0.149584487534626"
"razorvaki";"30";"SRIC_EX";"0.15875"
"razorvaki";"30";"Max";"0.149584487534626"
"izvestnyj_pisatel";"50";"SRIC_EX";"0.0133928571428571"
"izvestnyj_pisatel";"50";"Max";"0.0808270676691729"
"ivan_semenych";"50";"SRIC_EX";"0.1875"
"ivan_semenych";"50";"Max";"0.157894736842105"
"milovidov";"50";"SRIC_EX";"0.159821428571429"
"milovidov";"50";"Max";"0.152255639097744"
"kutilo-zavaldajskij";"50";"SRIC_EX";"0.159821428571429"
"kutilo-zavaldajskij";"50";"Max";"0.152255639097744"
"knyaz_batog-batyev";"50";"SRIC_EX";"0.159821428571429"
"knyaz_batog-batyev";"50";"Max";"0.152255639097744"
"libental";"50";"SRIC_EX";"0.159821428571429"
"libental";"50";"Max";"0.152255639097744"
"razorvaki";"50";"SRIC_EX";"0.159821428571429"
"razorvaki";"50";"Max";"0.152255639097744"
"izvestnyj_pisatel";"70";"SRIC_EX";"0"
"izvestnyj_pisatel";"70";"Max";"0.0587529976019185"
"ivan_semenych";"70";"SRIC_EX";"0.230769230769231"
"ivan_semenych";"70";"Max";"0.173860911270983"
"milovidov";"70";"SRIC_EX";"0.153846153846154"
"milovidov";"70";"Max";"0.15347721822542"
"kutilo-zavaldajskij";"70";"SRIC_EX";"0.153846153846154"
"kutilo-zavaldajskij";"70";"Max";"0.15347721822542"
"knyaz_batog-batyev";"70";"SRIC_EX";"0.153846153846154"
"knyaz_batog-batyev";"70";"Max";"0.15347721822542"
"libental";"70";"SRIC_EX";"0.153846153846154"
"libental";"70";"Max";"0.15347721822542"
"razorvaki";"70";"SRIC_EX";"0.153846153846154"
"razorvaki";"70";"Max";"0.15347721822542"
