"Element";"Quota";"Centrality";"Value"
"juzhnyj_uragan";"30";"SRIC_EX";"0.25"
"juzhnyj_uragan";"30";"Max";"0"
"dub";"30";"SRIC_EX";"0.25"
"dub";"30";"Max";"0"
"nochnye_chasy";"30";"SRIC_EX";"0.25"
"nochnye_chasy";"30";"Max";"0"
"nochnaja_tishina";"30";"SRIC_EX";"0.25"
"nochnaja_tishina";"30";"Max";"0"
"juzhnyj_uragan";"50";"SRIC_EX";"0.25"
"juzhnyj_uragan";"50";"Max";"0"
"dub";"50";"SRIC_EX";"0.25"
"dub";"50";"Max";"0"
"nochnye_chasy";"50";"SRIC_EX";"0.25"
"nochnye_chasy";"50";"Max";"0"
"nochnaja_tishina";"50";"SRIC_EX";"0.25"
"nochnaja_tishina";"50";"Max";"0"
"juzhnyj_uragan";"70";"SRIC_EX";"0.25"
"juzhnyj_uragan";"70";"Max";"0"
"dub";"70";"SRIC_EX";"0.25"
"dub";"70";"Max";"0"
"nochnye_chasy";"70";"SRIC_EX";"0.25"
"nochnye_chasy";"70";"Max";"0"
"nochnaja_tishina";"70";"SRIC_EX";"0.25"
"nochnaja_tishina";"70";"Max";"0"
