"Element";"Quota";"Centrality";"Value"
"vorotynskij";"30";"SRIC_EX";"0.00389920969741683"
"vorotynskij";"30";"Max";"0.0129118099866288"
"shujskij";"30";"SRIC_EX";"0.0212391693646212"
"shujskij";"30";"Max";"0.0245771751792445"
"tsar_boris";"30";"SRIC_EX";"0.0686046003678181"
"tsar_boris";"30";"Max";"0.0441799974599367"
"bojare";"30";"SRIC_EX";"0.0323653005115924"
"bojare";"30";"Max";"0.0309359523364296"
"malchik";"30";"SRIC_EX";"0.00248330727064277"
"malchik";"30";"Max";"0.0065192509862871"
"pushkin";"30";"SRIC_EX";"0.00248330727064277"
"pushkin";"30";"Max";"0.0065192509862871"
"ksenija";"30";"SRIC_EX";"0.0194918566080115"
"ksenija";"30";"Max";"0.0217344521064903"
"mamka";"30";"SRIC_EX";"0.00389860632088364"
"mamka";"30";"Max";"0.0116342384366682"
"feodor";"30";"SRIC_EX";"0.0443366508388458"
"feodor";"30";"Max";"0.0328462047517424"
"semen_godunov";"30";"SRIC_EX";"0.00389860632088364"
"semen_godunov";"30";"Max";"0.0116342384366682"
"basmanov";"30";"SRIC_EX";"0.0207455760379239"
"basmanov";"30";"Max";"0.0267424875995768"
"patriarh";"30";"SRIC_EX";"0.00761411637571417"
"patriarh";"30";"Max";"0.0115852827477253"
"pervyj_bojarin";"30";"SRIC_EX";"0.00590725181170674"
"pervyj_bojarin";"30";"Max";"0.0115852827477253"
"drugoj_bojarin";"30";"SRIC_EX";"0.00590725181170674"
"drugoj_bojarin";"30";"Max";"0.0115852827477253"
"odin_iz_naroda_1";"30";"SRIC_EX";"0.00556586270871985"
"odin_iz_naroda_1";"30";"Max";"0.00223403425598442"
"drugoj_iz_naroda_1";"30";"SRIC_EX";"0.00556586270871985"
"drugoj_iz_naroda_1";"30";"Max";"0.00223403425598442"
"tretij_iz_naroda_1";"30";"SRIC_EX";"0.00556586270871985"
"tretij_iz_naroda_1";"30";"Max";"0.00223403425598442"
"narod";"30";"SRIC_EX";"0.0415441606861683"
"narod";"30";"Max";"0.0353083004025098"
"schelkalov";"30";"SRIC_EX";"0.00556586270871985"
"schelkalov";"30";"Max";"0.00223403425598442"
"odin_iz_naroda_2";"30";"SRIC_EX";"0.012987012987013"
"odin_iz_naroda_2";"30";"Max";"0.0143212180338386"
"drugoj_iz_naroda_2";"30";"SRIC_EX";"0.012987012987013"
"drugoj_iz_naroda_2";"30";"Max";"0.0143212180338386"
"tretij_iz_naroda_2";"30";"SRIC_EX";"0.012987012987013"
"tretij_iz_naroda_2";"30";"Max";"0.0143212180338386"
"chetvertyj_iz_naroda_2";"30";"SRIC_EX";"0.012987012987013"
"chetvertyj_iz_naroda_2";"30";"Max";"0.0143212180338386"
"malchishki";"30";"SRIC_EX";"0.012987012987013"
"malchishki";"30";"Max";"0.0143212180338386"
"staruha";"30";"SRIC_EX";"0.012987012987013"
"staruha";"30";"Max";"0.0143212180338386"
"jurodivyj";"30";"SRIC_EX";"0.012987012987013"
"jurodivyj";"30";"Max";"0.0143212180338386"
"odin_iz_malchishek";"30";"SRIC_EX";"0.012987012987013"
"odin_iz_malchishek";"30";"Max";"0.0143212180338386"
"gavrila_pushkin";"30";"SRIC_EX";"0.0152249477807968"
"gavrila_pushkin";"30";"Max";"0.0187055860782008"
"muzhik_na_amvone";"30";"SRIC_EX";"0.00103704875048497"
"muzhik_na_amvone";"30";"Max";"0.00560724412621038"
"nischij";"30";"SRIC_EX";"0.0144594634390553"
"nischij";"30";"Max";"0.013853473827564"
"strazha";"30";"SRIC_EX";"0.0144594634390553"
"strazha";"30";"Max";"0.013853473827564"
"odin_iz_naroda_3";"30";"SRIC_EX";"0.0144594634390553"
"odin_iz_naroda_3";"30";"Max";"0.013853473827564"
"drugoj_iz_naroda_3";"30";"SRIC_EX";"0.0144594634390553"
"drugoj_iz_naroda_3";"30";"Max";"0.013853473827564"
"odin_iz_naroda_4";"30";"SRIC_EX";"0.0144594634390553"
"odin_iz_naroda_4";"30";"Max";"0.013853473827564"
"drugoj_iz_naroda_4";"30";"SRIC_EX";"0.0144594634390553"
"drugoj_iz_naroda_4";"30";"Max";"0.013853473827564"
"tretij_iz_naroda_4";"30";"SRIC_EX";"0.0144594634390553"
"tretij_iz_naroda_4";"30";"Max";"0.013853473827564"
"mosalskij";"30";"SRIC_EX";"0.0144594634390553"
"mosalskij";"30";"Max";"0.013853473827564"
"pervyj_stolnik";"30";"SRIC_EX";"0.00185528756957328"
"pervyj_stolnik";"30";"Max";"0.00577901894075412"
"vtoroj_stolnik";"30";"SRIC_EX";"0.00185528756957328"
"vtoroj_stolnik";"30";"Max";"0.00577901894075412"
"bojarin";"30";"SRIC_EX";"0.012587645908004"
"bojarin";"30";"Max";"0.0175153461522153"
"odin_pridvornyj";"30";"SRIC_EX";"0.012587645908004"
"odin_pridvornyj";"30";"Max";"0.0175153461522153"
"drugoj_pridvornyj";"30";"SRIC_EX";"0.012587645908004"
"drugoj_pridvornyj";"30";"Max";"0.0175153461522153"
"tretij_pridvornyj";"30";"SRIC_EX";"0.012587645908004"
"tretij_pridvornyj";"30";"Max";"0.0175153461522153"
"chetvertyj_pridvornyj";"30";"SRIC_EX";"0.012587645908004"
"chetvertyj_pridvornyj";"30";"Max";"0.0175153461522153"
"pjatyj_pridvornyj";"30";"SRIC_EX";"0.012587645908004"
"pjatyj_pridvornyj";"30";"Max";"0.0175153461522153"
"shestoj_pridvornyj";"30";"SRIC_EX";"0.012587645908004"
"shestoj_pridvornyj";"30";"Max";"0.0175153461522153"
"pimen";"30";"SRIC_EX";"0"
"pimen";"30";"Max";"0.00440360750176518"
"grigorij_dimitrij_lzhedimitrij_samozvanets";"30";"SRIC_EX";"0.0558828994450195"
"grigorij_dimitrij_lzhedimitrij_samozvanets";"30";"Max";"0.0300543841333923"
"hozjajka";"30";"SRIC_EX";"0.00742115027829313"
"hozjajka";"30";"Max";"0.00765123137389068"
"varlaam";"30";"SRIC_EX";"0.00742115027829313"
"varlaam";"30";"Max";"0.00765123137389068"
"misail";"30";"SRIC_EX";"0.00742115027829313"
"misail";"30";"Max";"0.00765123137389068"
"pervyj_pristav";"30";"SRIC_EX";"0.00742115027829313"
"pervyj_pristav";"30";"Max";"0.00765123137389068"
"vtoroj_pristav";"30";"SRIC_EX";"0.00742115027829313"
"vtoroj_pristav";"30";"Max";"0.00765123137389068"
"pater";"30";"SRIC_EX";"0.0112379294371136"
"pater";"30";"Max";"0.0104809783235509"
"kurbskij";"30";"SRIC_EX";"0.0114829245510259"
"kurbskij";"30";"Max";"0.0134642874431679"
"poljak";"30";"SRIC_EX";"0.0112379294371136"
"poljak";"30";"Max";"0.0104809783235509"
