"Element";"Quota";"Centrality";"Value"
"DonGuan";"30";"SRIC_EX";"0.229318940760035"
"DonGuan";"30";"Max";"0.116187989556136"
"Leporello";"30";"SRIC_EX";"0.122633598511642"
"Leporello";"30";"Max";"0.139686684073107"
"Monah";"30";"SRIC_EX";"0.0246700371120435"
"Monah";"30";"Max";"0.0983463881636205"
"DonaAnna";"30";"SRIC_EX";"0.106929277171087"
"DonaAnna";"30";"Max";"0.139686684073107"
"Laura";"30";"SRIC_EX";"0.126241687455517"
"Laura";"30";"Max";"0.10378590078329"
"DonKarlos";"30";"SRIC_EX";"0.126241687455517"
"DonKarlos";"30";"Max";"0.10378590078329"
"Statuja";"30";"SRIC_EX";"0.00405693743277681"
"Statuja";"30";"Max";"0.0530896431679721"
"PervyjGost";"30";"SRIC_EX";"0.0649769585253456"
"PervyjGost";"30";"Max";"0.0613577023498695"
"VtorojGost";"30";"SRIC_EX";"0.0649769585253456"
"VtorojGost";"30";"Max";"0.0613577023498695"
"TretijGost";"30";"SRIC_EX";"0.0649769585253456"
"TretijGost";"30";"Max";"0.0613577023498695"
"Gost";"30";"SRIC_EX";"0.0649769585253456"
"Gost";"30";"Max";"0.0613577023498695"
"DonGuan";"50";"SRIC_EX";"0.248136825580435"
"DonGuan";"50";"Max";"0.163449564134496"
"Leporello";"50";"SRIC_EX";"0.0954989577905159"
"Leporello";"50";"Max";"0.125155666251557"
"Monah";"50";"SRIC_EX";"0.0337871287128713"
"Monah";"50";"Max";"0.0647571606475716"
"DonaAnna";"50";"SRIC_EX";"0.101806186257724"
"DonaAnna";"50";"Max";"0.121419676214197"
"Laura";"50";"SRIC_EX";"0.140232681038905"
"Laura";"50";"Max";"0.113013698630137"
"DonKarlos";"50";"SRIC_EX";"0.140232681038905"
"DonKarlos";"50";"Max";"0.113013698630137"
"Statuja";"50";"SRIC_EX";"0.00482673267326733"
"Statuja";"50";"Max";"0.0336239103362391"
"PervyjGost";"50";"SRIC_EX";"0.0588697017268446"
"PervyjGost";"50";"Max";"0.0663916562889166"
"VtorojGost";"50";"SRIC_EX";"0.0588697017268446"
"VtorojGost";"50";"Max";"0.0663916562889166"
"TretijGost";"50";"SRIC_EX";"0.0588697017268446"
"TretijGost";"50";"Max";"0.0663916562889166"
"Gost";"50";"SRIC_EX";"0.0588697017268446"
"Gost";"50";"Max";"0.0663916562889166"
"DonGuan";"70";"SRIC_EX";"0.20640457307124"
"DonGuan";"70";"Max";"0.176824923894035"
"Leporello";"70";"SRIC_EX";"0.117638870669174"
"Leporello";"70";"Max";"0.114061791566811"
"Monah";"70";"SRIC_EX";"0.0568782477873387"
"Monah";"70";"Max";"0.0702765723168599"
"DonaAnna";"70";"SRIC_EX";"0.102088452088452"
"DonaAnna";"70";"Max";"0.1053177019237"
"Laura";"70";"SRIC_EX";"0.105703387521569"
"Laura";"70";"Max";"0.114353261221582"
"DonKarlos";"70";"SRIC_EX";"0.105703387521569"
"DonKarlos";"70";"Max";"0.114353261221582"
"Statuja";"70";"SRIC_EX";"0.0110775868351626"
"Statuja";"70";"Max";"0.0375024289137897"
"PervyjGost";"70";"SRIC_EX";"0.0736263736263736"
"PervyjGost";"70";"Max";"0.0668275147354103"
"VtorojGost";"70";"SRIC_EX";"0.0736263736263736"
"VtorojGost";"70";"Max";"0.0668275147354103"
"TretijGost";"70";"SRIC_EX";"0.0736263736263736"
"TretijGost";"70";"Max";"0.0668275147354103"
"Gost";"70";"SRIC_EX";"0.0736263736263736"
"Gost";"70";"Max";"0.0668275147354103"
