"Element";"Quota";"Centrality";"Value"
"MolodojChelovek";"30";"SRIC_EX";"0.112404942965779"
"MolodojChelovek";"30";"Max";"0.125984251968504"
"Predsedatel";"30";"SRIC_EX";"0.260218631178707"
"Predsedatel";"30";"Max";"0.196850393700787"
"Meri";"30";"SRIC_EX";"0.112404942965779"
"Meri";"30";"Max";"0.125984251968504"
"Luiza";"30";"SRIC_EX";"0.112404942965779"
"Luiza";"30";"Max";"0.125984251968504"
"Mnogie";"30";"SRIC_EX";"0.260218631178707"
"Mnogie";"30";"Max";"0.196850393700787"
"Svjaschennik";"30";"SRIC_EX";"0.0711739543726236"
"Svjaschennik";"30";"Max";"0.114173228346457"
"ZhenskijGolos";"30";"SRIC_EX";"0.0711739543726236"
"ZhenskijGolos";"30";"Max";"0.114173228346457"
"MolodojChelovek";"50";"SRIC_EX";"0.110804416403785"
"MolodojChelovek";"50";"Max";"0.131474103585657"
"Predsedatel";"50";"SRIC_EX";"0.263209779179811"
"Predsedatel";"50";"Max";"0.199203187250996"
"Meri";"50";"SRIC_EX";"0.110804416403785"
"Meri";"50";"Max";"0.131474103585657"
"Luiza";"50";"SRIC_EX";"0.110804416403785"
"Luiza";"50";"Max";"0.131474103585657"
"Mnogie";"50";"SRIC_EX";"0.263209779179811"
"Mnogie";"50";"Max";"0.199203187250996"
"Svjaschennik";"50";"SRIC_EX";"0.070583596214511"
"Svjaschennik";"50";"Max";"0.103585657370518"
"ZhenskijGolos";"50";"SRIC_EX";"0.070583596214511"
"ZhenskijGolos";"50";"Max";"0.103585657370518"
"MolodojChelovek";"70";"SRIC_EX";"0.121268656716418"
"MolodojChelovek";"70";"Max";"0.132132132132132"
"Predsedatel";"70";"SRIC_EX";"0.237873134328358"
"Predsedatel";"70";"Max";"0.198198198198198"
"Meri";"70";"SRIC_EX";"0.121268656716418"
"Meri";"70";"Max";"0.132132132132132"
"Luiza";"70";"SRIC_EX";"0.121268656716418"
"Luiza";"70";"Max";"0.132132132132132"
"Mnogie";"70";"SRIC_EX";"0.237873134328358"
"Mnogie";"70";"Max";"0.198198198198198"
"Svjaschennik";"70";"SRIC_EX";"0.0802238805970149"
"Svjaschennik";"70";"Max";"0.103603603603604"
"ZhenskijGolos";"70";"SRIC_EX";"0.0802238805970149"
"ZhenskijGolos";"70";"Max";"0.103603603603604"
