"Element";"Quota";"Centrality";"Value"
"Melnik";"30";"SRIC_EX";"0.0854049719326384"
"Melnik";"30";"Max";"0.0726575878659382"
"DochRusalka";"30";"SRIC_EX";"0.0184198173176599"
"DochRusalka";"30";"Max";"0.0350376471227813"
"Knjaz";"30";"SRIC_EX";"0.139554442857981"
"Knjaz";"30";"Max";"0.100709451194651"
"Rusalki";"30";"SRIC_EX";"0.0421523852367633"
"Rusalki";"30";"Max";"0.0479491152246595"
"Odna";"30";"SRIC_EX";"0.0421523852367633"
"Odna";"30";"Max";"0.0479491152246595"
"Drugaja";"30";"SRIC_EX";"0.0421523852367633"
"Drugaja";"30";"Max";"0.0479491152246595"
"Lovchij";"30";"SRIC_EX";"0.0581908776184795"
"Lovchij";"30";"Max";"0.05488053494251"
"Rusalochka";"30";"SRIC_EX";"0.00862068965517241"
"Rusalochka";"30";"Max";"0.0399304139824404"
"Svat";"30";"SRIC_EX";"0.0668604651162791"
"Svat";"30";"Max";"0.0627089619179646"
"Hor";"30";"SRIC_EX";"0.0668604651162791"
"Hor";"30";"Max";"0.0627089619179646"
"OdinGolos";"30";"SRIC_EX";"0.0668604651162791"
"OdinGolos";"30";"Max";"0.0627089619179646"
"Devushki";"30";"SRIC_EX";"0.0668604651162791"
"Devushki";"30";"Max";"0.0627089619179646"
"Konjushij";"30";"SRIC_EX";"0.0668604651162791"
"Konjushij";"30";"Max";"0.0627089619179646"
"Gost";"30";"SRIC_EX";"0.0668604651162791"
"Gost";"30";"Max";"0.0627089619179646"
"Druzhko";"30";"SRIC_EX";"0.0668604651162791"
"Druzhko";"30";"Max";"0.0627089619179646"
"Svaha";"30";"SRIC_EX";"0.0668604651162791"
"Svaha";"30";"Max";"0.0627089619179646"
"Knjaginja";"30";"SRIC_EX";"0.0142341619887731"
"Knjaginja";"30";"Max";"0.025632661936992"
"Mamka";"30";"SRIC_EX";"0.0142341619887731"
"Mamka";"30";"Max";"0.025632661936992"
