"Element";"Quota";"Centrality";"Value"
"Alber";"30";"SRIC_EX";"0.333333333333333"
"Alber";"30";"Max";"0.25"
"Ivan";"30";"SRIC_EX";"0.166666666666667"
"Ivan";"30";"Max";"0.1875"
"Zhid";"30";"SRIC_EX";"0.166666666666667"
"Zhid";"30";"Max";"0.1875"
"Gertsog";"30";"SRIC_EX";"0.166666666666667"
"Gertsog";"30";"Max";"0.1875"
"Baron";"30";"SRIC_EX";"0.166666666666667"
"Baron";"30";"Max";"0.1875"
"Alber";"50";"SRIC_EX";"0.333333333333333"
"Alber";"50";"Max";"0.25"
"Ivan";"50";"SRIC_EX";"0.166666666666667"
"Ivan";"50";"Max";"0.1875"
"Zhid";"50";"SRIC_EX";"0.166666666666667"
"Zhid";"50";"Max";"0.1875"
"Gertsog";"50";"SRIC_EX";"0.166666666666667"
"Gertsog";"50";"Max";"0.1875"
"Baron";"50";"SRIC_EX";"0.166666666666667"
"Baron";"50";"Max";"0.1875"
"Alber";"70";"SRIC_EX";"0.333333333333333"
"Alber";"70";"Max";"0.25"
"Ivan";"70";"SRIC_EX";"0.166666666666667"
"Ivan";"70";"Max";"0.1875"
"Zhid";"70";"SRIC_EX";"0.166666666666667"
"Zhid";"70";"Max";"0.1875"
"Gertsog";"70";"SRIC_EX";"0.166666666666667"
"Gertsog";"70";"Max";"0.1875"
"Baron";"70";"SRIC_EX";"0.166666666666667"
"Baron";"70";"Max";"0.1875"
