"Element";"Quota";"Centrality";"Value"
"Martyn";"30";"SRIC_EX";"0.0076986479758429"
"Martyn";"30";"Max";"0.0162873578078539"
"Frants";"30";"SRIC_EX";"0.182842857545404"
"Frants";"30";"Max";"0.102943764885101"
"Bertold";"30";"SRIC_EX";"0.0076986479758429"
"Bertold";"30";"Max";"0.0162873578078539"
"Alber";"30";"SRIC_EX";"0.186603171738059"
"Alber";"30";"Max";"0.0994390974468887"
"Rotenfeld";"30";"SRIC_EX";"0.142922207478349"
"Rotenfeld";"30";"Max";"0.0930138738101654"
"Klotilda";"30";"SRIC_EX";"0.0506594972975008"
"Klotilda";"30";"Max";"0.0559111278642868"
"Karl";"30";"SRIC_EX";"0.000179850983361701"
"Karl";"30";"Max";"0.0136588572291943"
"Kosari";"30";"SRIC_EX";"0.0192580909860129"
"Kosari";"30";"Max";"0.0350233099325391"
"Rytsari";"30";"SRIC_EX";"0.0559886521706891"
"Rytsari";"30";"Max";"0.0554672033221132"
"OdinRytsar";"30";"SRIC_EX";"0.0143537863451047"
"OdinRytsar";"30";"Max";"0.0303971489140983"
"DrugojRytsar";"30";"SRIC_EX";"0.0143537863451047"
"DrugojRytsar";"30";"Max";"0.0303971489140983"
"Vassaly";"30";"SRIC_EX";"0.0553089682636573"
"Vassaly";"30";"Max";"0.0568690702973983"
"OdinIzNih";"30";"SRIC_EX";"0.0220582308912329"
"OdinIzNih";"30";"Max";"0.035560692273065"
"DrugojRytsar_2";"30";"SRIC_EX";"0.0220582308912329"
"DrugojRytsar_2";"30";"Max";"0.035560692273065"
"Rytsari_2";"30";"SRIC_EX";"0.0653869369960604"
"Rytsari_2";"30";"Max";"0.0624453855990879"
"Rytsar";"30";"SRIC_EX";"0.0220582308912329"
"Rytsar";"30";"Max";"0.035560692273065"
"DrugojRytsar_3";"30";"SRIC_EX";"0.0220582308912329"
"DrugojRytsar_3";"30";"Max";"0.035560692273065"
"OdinIzRytsarej";"30";"SRIC_EX";"0.0220582308912329"
"OdinIzRytsarej";"30";"Max";"0.035560692273065"
"OdinRytsar_2";"30";"SRIC_EX";"0.0214037624536964"
"OdinRytsar_2";"30";"Max";"0.0350349921573331"
"OdinIzRytsarej_2";"30";"SRIC_EX";"0.0214037624536964"
"OdinIzRytsarej_2";"30";"Max";"0.0350349921573331"
"Rytsar_2";"30";"SRIC_EX";"0.0214037624536964"
"Rytsar_2";"30";"Max";"0.0350349921573331"
"DrugojRytsar_4";"30";"SRIC_EX";"0.0214037624536964"
"DrugojRytsar_4";"30";"Max";"0.0350349921573331"
"Berta";"30";"SRIC_EX";"0.000838693628060699"
"Berta";"30";"Max";"0.0139158661746633"
"Martyn";"50";"SRIC_EX";"0.0681818181818182"
"Martyn";"50";"Max";"0"
"Frants";"50";"SRIC_EX";"0.185710150316469"
