"Element";"Quota";"Centrality";"Value"
"zoja";"30";"SRIC_EX";"0.378885196664198"
"zoja";"30";"Max";"0.168881458862865"
"njanja";"30";"SRIC_EX";"0.0940429015170684"
"njanja";"30";"Max";"0.139711025059279"
"valentin";"30";"SRIC_EX";"0.309484399769798"
"valentin";"30";"Max";"0.172293205506559"
"mina";"30";"SRIC_EX";"0.0506439715785559"
"mina";"30";"Max";"0.0897289367291585"
"gotlib";"30";"SRIC_EX";"0.0202705728846466"
"gotlib";"30";"Max";"0.0579314580099282"
"ohotnik";"30";"SRIC_EX";"0.00224623540768539"
"ohotnik";"30";"Max";"0.0440115317036557"
"evgenij";"30";"SRIC_EX";"0.0466067894851014"
"evgenij";"30";"Max";"0.0927995087084833"
"neznakomyj";"30";"SRIC_EX";"0.0108718904753363"
"neznakomyj";"30";"Max";"0.0453762303611334"
"graf";"30";"SRIC_EX";"0.0314262428581626"
"graf";"30";"Max";"0.070452568192286"
"dvoretskij";"30";"SRIC_EX";"0.000586193803665044"
"dvoretskij";"30";"Max";"0.0223469405161973"
"pervyj";"30";"SRIC_EX";"0.0183118685185944"
"pervyj";"30";"Max";"0.0321557121168182"
"vtoroj";"30";"SRIC_EX";"0.0183118685185944"
"vtoroj";"30";"Max";"0.0321557121168182"
"tretij";"30";"SRIC_EX";"0.0183118685185944"
"tretij";"30";"Max";"0.0321557121168182"
"zoja";"50";"SRIC_EX";"0.357484237070598"
"zoja";"50";"Max";"0.20678756253002"
"njanja";"50";"SRIC_EX";"0.0881729969746418"
"njanja";"50";"Max";"0.11430639470994"
"valentin";"50";"SRIC_EX";"0.303325360994628"
"valentin";"50";"Max";"0.19811992775299"
"mina";"50";"SRIC_EX";"0.0597110173310936"
"mina";"50";"Max";"0.0825733784378204"
"gotlib";"50";"SRIC_EX";"0.0199283065913984"
"gotlib";"50";"Max";"0.0476550218603931"
"ohotnik";"50";"SRIC_EX";"0.00674160111573431"
"ohotnik";"50";"Max";"0.0354333088984455"
"evgenij";"50";"SRIC_EX";"0.0598778511789671"
"evgenij";"50";"Max";"0.0883781984875984"
"neznakomyj";"50";"SRIC_EX";"0.0114207594463078"
"neznakomyj";"50";"Max";"0.0402721531021021"
"graf";"50";"SRIC_EX";"0.0370176705365623"
"graf";"50";"Max";"0.0655862486705292"
"dvoretskij";"50";"SRIC_EX";"0.000954093138414471"
"dvoretskij";"50";"Max";"0.0179015570183759"
"pervyj";"50";"SRIC_EX";"0.0184553685405512"
"pervyj";"50";"Max";"0.0343287495105952"
"vtoroj";"50";"SRIC_EX";"0.0184553685405512"
"vtoroj";"50";"Max";"0.0343287495105952"
"tretij";"50";"SRIC_EX";"0.0184553685405512"
"tretij";"50";"Max";"0.0343287495105952"
"zoja";"70";"SRIC_EX";"0.26190264998824"
"zoja";"70";"Max";"0.222283411544741"
"njanja";"70";"SRIC_EX";"0.156058495186541"
"njanja";"70";"Max";"0.110265733670863"
"valentin";"70";"SRIC_EX";"0.251033192300145"
"valentin";"70";"Max";"0.200720707033232"
"mina";"70";"SRIC_EX";"0.0810269152416313"
"mina";"70";"Max";"0.0816610306966813"
"gotlib";"70";"SRIC_EX";"0.0238560591121562"
"gotlib";"70";"Max";"0.0482244349643301"
"ohotnik";"70";"SRIC_EX";"0.00274862568715642"
"ohotnik";"70";"Max";"0.0306897162407596"
"evgenij";"70";"SRIC_EX";"0.0817023553440671"
"evgenij";"70";"Max";"0.083260858037542"
"neznakomyj";"70";"SRIC_EX";"0.0115748739152715"
"neznakomyj";"70";"Max";"0.0389314691247811"
"graf";"70";"SRIC_EX";"0.0726390926969784"
"graf";"70";"Max";"0.0679075025466573"
"dvoretskij";"70";"SRIC_EX";"0.000916208562385474"
"dvoretskij";"70";"Max";"0.0155545063598871"
"pervyj";"70";"SRIC_EX";"0.0188471773218095"
"pervyj";"70";"Max";"0.0335002099268418"
"vtoroj";"70";"SRIC_EX";"0.0188471773218095"
"vtoroj";"70";"Max";"0.0335002099268418"
"tretij";"70";"SRIC_EX";"0.0188471773218095"
"tretij";"70";"Max";"0.0335002099268418"
