"Element";"Quota";"Centrality";"Value"
"veleglasnyj";"30";"SRIC_EX";"0.0206510672623251"
"veleglasnyj";"30";"Max";"0.0373174611089367"
"mavra_grigorevna";"30";"SRIC_EX";"0.0206510672623251"
"mavra_grigorevna";"30";"Max";"0.0373174611089367"
"vasilisa_parfentevna";"30";"SRIC_EX";"0.0288216915955924"
"vasilisa_parfentevna";"30";"Max";"0.0448957582679259"
"baev";"30";"SRIC_EX";"0.062686530532813"
"baev";"30";"Max";"0.0753395188123728"
"prokofij_ivanych";"30";"SRIC_EX";"0.123143316814854"
"prokofij_ivanych";"30";"Max";"0.11310549832774"
"lobastov";"30";"SRIC_EX";"0.171876670439641"
"lobastov";"30";"Max";"0.120087781569461"
"ivan_prokofich";"30";"SRIC_EX";"0.0631264025502404"
"ivan_prokofich";"30";"Max";"0.0734393908505187"
"zhivoedova";"30";"SRIC_EX";"0.164419427216784"
"zhivoedova";"30";"Max";"0.118101979883733"
"nastasya_ivanovna";"30";"SRIC_EX";"0.0986178069029568"
"nastasya_ivanovna";"30";"Max";"0.090903804106589"
"zhivnovskij";"30";"SRIC_EX";"0.148423392754642"
"zhivnovskij";"30";"Max";"0.114628737056939"
"lenochka";"30";"SRIC_EX";"0.0113309457164279"
"lenochka";"30";"Max";"0.0328239834416621"
"furnachev";"30";"SRIC_EX";"0.0719755201030092"
"furnachev";"30";"Max";"0.0826881449014412"
"dmitrij";"30";"SRIC_EX";"0.00581779870812902"
"dmitrij";"30";"Max";"0.0184816008460966"
"mavra_gornichnaya";"30";"SRIC_EX";"0.00581779870812902"
"mavra_gornichnaya";"30";"Max";"0.0184816008460966"
"lakej";"30";"SRIC_EX";"0.00264056343213113"
"lakej";"30";"Max";"0.0223872788715499"
"veleglasnyj";"50";"SRIC_EX";"0.0157776771262814"
"veleglasnyj";"50";"Max";"0.0288585931251421"
"mavra_grigorevna";"50";"SRIC_EX";"0.0157776771262814"
"mavra_grigorevna";"50";"Max";"0.0288585931251421"
"vasilisa_parfentevna";"50";"SRIC_EX";"0.0213560157667888"
"vasilisa_parfentevna";"50";"Max";"0.0417958559240101"
"baev";"50";"SRIC_EX";"0.067289575459909"
"baev";"50";"Max";"0.0785884018548384"
"prokofij_ivanych";"50";"SRIC_EX";"0.125313370073353"
"prokofij_ivanych";"50";"Max";"0.113180174092972"
"lobastov";"50";"SRIC_EX";"0.185046484110383"
"lobastov";"50";"Max";"0.127953490257451"
"ivan_prokofich";"50";"SRIC_EX";"0.0543421278400886"
"ivan_prokofich";"50";"Max";"0.0729825870515734"
"zhivoedova";"50";"SRIC_EX";"0.172930968740674"
"zhivoedova";"50";"Max";"0.127895202428046"
"nastasya_ivanovna";"50";"SRIC_EX";"0.0942858138249115"
"nastasya_ivanovna";"50";"Max";"0.094524904402915"
"zhivnovskij";"50";"SRIC_EX";"0.161710545201315"
"zhivnovskij";"50";"Max";"0.117955806166632"
"lenochka";"50";"SRIC_EX";"0.00878323702398263"
"lenochka";"50";"Max";"0.0327331167696694"
"furnachev";"50";"SRIC_EX";"0.0679994003267421"
"furnachev";"50";"Max";"0.0817933589077123"
"dmitrij";"50";"SRIC_EX";"0.00374810720199511"
"dmitrij";"50";"Max";"0.0183535114165941"
"mavra_gornichnaya";"50";"SRIC_EX";"0.00374810720199511"
"mavra_gornichnaya";"50";"Max";"0.0183535114165941"
"lakej";"50";"SRIC_EX";"0.00189089297529967"
"lakej";"50";"Max";"0.0161728930607077"
"veleglasnyj";"70";"SRIC_EX";"0.0598268171083705"
"veleglasnyj";"70";"Max";"0.0224739486177272"
"mavra_grigorevna";"70";"SRIC_EX";"0.0598268171083705"
"mavra_grigorevna";"70";"Max";"0.0224739486177272"
"vasilisa_parfentevna";"70";"SRIC_EX";"0.0684859616898452"
"vasilisa_parfentevna";"70";"Max";"0.0399585279369696"
"baev";"70";"SRIC_EX";"0.0527420624508003"
"baev";"70";"Max";"0.0803441029091867"
"prokofij_ivanych";"70";"SRIC_EX";"0.104004397662994"
"prokofij_ivanych";"70";"Max";"0.11588904617878"
"lobastov";"70";"SRIC_EX";"0.18026571981838"
"lobastov";"70";"Max";"0.132148556592118"
"ivan_prokofich";"70";"SRIC_EX";"0.0213592233009709"
"ivan_prokofich";"70";"Max";"0.0736242386762581"
"zhivoedova";"70";"SRIC_EX";"0.176821477649793"
"zhivoedova";"70";"Max";"0.13243126740036"
"nastasya_ivanovna";"70";"SRIC_EX";"0.165952607058666"
"nastasya_ivanovna";"70";"Max";"0.0979277738736904"
"zhivnovskij";"70";"SRIC_EX";"0.0877669902912621"
"zhivnovskij";"70";"Max";"0.121184001626815"
"lenochka";"70";"SRIC_EX";"0"
"lenochka";"70";"Max";"0.0305016604857857"
"furnachev";"70";"SRIC_EX";"0.0229479258605472"
"furnachev";"70";"Max";"0.0803833049207327"
"dmitrij";"70";"SRIC_EX";"0"
"dmitrij";"70";"Max";"0.0178597317821481"
"mavra_gornichnaya";"70";"SRIC_EX";"0"
"mavra_gornichnaya";"70";"Max";"0.0178597317821481"
"lakej";"70";"SRIC_EX";"0"
"lakej";"70";"Max";"0.0149401585995525"
