"Element";"Quota";"Centrality";"Value"
"zarnitskin";"30";"SRIC_EX";"0.11111009061876"
"zarnitskin";"30";"Max";"0.140277982056185"
"dashenka";"30";"SRIC_EX";"0.24853925541022"
"dashenka";"30";"Max";"0.208819636105656"
"mitjaj";"30";"SRIC_EX";"0.161967518504022"
"mitjaj";"30";"Max";"0.197660988207608"
"mezetskij";"30";"SRIC_EX";"0.291224819991219"
"mezetskij";"30";"Max";"0.202460569460907"
"handrina";"30";"SRIC_EX";"0.0365321504731144"
"handrina";"30";"Max";"0.0854234619277922"
"knjaginja";"30";"SRIC_EX";"0.150626165002664"
"knjaginja";"30";"Max";"0.165357362241852"
"zarnitskin";"50";"SRIC_EX";"0.10413921964274"
"zarnitskin";"50";"Max";"0.144274276602106"
"dashenka";"50";"SRIC_EX";"0.2585779957794"
"dashenka";"50";"Max";"0.210258795388858"
"mitjaj";"50";"SRIC_EX";"0.167321215235846"
"mitjaj";"50";"Max";"0.176944287565197"
"mezetskij";"50";"SRIC_EX";"0.308383403652023"
"mezetskij";"50";"Max";"0.22591276037341"
"handrina";"50";"SRIC_EX";"0.0379912743189315"
"handrina";"50";"Max";"0.0845819075778213"
"knjaginja";"50";"SRIC_EX";"0.123586891371059"
"knjaginja";"50";"Max";"0.158027972492608"
"zarnitskin";"70";"SRIC_EX";"0.127076337338577"
"zarnitskin";"70";"Max";"0.145883117749386"
"dashenka";"70";"SRIC_EX";"0.240212321607914"
"dashenka";"70";"Max";"0.209648382256533"
"mitjaj";"70";"SRIC_EX";"0.169000576057184"
"mitjaj";"70";"Max";"0.174811025760057"
"mezetskij";"70";"SRIC_EX";"0.260574729413333"
"mezetskij";"70";"Max";"0.232470487408343"
"handrina";"70";"SRIC_EX";"0.0316537591113081"
"handrina";"70";"Max";"0.0793614324783031"
"knjaginja";"70";"SRIC_EX";"0.171482276471685"
"knjaginja";"70";"Max";"0.157825554347377"
