"Element";"Quota";"Centrality";"Value"
"vanjusha";"30";"SRIC_EX";"0.0683381430853072"
"vanjusha";"30";"Max";"0.0808813381003759"
"foma";"30";"SRIC_EX";"0.101598781123639"
"foma";"30";"Max";"0.0975133771570995"
"inkvartus";"30";"SRIC_EX";"0.140853935876293"
"inkvartus";"30";"Max";"0.116060598517922"
"knjaz";"30";"SRIC_EX";"0.185601316610591"
"knjaz";"30";"Max";"0.136323464726747"
"masha";"30";"SRIC_EX";"0.0737863235717975"
"masha";"30";"Max";"0.0920336809606279"
"grafinja";"30";"SRIC_EX";"0.0634312725803689"
"grafinja";"30";"Max";"0.0742239494471563"
"knjazhna";"30";"SRIC_EX";"0.0415050116298246"
"knjazhna";"30";"Max";"0.0589026128443894"
"graf";"30";"SRIC_EX";"0.0205384722909698"
"graf";"30";"Max";"0.044818444600342"
"knjaginja";"30";"SRIC_EX";"0.158687624977749"
"knjaginja";"30";"Max";"0.128475943536279"
"radimov";"30";"SRIC_EX";"0.103325834368087"
"radimov";"30";"Max";"0.0982726791489742"
"tsaplin";"30";"SRIC_EX";"0.0408828355287409"
"tsaplin";"30";"Max";"0.059000301662618"
"sluga";"30";"SRIC_EX";"0.00145044835663308"
"sluga";"30";"Max";"0.0134936092974685"
"vanjusha";"50";"SRIC_EX";"0.0561037226705698"
"vanjusha";"50";"Max";"0.078948943465544"
"foma";"50";"SRIC_EX";"0.0940471684328437"
"foma";"50";"Max";"0.0974910908447449"
"inkvartus";"50";"SRIC_EX";"0.145706562292798"
"inkvartus";"50";"Max";"0.119110129977629"
"knjaz";"50";"SRIC_EX";"0.205089668909186"
"knjaz";"50";"Max";"0.144710622926216"
"masha";"50";"SRIC_EX";"0.0696921515332875"
"masha";"50";"Max";"0.0848644903312607"
"grafinja";"50";"SRIC_EX";"0.0567413080071952"
"grafinja";"50";"Max";"0.0775717110135711"
"knjazhna";"50";"SRIC_EX";"0.0449047599386937"
"knjazhna";"50";"Max";"0.0570356481467126"
"graf";"50";"SRIC_EX";"0.0181228528909003"
"graf";"50";"Max";"0.0402318033162283"
"knjaginja";"50";"SRIC_EX";"0.177283658585035"
"knjaginja";"50";"Max";"0.128714775919775"
"radimov";"50";"SRIC_EX";"0.100923556207925"
"radimov";"50";"Max";"0.100665365921126"
"tsaplin";"50";"SRIC_EX";"0.0303507473130047"
"tsaplin";"50";"Max";"0.0585366696526205"
"sluga";"50";"SRIC_EX";"0.00103384321856227"
"sluga";"50";"Max";"0.0121187484845714"
"vanjusha";"70";"SRIC_EX";"0.0882712304870476"
"vanjusha";"70";"Max";"0.0795746748180432"
"foma";"70";"SRIC_EX";"0.0855757082568023"
"foma";"70";"Max";"0.0962683099157074"
"inkvartus";"70";"SRIC_EX";"0.0653259158090958"
"inkvartus";"70";"Max";"0.120482319619782"
"knjaz";"70";"SRIC_EX";"0.24520609133104"
"knjaz";"70";"Max";"0.147952383709976"
"masha";"70";"SRIC_EX";"0"
"masha";"70";"Max";"0.0811023923002404"
"grafinja";"70";"SRIC_EX";"0.118837738740905"
"grafinja";"70";"Max";"0.0789810493749499"
"knjazhna";"70";"SRIC_EX";"0.0405752753977968"
"knjazhna";"70";"Max";"0.057119657540331"
"graf";"70";"SRIC_EX";"0.0508720930232558"
"graf";"70";"Max";"0.0392464860495982"
"knjaginja";"70";"SRIC_EX";"0.199232379459718"
"knjaginja";"70";"Max";"0.131539152667759"
"radimov";"70";"SRIC_EX";"0.0855757082568023"
"radimov";"70";"Max";"0.0999521574520505"
"tsaplin";"70";"SRIC_EX";"0.0205278592375367"
"tsaplin";"70";"Max";"0.0566618390226161"
"sluga";"70";"SRIC_EX";"0"
"sluga";"70";"Max";"0.0111195775289459"
