"Element";"Quota";"Centrality";"Value"
"veldjuzeva";"30";"SRIC_EX";"0.255499336813631"
"veldjuzeva";"30";"Max";"0.176704119195337"
"fekla";"30";"SRIC_EX";"0.0373110579665451"
"fekla";"30";"Max";"0.0791454648065847"
"raisa";"30";"SRIC_EX";"0.0748442729539051"
"raisa";"30";"Max";"0.0928965159586857"
"zvonkina";"30";"SRIC_EX";"0.0774782196224252"
"zvonkina";"30";"Max";"0.10182444569482"
"major";"30";"SRIC_EX";"0.160624650139952"
"major";"30";"Max";"0.15513188344415"
"maksim";"30";"SRIC_EX";"0.0774744542426618"
"maksim";"30";"Max";"0.0922949567789108"
"ljubim";"30";"SRIC_EX";"0.103969793921322"
"ljubim";"30";"Max";"0.13567113566834"
"natasha";"30";"SRIC_EX";"0.212798214339557"
"natasha";"30";"Max";"0.166331478453171"
"veldjuzeva";"50";"SRIC_EX";"0.248785430116256"
"veldjuzeva";"50";"Max";"0.197071279209761"
"fekla";"50";"SRIC_EX";"0.0406928098368036"
"fekla";"50";"Max";"0.0724215499214971"
"raisa";"50";"SRIC_EX";"0.0667993995761747"
"raisa";"50";"Max";"0.0925577154604916"
"zvonkina";"50";"SRIC_EX";"0.0747113292573371"
"zvonkina";"50";"Max";"0.0949946491308358"
"major";"50";"SRIC_EX";"0.186288197692791"
"major";"50";"Max";"0.160290742292284"
"maksim";"50";"SRIC_EX";"0.0719051930542339"
"maksim";"50";"Max";"0.0924684756359438"
"ljubim";"50";"SRIC_EX";"0.10103591797691"
"ljubim";"50";"Max";"0.121697070399133"
"natasha";"50";"SRIC_EX";"0.209781722489493"
"natasha";"50";"Max";"0.168498517950054"
"veldjuzeva";"70";"SRIC_EX";"0.231662835403017"
"veldjuzeva";"70";"Max";"0.19835432797375"
"fekla";"70";"SRIC_EX";"0.0175036724867491"
"fekla";"70";"Max";"0.0700081898525162"
"raisa";"70";"SRIC_EX";"0.0577707226855063"
"raisa";"70";"Max";"0.0932329392898135"
"zvonkina";"70";"SRIC_EX";"0.0576626931432594"
"zvonkina";"70";"Max";"0.0938920334844209"
"major";"70";"SRIC_EX";"0.19021186692306"
"major";"70";"Max";"0.160784153303184"
"maksim";"70";"SRIC_EX";"0.0784420386562516"
"maksim";"70";"Max";"0.0931791214181436"
"ljubim";"70";"SRIC_EX";"0.142585226299589"
"ljubim";"70";"Max";"0.120298436206013"
"natasha";"70";"SRIC_EX";"0.224160944402567"
"natasha";"70";"Max";"0.170250798472159"
