"Element";"Quota";"Centrality";"Value"
"semen";"30";"SRIC_EX";"0.0880652032348977"
"semen";"30";"Max";"0.092423111070708"
"knjaz";"30";"SRIC_EX";"0.0914468107533577"
"knjaz";"30";"Max";"0.0918095758976963"
"sasha";"30";"SRIC_EX";"0.174901830062548"
"sasha";"30";"Max";"0.141329626051892"
"grafinja";"30";"SRIC_EX";"0.18749647906467"
"grafinja";"30";"Max";"0.147602685833922"
"pronskij";"30";"SRIC_EX";"0.117895886018253"
"pronskij";"30";"Max";"0.113867582004038"
"olgin";"30";"SRIC_EX";"0.0889024830083994"
"olgin";"30";"Max";"0.0917600267388307"
"knjazhna";"30";"SRIC_EX";"0.060310128904755"
"knjazhna";"30";"Max";"0.0704511819599817"
"baron";"30";"SRIC_EX";"0.077707782948348"
"baron";"30";"Max";"0.0868997425536992"
"ugarov";"30";"SRIC_EX";"0.0711570310679168"
"ugarov";"30";"Max";"0.0823309997143145"
"olenka";"30";"SRIC_EX";"0.0237969217108242"
"olenka";"30";"Max";"0.0427602730348674"
"fialkin";"30";"SRIC_EX";"0.0183194432260305"
"fialkin";"30";"Max";"0.0387651951400504"
"semen";"50";"SRIC_EX";"0.0828379162229563"
"semen";"50";"Max";"0.0926807640245289"
"knjaz";"50";"SRIC_EX";"0.0776908136597585"
"knjaz";"50";"Max";"0.0926054097256309"
"sasha";"50";"SRIC_EX";"0.192796392293821"
"sasha";"50";"Max";"0.140555861924348"
"grafinja";"50";"SRIC_EX";"0.209070130864012"
"grafinja";"50";"Max";"0.147217181946925"
"pronskij";"50";"SRIC_EX";"0.132228512556241"
"pronskij";"50";"Max";"0.111642336411084"
"olgin";"50";"SRIC_EX";"0.0888398577160096"
"olgin";"50";"Max";"0.0927209529839411"
"knjazhna";"50";"SRIC_EX";"0.0534066295664916"
"knjazhna";"50";"Max";"0.0738271184402665"
"baron";"50";"SRIC_EX";"0.0766177022698511"
"baron";"50";"Max";"0.0858142858462425"
"ugarov";"50";"SRIC_EX";"0.0664108497637164"
"ugarov";"50";"Max";"0.0809556351160108"
"olenka";"50";"SRIC_EX";"0.00893869769181022"
"olenka";"50";"Max";"0.0432835092869717"
"fialkin";"50";"SRIC_EX";"0.0111624973953327"
"fialkin";"50";"Max";"0.0386969442940509"
"semen";"70";"SRIC_EX";"0"
"semen";"70";"Max";"0.0926207532405738"
"knjaz";"70";"SRIC_EX";"0"
"knjaz";"70";"Max";"0.090218189489665"
"sasha";"70";"SRIC_EX";"0"
"sasha";"70";"Max";"0.144067816975797"
"grafinja";"70";"SRIC_EX";"0"
"grafinja";"70";"Max";"0.151736921675812"
"pronskij";"70";"SRIC_EX";"0"
"pronskij";"70";"Max";"0.110462685359559"
"olgin";"70";"SRIC_EX";"0"
"olgin";"70";"Max";"0.0928614840374513"
"knjazhna";"70";"SRIC_EX";"0"
"knjazhna";"70";"Max";"0.0796773025878658"
"baron";"70";"SRIC_EX";"0"
"baron";"70";"Max";"0.0849436904976864"
"ugarov";"70";"SRIC_EX";"0"
"ugarov";"70";"Max";"0.0794174418802383"
"olenka";"70";"SRIC_EX";"0"
"olenka";"70";"Max";"0.0365315998562184"
"fialkin";"70";"SRIC_EX";"0"
"fialkin";"70";"Max";"0.0374621143991335"
