"Element";"Quota";"Centrality";"Value"
"Nelkin";"30";"SRIC_EX";"0.0305808222930544"
"Nelkin";"30";"Max";"0.0523153308182515"
"Atueva";"30";"SRIC_EX";"0.0668901666462816"
"Atueva";"30";"Max";"0.061744648342976"
"Lidochka";"30";"SRIC_EX";"0.0746655748226941"
"Lidochka";"30";"Max";"0.0740418863028702"
"Muromskij";"30";"SRIC_EX";"0.113484280961884"
"Muromskij";"30";"Max";"0.100300304925246"
"Tishka";"30";"SRIC_EX";"0.00606038206775965"
"Tishka";"30";"Max";"0.0164413954625823"
"Ivan_Sidorov";"30";"SRIC_EX";"0.0413344986285324"
"Ivan_Sidorov";"30";"Max";"0.0627444110377365"
"Tarelkin";"30";"SRIC_EX";"0.206682126163635"
"Tarelkin";"30";"Max";"0.116397011777306"
"Varravin";"30";"SRIC_EX";"0.149128312539108"
"Varravin";"30";"Max";"0.0964287014368235"
"Paramonov";"30";"SRIC_EX";"0.0235709666481555"
"Paramonov";"30";"Max";"0.0422713010819474"
"Knjaz";"30";"SRIC_EX";"0.0176547179973694"
"Knjaz";"30";"Max";"0.0419975127487504"
"Zhivets";"30";"SRIC_EX";"0.0277862743540236"
"Zhivets";"30";"Max";"0.0491538349313859"
"Vazhnoe_litso";"30";"SRIC_EX";"0.00396004195223401"
"Vazhnoe_litso";"30";"Max";"0.0160115804253573"
"Golos";"30";"SRIC_EX";"0.00221940152293721"
"Golos";"30";"Max";"0.0126506939175902"
"Ibisov";"30";"SRIC_EX";"0.0601534496909079"
"Ibisov";"30";"Max";"0.0531446790933176"
"Shilo";"30";"SRIC_EX";"0.0216259734742939"
"Shilo";"30";"Max";"0.0326443974892152"
"Chibisov";"30";"SRIC_EX";"0.0601534496909079"
"Chibisov";"30";"Max";"0.0531446790933176"
"Sherts";"30";"SRIC_EX";"0.0414085993539358"
"Sherts";"30";"Max";"0.0418337890742161"
"Shmerts";"30";"SRIC_EX";"0.0414085993539358"
"Shmerts";"30";"Max";"0.0418337890742161"
"Omega";"30";"SRIC_EX";"0.00723874649906954"
"Omega";"30";"Max";"0.0183297430492264"
"Gerts";"30";"SRIC_EX";"0.00399361533928029"
"Gerts";"30";"Max";"0.016570309917668"
"Nelkin";"50";"SRIC_EX";"0.0286119792051192"
"Nelkin";"50";"Max";"0.0434120670416344"
"Atueva";"50";"SRIC_EX";"0.0614836290143926"
"Atueva";"50";"Max";"0.0623599113785961"
"Lidochka";"50";"SRIC_EX";"0.0739501183549339"
"Lidochka";"50";"Max";"0.068941046262511"
"Muromskij";"50";"SRIC_EX";"0.164466553820749"
"Muromskij";"50";"Max";"0.1054901236908"
"Tishka";"50";"SRIC_EX";"0.004459606386084"
"Tishka";"50";"Max";"0.0160638918264145"
"Ivan_Sidorov";"50";"SRIC_EX";"0.0410120537872417"
"Ivan_Sidorov";"50";"Max";"0.0547689787386105"
"Tarelkin";"50";"SRIC_EX";"0.170224243230618"
"Tarelkin";"50";"Max";"0.124577256683195"
"Varravin";"50";"SRIC_EX";"0.124715983537783"
"Varravin";"50";"Max";"0.0962166858342266"
"Paramonov";"50";"SRIC_EX";"0.0210209296540193"
"Paramonov";"50";"Max";"0.043725167583711"
"Knjaz";"50";"SRIC_EX";"0.0161870329696633"
"Knjaz";"50";"Max";"0.0379689454386122"
"Zhivets";"50";"SRIC_EX";"0.0555778924410298"
"Zhivets";"50";"Max";"0.0476686888741641"
"Vazhnoe_litso";"50";"SRIC_EX";"0.00197734295086621"
"Vazhnoe_litso";"50";"Max";"0.0157156523677022"
"Golos";"50";"SRIC_EX";"0.00162162162162162"
"Golos";"50";"Max";"0.0105283357338226"
"Ibisov";"50";"SRIC_EX";"0.0605379958517892"
"Ibisov";"50";"Max";"0.057029635634086"
"Shilo";"50";"SRIC_EX";"0.0192710437722461"
"Shilo";"50";"Max";"0.0331384398745333"
"Chibisov";"50";"SRIC_EX";"0.0605379958517892"
"Chibisov";"50";"Max";"0.057029635634086"
"Sherts";"50";"SRIC_EX";"0.0413319012160187"
"Sherts";"50";"Max";"0.0450489006863218"
"Shmerts";"50";"SRIC_EX";"0.0413319012160187"
"Shmerts";"50";"Max";"0.0450489006863218"
"Omega";"50";"SRIC_EX";"0.00709959225267406"
"Omega";"50";"Max";"0.0193298874554405"
"Gerts";"50";"SRIC_EX";"0.00458058286534207"
"Gerts";"50";"Max";"0.0159378485752103"
"Nelkin";"70";"SRIC_EX";"0.0743153376458497"
"Nelkin";"70";"Max";"0.0460840617124304"
"Atueva";"70";"SRIC_EX";"0.142045242939367"
"Atueva";"70";"Max";"0.0627774797155915"
"Lidochka";"70";"SRIC_EX";"0.146360209917076"
"Lidochka";"70";"Max";"0.0725267097536028"
"Muromskij";"70";"SRIC_EX";"0.240736869114414"
"Muromskij";"70";"Max";"0.10212413608559"
"Tishka";"70";"SRIC_EX";"0.0153401779285946"
"Tishka";"70";"Max";"0.0151681204330941"
"Ivan_Sidorov";"70";"SRIC_EX";"0.0586005494414901"
"Ivan_Sidorov";"70";"Max";"0.0520008527041864"
