"Element";"Quota";"Centrality";"Value"
"Tarelkin";"30";"SRIC_EX";"0.107068770765997"
"Tarelkin";"30";"Max";"0.106349158398822"
"Mavrusha";"30";"SRIC_EX";"0.0305762157295063"
"Mavrusha";"30";"Max";"0.051374042251002"
"Varravin";"30";"SRIC_EX";"0.1308164709768"
"Varravin";"30";"Max";"0.101017075611523"
"Raspljuev";"30";"SRIC_EX";"0.293609551646249"
"Raspljuev";"30";"Max";"0.129192721706995"
"Ljudmila";"30";"SRIC_EX";"0.00234194494623857"
"Ljudmila";"30";"Max";"0.0225194187070754"
"PervyjKreditor";"30";"SRIC_EX";"0.0178361078969914"
"PervyjKreditor";"30";"Max";"0.0221770529597615"
"VtorojKreditor";"30";"SRIC_EX";"0.0178361078969914"
"VtorojKreditor";"30";"Max";"0.0221770529597615"
"TretijKreditor";"30";"SRIC_EX";"0.0178361078969914"
"TretijKreditor";"30";"Max";"0.0221770529597615"
"ChetvertyjKreditor";"30";"SRIC_EX";"0.0178361078969914"
"ChetvertyjKreditor";"30";"Max";"0.0221770529597615"
"Kreditory";"30";"SRIC_EX";"0.0178361078969914"
"Kreditory";"30";"Max";"0.0221770529597615"
"Kachala";"30";"SRIC_EX";"0.040291365011003"
"Kachala";"30";"Max";"0.0581566241778307"
"Chinovniki";"30";"SRIC_EX";"0.0225242898747799"
"Chinovniki";"30";"Max";"0.0239042258194601"
"Chibisov";"30";"SRIC_EX";"0.0225242898747799"
"Chibisov";"30";"Max";"0.0239042258194601"
"Ibisov";"30";"SRIC_EX";"0.0225242898747799"
"Ibisov";"30";"Max";"0.0239042258194601"
"TretijChinovnik";"30";"SRIC_EX";"0.0225242898747799"
"TretijChinovnik";"30";"Max";"0.0239042258194601"
"ChetvertyjChinovnik";"30";"SRIC_EX";"0.0225242898747799"
"ChetvertyjChinovnik";"30";"Max";"0.0239042258194601"
"Omega";"30";"SRIC_EX";"0.0225242898747799"
"Omega";"30";"Max";"0.0239042258194601"
"Oh";"30";"SRIC_EX";"0.13675381179206"
"Oh";"30";"Max";"0.122975474816698"
"KrestjanKrestjanovich";"30";"SRIC_EX";"0.000951975782328913"
"KrestjanKrestjanovich";"30";"Max";"0.0179612551300918"
"Chvankin";"30";"SRIC_EX";"0.00636444483032506"
"Chvankin";"30";"Max";"0.0364259893003511"
"Popugajchikov";"30";"SRIC_EX";"0.00482615826699282"
"Popugajchikov";"30";"Max";"0.0211115954099974"
"Vanechka";"30";"SRIC_EX";"0.00954474491692862"
"Vanechka";"30";"Max";"0.0366417660318515"
"Pahomov";"30";"SRIC_EX";"0.00626413330096771"
"Pahomov";"30";"Max";"0.0209821293710971"
"Shatala";"30";"SRIC_EX";"0.00626413330096771"
"Shatala";"30";"Max";"0.0209821293710971"
"Tarelkin";"50";"SRIC_EX";"0.138254080574279"
"Tarelkin";"50";"Max";"0.108620253258826"
"Mavrusha";"50";"SRIC_EX";"0.0297487462098471"
"Mavrusha";"50";"Max";"0.0495696118260043"
"Varravin";"50";"SRIC_EX";"0.148949907645702"
"Varravin";"50";"Max";"0.111148562400541"
