"Element";"Quota";"Centrality";"Value"
"Atueva";"30";"SRIC_EX";"0.172816361197103"
"Atueva";"30";"Max";"0.155231476625591"
"Tishka";"30";"SRIC_EX";"0.00172656896770114"
"Tishka";"30";"Max";"0.0298798777600055"
"Muromskij";"30";"SRIC_EX";"0.225049540993918"
"Muromskij";"30";"Max";"0.16538072239448"
"Lidochka";"30";"SRIC_EX";"0.158266045296489"
"Lidochka";"30";"Max";"0.135316739901059"
"Nelkin";"30";"SRIC_EX";"0.0436160535843616"
"Nelkin";"30";"Max";"0.0803196958686105"
"Krechinskij";"30";"SRIC_EX";"0.200223316831615"
"Krechinskij";"30";"Max";"0.150925104761086"
"Raspljuev";"30";"SRIC_EX";"0.139162412128234"
"Raspljuev";"30";"Max";"0.120662460712425"
"Bek";"30";"SRIC_EX";"0.00733207532057348"
"Bek";"30";"Max";"0.0227379390453255"
"PolitsejskijChinovnik";"30";"SRIC_EX";"0.00733207532057348"
"PolitsejskijChinovnik";"30";"Max";"0.0227379390453255"
"Fedor";"30";"SRIC_EX";"0.0442555646585012"
"Fedor";"30";"Max";"0.103531592596266"
"Schebnev";"30";"SRIC_EX";"0.00021998570092944"
"Schebnev";"30";"Max";"0.0132764512898249"
"Atueva";"50";"SRIC_EX";"0.187377305874549"
"Atueva";"50";"Max";"0.150843598517625"
"Tishka";"50";"SRIC_EX";"0.00126246164317321"
"Tishka";"50";"Max";"0.0207495886100468"
"Muromskij";"50";"SRIC_EX";"0.23063805723235"
"Muromskij";"50";"Max";"0.173646758669083"
"Lidochka";"50";"SRIC_EX";"0.165508895907758"
"Lidochka";"50";"Max";"0.143532634959576"
"Nelkin";"50";"SRIC_EX";"0.0398624471841473"
"Nelkin";"50";"Max";"0.077178203715969"
"Krechinskij";"50";"SRIC_EX";"0.203880082055907"
"Krechinskij";"50";"Max";"0.165578450681181"
"Raspljuev";"50";"SRIC_EX";"0.11047648114704"
"Raspljuev";"50";"Max";"0.123820914640388"
"Bek";"50";"SRIC_EX";"0.00664064578716096"
"Bek";"50";"Max";"0.0233993608496754"
"PolitsejskijChinovnik";"50";"SRIC_EX";"0.00664064578716096"
"PolitsejskijChinovnik";"50";"Max";"0.0233993608496754"
"Fedor";"50";"SRIC_EX";"0.0475890949039301"
"Fedor";"50";"Max";"0.0874977798504035"
"Schebnev";"50";"SRIC_EX";"0.000123882476823653"
"Schebnev";"50";"Max";"0.0103533486563757"
"Atueva";"70";"SRIC_EX";"0.163168203790924"
"Atueva";"70";"Max";"0.152481556465879"
"Tishka";"70";"SRIC_EX";"0.00070466107520968"
"Tishka";"70";"Max";"0.0179008839670707"
"Muromskij";"70";"SRIC_EX";"0.216936480827821"
"Muromskij";"70";"Max";"0.177219988884859"
"Lidochka";"70";"SRIC_EX";"0.154514800168096"
"Lidochka";"70";"Max";"0.145876412215821"
"Nelkin";"70";"SRIC_EX";"0.0452739348874776"
"Nelkin";"70";"Max";"0.0776924504927071"
"Krechinskij";"70";"SRIC_EX";"0.211913953088035"
"Krechinskij";"70";"Max";"0.169319289941648"
"Raspljuev";"70";"SRIC_EX";"0.137082490083882"
"Raspljuev";"70";"Max";"0.123664554820137"
"Bek";"70";"SRIC_EX";"0.00110150821894594"
"Bek";"70";"Max";"0.0231727294113234"
"PolitsejskijChinovnik";"70";"SRIC_EX";"0.00110150821894594"
"PolitsejskijChinovnik";"70";"Max";"0.0231727294113234"
"Fedor";"70";"SRIC_EX";"0.0682024596406628"
"Fedor";"70";"Max";"0.0809194114895647"
"Schebnev";"70";"SRIC_EX";"0"
"Schebnev";"70";"Max";"0.0085799928996664"
