"Element";"Quota";"Centrality";"Value"
"malmira";"30";"SRIC_EX";"0.0643026714925711"
"malmira";"30";"Max";"0.133738667124995"
"fedima";"30";"SRIC_EX";"0.307895228189347"
"fedima";"30";"Max";"0.12971039401882"
"gikarn";"30";"SRIC_EX";"0.09777964941093"
"gikarn";"30";"Max";"0.124876466291411"
"orkant";"30";"SRIC_EX";"0.128015187273288"
"orkant";"30";"Max";"0.120848193185236"
"otan";"30";"SRIC_EX";"0.0592643559376211"
"otan";"30";"Max";"0.08078030335582"
"voin";"30";"SRIC_EX";"0.0119599176471621"
"voin";"30";"Max";"0.055622395050058"
"darij";"30";"SRIC_EX";"0.144164223088404"
"darij";"30";"Max";"0.105218493533279"
"artistona";"30";"SRIC_EX";"0.142367608239933"
"artistona";"30";"Max";"0.105218493533279"
"zanida";"30";"SRIC_EX";"0.0401750484252816"
"zanida";"30";"Max";"0.093842650281442"
"pazh";"30";"SRIC_EX";"0.00150656431594806"
"pazh";"30";"Max";"0.0245885790400894"
"voenachalnik";"30";"SRIC_EX";"0.00256954597951436"
"voenachalnik";"30";"Max";"0.0255553645855713"
"malmira";"50";"SRIC_EX";"0.0655182608368648"
"malmira";"50";"Max";"0.108961427740727"
"fedima";"50";"SRIC_EX";"0.310274520824526"
"fedima";"50";"Max";"0.16541428950885"
"gikarn";"50";"SRIC_EX";"0.114146611881081"
"gikarn";"50";"Max";"0.110325419786499"
"orkant";"50";"SRIC_EX";"0.130376654692595"
"orkant";"50";"Max";"0.130370120438105"
"otan";"50";"SRIC_EX";"0.0557587632310231"
"otan";"50";"Max";"0.0909028909452465"
"voin";"50";"SRIC_EX";"0.00603327120436191"
"voin";"50";"Max";"0.0425565518281083"
"darij";"50";"SRIC_EX";"0.146920913629941"
"darij";"50";"Max";"0.117170506184627"
"artistona";"50";"SRIC_EX";"0.137846253029309"
"artistona";"50";"Max";"0.106373432306511"
"zanida";"50";"SRIC_EX";"0.0255629945222155"
"zanida";"50";"Max";"0.08074901281503"
"pazh";"50";"SRIC_EX";"0.00228241022519781"
"pazh";"50";"Max";"0.0216948233596115"
"voenachalnik";"50";"SRIC_EX";"0.00527934592288456"
"voenachalnik";"50";"Max";"0.0254815250866853"
"malmira";"70";"SRIC_EX";"0.098629985212878"
"malmira";"70";"Max";"0.0948787102288102"
"fedima";"70";"SRIC_EX";"0.253280648108716"
"fedima";"70";"Max";"0.185436258125683"
"gikarn";"70";"SRIC_EX";"0.112101539630929"
"gikarn";"70";"Max";"0.112144673449179"
"orkant";"70";"SRIC_EX";"0.143929430180211"
"orkant";"70";"Max";"0.133965375343751"
"otan";"70";"SRIC_EX";"0.0648216773205605"
"otan";"70";"Max";"0.0904174020915127"
"voin";"70";"SRIC_EX";"0.0115835753337984"
"voin";"70";"Max";"0.0357708153601204"
"darij";"70";"SRIC_EX";"0.138724327047635"
"darij";"70";"Max";"0.123396045856175"
"artistona";"70";"SRIC_EX";"0.125271335352989"
"artistona";"70";"Max";"0.113119854678143"
"zanida";"70";"SRIC_EX";"0.0451313169621693"
"zanida";"70";"Max";"0.067484409655065"
"pazh";"70";"SRIC_EX";"0.00132739167535792"
"pazh";"70";"Max";"0.0185388374975518"
"voenachalnik";"70";"SRIC_EX";"0.00519877317475655"
"voenachalnik";"70";"Max";"0.0248476177140094"
