"Element";"Quota";"Centrality";"Value"
"Parmen";"30";"SRIC_EX";"0.10902725178835"
"Parmen";"30";"Max";"0.131089246885549"
"Dimitrij";"30";"SRIC_EX";"0.288312273650615"
"Dimitrij";"30";"Max";"0.212155067815139"
"Shujskij";"30";"SRIC_EX";"0.161678318584637"
"Shujskij";"30";"Max";"0.176679761175382"
"Georgij";"30";"SRIC_EX";"0.146934424121963"
"Georgij";"30";"Max";"0.178373637990894"
"Ksenija";"30";"SRIC_EX";"0.289905663676945"
"Ksenija";"30";"Max";"0.217440924544395"
"Nachalnik";"30";"SRIC_EX";"0.00414206817749"
"Nachalnik";"30";"Max";"0.0842613615886402"
"Parmen";"50";"SRIC_EX";"0.0258876869046361"
"Parmen";"50";"Max";"0.10265414288657"
"Dimitrij";"50";"SRIC_EX";"0.286290916789896"
"Dimitrij";"50";"Max";"0.223959851694383"
"Shujskij";"50";"SRIC_EX";"0.244962283426479"
"Shujskij";"50";"Max";"0.207742258121904"
"Georgij";"50";"SRIC_EX";"0.179091220814075"
"Georgij";"50";"Max";"0.177482367742124"
"Ksenija";"50";"SRIC_EX";"0.255592833042398"
"Ksenija";"50";"Max";"0.220379230257211"
"Nachalnik";"50";"SRIC_EX";"0.00817505902251665"
"Nachalnik";"50";"Max";"0.0677821492978079"
"Parmen";"70";"SRIC_EX";"0.114766442781676"
"Parmen";"70";"Max";"0.118730058044568"
"Dimitrij";"70";"SRIC_EX";"0.273164117173462"
"Dimitrij";"70";"Max";"0.231697428879447"
"Shujskij";"70";"SRIC_EX";"0.192125793948724"
"Shujskij";"70";"Max";"0.196118691523134"
"Georgij";"70";"SRIC_EX";"0.16229792547145"
"Georgij";"70";"Max";"0.17339792182435"
"Ksenija";"70";"SRIC_EX";"0.255502441160753"
"Ksenija";"70";"Max";"0.227754093521609"
"Nachalnik";"70";"SRIC_EX";"0.00214327946393378"
"Nachalnik";"70";"Max";"0.0523018062068919"
