"Element";"Quota";"Centrality";"Value"
"astrada";"30";"SRIC_EX";"0.0714851158162008"
"astrada";"30";"Max";"0.136942334438857"
"osnelda";"30";"SRIC_EX";"0.14257914666446"
"osnelda";"30";"Max";"0.126671659355943"
"kij";"30";"SRIC_EX";"0.256861111111111"
"kij";"30";"Max";"0.135444527655932"
"horev";"30";"SRIC_EX";"0.202033341392871"
"horev";"30";"Max";"0.118968653043757"
"velkar";"30";"SRIC_EX";"0.103847665949346"
"velkar";"30";"Max";"0.093719910131593"
"zavloh";"30";"SRIC_EX";"0.0642136104046591"
"zavloh";"30";"Max";"0.0774580079169787"
"edinyj_voin";"30";"SRIC_EX";"0.0264904139892552"
"edinyj_voin";"30";"Max";"0.0485717342462822"
"stalverh";"30";"SRIC_EX";"0.0660196987253766"
"stalverh";"30";"Max";"0.0921151171498877"
"strazh_temnits";"30";"SRIC_EX";"0.0264259044676194"
"strazh_temnits";"30";"Max";"0.0515138547127421"
"strazh_gradskih_vorot";"30";"SRIC_EX";"0.0264259044676194"
"strazh_gradskih_vorot";"30";"Max";"0.0515138547127421"
"nevolnik";"30";"SRIC_EX";"0.00425840092699884"
"nevolnik";"30";"Max";"0.0298491494597197"
"poslannyj";"30";"SRIC_EX";"0.0093596860844833"
"poslannyj";"30";"Max";"0.0372311971755643"
"astrada";"50";"SRIC_EX";"0.0579867924443689"
"astrada";"50";"Max";"0.109757438748702"
"osnelda";"50";"SRIC_EX";"0.150858449012009"
"osnelda";"50";"Max";"0.117950754567117"
"kij";"50";"SRIC_EX";"0.270789184359032"
"kij";"50";"Max";"0.160979409787988"
"horev";"50";"SRIC_EX";"0.18126633869545"
"horev";"50";"Max";"0.154930653143521"
"velkar";"50";"SRIC_EX";"0.13182109410516"
"velkar";"50";"Max";"0.107640373923138"
"zavloh";"50";"SRIC_EX";"0.0821906827200662"
"zavloh";"50";"Max";"0.0847589662125008"
"edinyj_voin";"50";"SRIC_EX";"0.0260978154417069"
"edinyj_voin";"50";"Max";"0.052376733671412"
"stalverh";"50";"SRIC_EX";"0.0609747545582048"
"stalverh";"50";"Max";"0.0841327060548665"
"strazh_temnits";"50";"SRIC_EX";"0.0148667601683029"
"strazh_temnits";"50";"Max";"0.0331230524836561"
"strazh_gradskih_vorot";"50";"SRIC_EX";"0.0148667601683029"
"strazh_gradskih_vorot";"50";"Max";"0.0331230524836561"
"nevolnik";"50";"SRIC_EX";"0.00142005610098177"
"nevolnik";"50";"Max";"0.0269750106922466"
"poslannyj";"50";"SRIC_EX";"0.00686131222641433"
"poslannyj";"50";"Max";"0.0342518482311969"
"astrada";"70";"SRIC_EX";"0.099012706854946"
"astrada";"70";"Max";"0.0876263277192882"
"osnelda";"70";"SRIC_EX";"0.13175943138327"
"osnelda";"70";"Max";"0.121463621157137"
"kij";"70";"SRIC_EX";"0.300137641800133"
"kij";"70";"Max";"0.175251777680184"
"horev";"70";"SRIC_EX";"0.205986594406794"
"horev";"70";"Max";"0.157371839228603"
"velkar";"70";"SRIC_EX";"0.0808742038922465"
"velkar";"70";"Max";"0.106433764205422"
"zavloh";"70";"SRIC_EX";"0.0595866593767086"
"zavloh";"70";"Max";"0.0851525119835964"
"edinyj_voin";"70";"SRIC_EX";"0.0301210231554682"
"edinyj_voin";"70";"Max";"0.0524978516863348"
"stalverh";"70";"SRIC_EX";"0.032258064516129"
"stalverh";"70";"Max";"0.0789982553089022"
"strazh_temnits";"70";"SRIC_EX";"0.0266479663394109"
"strazh_temnits";"70";"Max";"0.0389797872723278"
"strazh_gradskih_vorot";"70";"SRIC_EX";"0.0266479663394109"
"strazh_gradskih_vorot";"70";"Max";"0.0389797872723278"
"nevolnik";"70";"SRIC_EX";"0"
"nevolnik";"70";"Max";"0.0239262308440203"
"poslannyj";"70";"SRIC_EX";"0.00696774193548387"
"poslannyj";"70";"Max";"0.0333182456418564"
