"Element";"Quota";"Centrality";"Value"
"semira";"30";"SRIC_EX";"0.397352316673077"
"semira";"30";"Max";"0.195299459170728"
"izbrana";"30";"SRIC_EX";"0.0433229929967665"
"izbrana";"30";"Max";"0.143553448621219"
"oskold";"30";"SRIC_EX";"0.0807610343388185"
"oskold";"30";"Max";"0.138211924951592"
"pervyj_voin";"30";"SRIC_EX";"0.0169804470494701"
"pervyj_voin";"30";"Max";"0.0414635774854777"
"drugoj_voin";"30";"SRIC_EX";"0.0169804470494701"
"drugoj_voin";"30";"Max";"0.0414635774854777"
"oleg";"30";"SRIC_EX";"0.202638640411983"
"oleg";"30";"Max";"0.189957935501102"
"rostislav";"30";"SRIC_EX";"0.237292789890021"
"rostislav";"30";"Max";"0.189957935501102"
"voin";"30";"SRIC_EX";"0.00244688797592108"
"voin";"30";"Max";"0.0300460706416505"
"vitozar";"30";"SRIC_EX";"0.00222444361447371"
"vitozar";"30";"Max";"0.0300460706416505"
"vozved";"30";"SRIC_EX";"0"
"vozved";"30";"Max";"0"
"semira";"50";"SRIC_EX";"0.330779834149797"
"semira";"50";"Max";"0.232834127256179"
"izbrana";"50";"SRIC_EX";"0.0324626387269495"
"izbrana";"50";"Max";"0.120388647888323"
"oskold";"50";"SRIC_EX";"0.155326421515637"
"oskold";"50";"Max";"0.138414439545632"
"pervyj_voin";"50";"SRIC_EX";"0.0169361023057622"
"pervyj_voin";"50";"Max";"0.0389711705535396"
"drugoj_voin";"50";"SRIC_EX";"0.0169361023057622"
"drugoj_voin";"50";"Max";"0.0389711705535396"
"oleg";"50";"SRIC_EX";"0.207340157151005"
"oleg";"50";"Max";"0.184158579685819"
"rostislav";"50";"SRIC_EX";"0.234122756230586"
"rostislav";"50";"Max";"0.195269559461472"
"voin";"50";"SRIC_EX";"0.00383176364340085"
"voin";"50";"Max";"0.0254961525277479"
"vitozar";"50";"SRIC_EX";"0.0022642239711005"
"vitozar";"50";"Max";"0.0254961525277479"
"vozved";"50";"SRIC_EX";"0"
"vozved";"50";"Max";"0"
"semira";"70";"SRIC_EX";"0.355955101014821"
"semira";"70";"Max";"0.258662035395858"
"izbrana";"70";"SRIC_EX";"0.0336293840559276"
"izbrana";"70";"Max";"0.108731593826429"
"oskold";"70";"SRIC_EX";"0.0694190719766167"
"oskold";"70";"Max";"0.117638647676868"
"pervyj_voin";"70";"SRIC_EX";"0.0184422762393548"
"pervyj_voin";"70";"Max";"0.0382437315491422"
"drugoj_voin";"70";"SRIC_EX";"0.0184422762393548"
"drugoj_voin";"70";"Max";"0.0382437315491422"
"oleg";"70";"SRIC_EX";"0.248807523326987"
"oleg";"70";"Max";"0.188072888894185"
"rostislav";"70";"SRIC_EX";"0.248727823485996"
"rostislav";"70";"Max";"0.203042101468919"
"voin";"70";"SRIC_EX";"0.00328827183047132"
"voin";"70";"Max";"0.023682634819729"
"vitozar";"70";"SRIC_EX";"0.00328827183047132"
"vitozar";"70";"Max";"0.023682634819729"
"vozved";"70";"SRIC_EX";"0"
"vozved";"70";"Max";"0"
