"Element";"Quota";"Centrality";"Value"
"gostomysl";"30";"SRIC_EX";"0.197566748589859"
"gostomysl";"30";"Max";"0.274509803921569"
"ilmena";"30";"SRIC_EX";"0.458633193863319"
"ilmena";"30";"Max";"0.2296918767507"
"truvor";"30";"SRIC_EX";"0.299138159854825"
"truvor";"30";"Max";"0.263305322128852"
"sinav";"30";"SRIC_EX";"0.0414360912403833"
"sinav";"30";"Max";"0.148459383753501"
"vestnik";"30";"SRIC_EX";"0.0032258064516129"
"vestnik";"30";"Max";"0.0840336134453782"
"pazh";"30";"SRIC_EX";"0"
"pazh";"30";"Max";"0"
"gostomysl";"50";"SRIC_EX";"0.181144717997681"
"gostomysl";"50";"Max";"0.25279607783055"
"ilmena";"50";"SRIC_EX";"0.536290322580645"
"ilmena";"50";"Max";"0.32020836525203"
"truvor";"50";"SRIC_EX";"0.203437222942099"
"truvor";"50";"Max";"0.264593228129309"
"sinav";"50";"SRIC_EX";"0.0791277364795745"
"sinav";"50";"Max";"0.162402328788111"
"vestnik";"50";"SRIC_EX";"0"
"vestnik";"50";"Max";"0"
"pazh";"50";"SRIC_EX";"0"
"pazh";"50";"Max";"0"
"gostomysl";"70";"SRIC_EX";"0.224130998615451"
"gostomysl";"70";"Max";"0.232587849821144"
"ilmena";"70";"SRIC_EX";"0.382199175841676"
"ilmena";"70";"Max";"0.33667534107159"
"truvor";"70";"SRIC_EX";"0.343405730914561"
"truvor";"70";"Max";"0.265896276447273"
"sinav";"70";"SRIC_EX";"0.046182782329434"
"sinav";"70";"Max";"0.126702137253134"
"vestnik";"70";"SRIC_EX";"0.00408131229887764"
"vestnik";"70";"Max";"0.0381383954068597"
"pazh";"70";"SRIC_EX";"0"
"pazh";"70";"Max";"0"
