"Element";"Quota";"Centrality";"Value"
"mihajlo_nagoj";"30";"SRIC_EX";"0.03063471362663"
"mihajlo_nagoj";"30";"Max";"0.0348511307298317"
"saltykov";"30";"SRIC_EX";"0.0129304335958005"
"saltykov";"30";"Max";"0.0198332946206204"
"golitsyn";"30";"SRIC_EX";"0.0129304335958005"
"golitsyn";"30";"Max";"0.0198332946206204"
"scherbatyj";"30";"SRIC_EX";"0.00474338255206773"
"scherbatyj";"30";"Max";"0.0122051045587611"
"zaharin";"30";"SRIC_EX";"0.0546444262317615"
"zaharin";"30";"Max";"0.0457175707682791"
"mstislavskij";"30";"SRIC_EX";"0.0804043566217324"
"mstislavskij";"30";"Max";"0.0522875211786828"
"bojare";"30";"SRIC_EX";"0.029076573258152"
"bojare";"30";"Max";"0.033988499966962"
"belskij";"30";"SRIC_EX";"0.10269012881147"
"belskij";"30";"Max";"0.0569719452983271"
"shujskij";"30";"SRIC_EX";"0.0858736128914652"
"shujskij";"30";"Max";"0.0527871680138464"
"trubetskoj";"30";"SRIC_EX";"0.0129304335958005"
"trubetskoj";"30";"Max";"0.0198332946206204"
"sheremetev";"30";"SRIC_EX";"0.0129304335958005"
"sheremetev";"30";"Max";"0.0198332946206204"
"tatischev";"30";"SRIC_EX";"0.00474338255206773"
"tatischev";"30";"Max";"0.0122051045587611"
"sitskij";"30";"SRIC_EX";"0.00474338255206773"
"sitskij";"30";"Max";"0.0122051045587611"
"boris_godunov";"30";"SRIC_EX";"0.145970210137989"
"boris_godunov";"30";"Max";"0.0705575345445431"
"grigorij_nagoj";"30";"SRIC_EX";"0.0256608311232524"
"grigorij_nagoj";"30";"Max";"0.0325013139541288"
"bitjagovskij";"30";"SRIC_EX";"0.0270055104586839"
"bitjagovskij";"30";"Max";"0.0281155383427819"
"sluga";"30";"SRIC_EX";"0.00116834551783854"
"sluga";"30";"Max";"0.0106478617881414"
"tsaritsa";"30";"SRIC_EX";"0.0180919538907923"
"tsaritsa";"30";"Max";"0.0211523382202326"
"fedor_ivanovich";"30";"SRIC_EX";"0.0234411006290528"
"fedor_ivanovich";"30";"Max";"0.0262583843863612"
"kriki_na_ploschadi";"30";"SRIC_EX";"0.001308286864523"
"kriki_na_ploschadi";"30";"Max";"0.0105638475935008"
"ioann";"30";"SRIC_EX";"0.0611251747551083"
"ioann";"30";"Max";"0.0448325617397066"
"stolnik_1";"30";"SRIC_EX";"0.000739540478159527"
"stolnik_1";"30";"Max";"0.00844535862322399"
"sennaja_devushka";"30";"SRIC_EX";"0.0026887121027007"
"sennaja_devushka";"30";"Max";"0.00808723614052971"
"dvoretskij_aleksandrovoj_slobody";"30";"SRIC_EX";"0.000466755345484849"
"dvoretskij_aleksandrovoj_slobody";"30";"Max";"0.00760178304495689"
"shut";"30";"SRIC_EX";"0.00152004206560583"
"shut";"30";"Max";"0.00979335135477688"
"skomorohi";"30";"SRIC_EX";"0.00304377562411908"
"skomorohi";"30";"Max";"0.0102199401221287"
"jakobi";"30";"SRIC_EX";"0.00344327828537887"
"jakobi";"30";"Max";"0.010608324776166"
"elms";"30";"SRIC_EX";"0.00197686902939927"
"elms";"30";"Max";"0.00775016040821199"
"dvoretskij_kremlevskogo_dvortsa";"30";"SRIC_EX";"0.000999552011136781"
"dvoretskij_kremlevskogo_dvortsa";"30";"Max";"0.0037374633398501"
"bojarin";"30";"SRIC_EX";"0.000294087113478983"
"bojarin";"30";"Max";"0.0060470228818042"
"tsarevna_irina";"30";"SRIC_EX";"0.00995893010569796"
"tsarevna_irina";"30";"Max";"0.0134139635099058"
"streletskij_golova";"30";"SRIC_EX";"0.0021998195919725"
"streletskij_golova";"30";"Max";"0.00717556496025319"
"streletskij_sotnik";"30";"SRIC_EX";"0.0021998195919725"
"streletskij_sotnik";"30";"Max";"0.00717556496025319"
"marija_godunova";"30";"SRIC_EX";"0.00336366447806746"
"marija_godunova";"30";"Max";"0.0108339656101395"
"pervyj_volhv";"30";"SRIC_EX";"0.00293820698012356"
"pervyj_volhv";"30";"Max";"0.00546513501805281"
"vtoroj_volhv";"30";"SRIC_EX";"0.00293820698012356"
"vtoroj_volhv";"30";"Max";"0.00546513501805281"
"dvoretskij_godunova";"30";"SRIC_EX";"0.000558904121146691"
"dvoretskij_godunova";"30";"Max";"0.00797796672104636"
"gonets";"30";"SRIC_EX";"0.000250351187515073"
"gonets";"30";"Max";"0.00516725202412355"
"garaburda";"30";"SRIC_EX";"5.53107640597037e-05"
"garaburda";"30";"Max";"0.00376369943200395"
"shimnik";"30";"SRIC_EX";"5.53107640597037e-05"
"shimnik";"30";"Max";"0.00376369943200395"
"kikin";"30";"SRIC_EX";"0.015764742082334"
"kikin";"30";"Max";"0.0137739056846968"
"odin_iz_naroda_4";"30";"SRIC_EX";"0.00732703240706322"
"odin_iz_naroda_4";"30";"Max";"0.00887768868085561"
"drugoj_iz_naroda_4";"30";"SRIC_EX";"0.00732703240706322"
"drugoj_iz_naroda_4";"30";"Max";"0.00887768868085561"
"tretij_iz_naroda_4";"30";"SRIC_EX";"0.00732703240706322"
"tretij_iz_naroda_4";"30";"Max";"0.00887768868085561"
"chetvertyj_iz_naroda_4";"30";"SRIC_EX";"0.00732703240706322"
"chetvertyj_iz_naroda_4";"30";"Max";"0.00887768868085561"
"pjatyj_iz_naroda_4";"30";"SRIC_EX";"0.00732703240706322"
"pjatyj_iz_naroda_4";"30";"Max";"0.00887768868085561"
"narod";"30";"SRIC_EX";"0.0197404966214816"
"narod";"30";"Max";"0.0163455367404675"
"odin_iz_naroda_5";"30";"SRIC_EX";"0.00732703240706322"
"odin_iz_naroda_5";"30";"Max";"0.00887768868085561"
"drugoj_iz_naroda_5";"30";"SRIC_EX";"0.00732703240706322"
