"Element";"Quota";"Centrality";"Value"
"saltykov";"30";"SRIC_EX";"0.00915113769644235"
"saltykov";"30";"Max";"0.0244938107778821"
"voejkov";"30";"SRIC_EX";"0"
"voejkov";"30";"Max";"0.00744583775063701"
"boris_godunov";"30";"SRIC_EX";"0.190432705767035"
"boris_godunov";"30";"Max";"0.0592364567880202"
"bojare";"30";"SRIC_EX";"0"
"bojare";"30";"Max";"0.00744583775063701"
"richard_li";"30";"SRIC_EX";"0"
"richard_li";"30";"Max";"0.00744583775063701"
"miranda";"30";"SRIC_EX";"0"
"miranda";"30";"Max";"0.00744583775063701"
"logau";"30";"SRIC_EX";"0"
"logau";"30";"Max";"0.00744583775063701"
"sapega";"30";"SRIC_EX";"0"
"sapega";"30";"Max";"0.00744583775063701"
"gendrihson";"30";"SRIC_EX";"0"
"gendrihson";"30";"Max";"0.00744583775063701"
"ljus";"30";"SRIC_EX";"0"
"ljus";"30";"Max";"0.00744583775063701"
"germers";"30";"SRIC_EX";"0"
"germers";"30";"Max";"0.00744583775063701"
"prochie";"30";"SRIC_EX";"0"
"prochie";"30";"Max";"0.00744583775063701"
"semen_godunov";"30";"SRIC_EX";"0.180448234838655"
"semen_godunov";"30";"Max";"0.0555988173464982"
"lachin-bek";"30";"SRIC_EX";"0"
"lachin-bek";"30";"Max";"0.00744583775063701"
"chelibej";"30";"SRIC_EX";"0"
"chelibej";"30";"Max";"0.00744583775063701"
"arhimandrit_kirill";"30";"SRIC_EX";"0"
"arhimandrit_kirill";"30";"Max";"0.00744583775063701"
"tsaritsa_marija";"30";"SRIC_EX";"0.0611910893890126"
"tsaritsa_marija";"30";"Max";"0.034660663785638"
"ksenija";"30";"SRIC_EX";"0.150106724016605"
"ksenija";"30";"Max";"0.0477377503938503"
"golosa_1-1";"30";"SRIC_EX";"0"
"golosa_1-1";"30";"Max";"0.00744583775063701"
"streletskij_golova";"30";"SRIC_EX";"0"
"streletskij_golova";"30";"Max";"0.00744583775063701"
"narod_1-1";"30";"SRIC_EX";"0"
"narod_1-1";"30";"Max";"0.00744583775063701"
"nischie";"30";"SRIC_EX";"0"
"nischie";"30";"Max";"0.00744583775063701"
"golitsyn";"30";"SRIC_EX";"0.000811806789656787"
"golitsyn";"30";"Max";"0.0171519946624674"
"vasilij_shujskij";"30";"SRIC_EX";"0.0876981172399512"
"vasilij_shujskij";"30";"Max";"0.0456218767183149"
"basmanov";"30";"SRIC_EX";"0.000811806789656787"
"basmanov";"30";"Max";"0.0171519946624674"
"vse_5-3";"30";"SRIC_EX";"0.000811806789656787"
"vse_5-3";"30";"Max";"0.0171519946624674"
"odin_bojarin_5-3a";"30";"SRIC_EX";"0.000811806789656787"
"odin_bojarin_5-3a";"30";"Max";"0.0171519946624674"
"drugoj_bojarin_5-3a";"30";"SRIC_EX";"0.000811806789656787"
"drugoj_bojarin_5-3a";"30";"Max";"0.0171519946624674"
"golosa_5-3";"30";"SRIC_EX";"0.000811806789656787"
"golosa_5-3";"30";"Max";"0.0171519946624674"
"odin_bojarin_5-3b";"30";"SRIC_EX";"0.000811806789656787"
"odin_bojarin_5-3b";"30";"Max";"0.0171519946624674"
"drugoj_bojarin_5-3b";"30";"SRIC_EX";"0.000811806789656787"
"drugoj_bojarin_5-3b";"30";"Max";"0.0171519946624674"
"fedor";"30";"SRIC_EX";"0.170442494509691"
"fedor";"30";"Max";"0.0472212112399877"
"neskolko_golosov";"30";"SRIC_EX";"0.000811806789656787"
"neskolko_golosov";"30";"Max";"0.0171519946624674"
"kriloshanka";"30";"SRIC_EX";"0.00279329608938547"
"kriloshanka";"30";"Max";"0.00569917201369718"
"irina";"30";"SRIC_EX";"0.00279329608938547"
"irina";"30";"Max";"0.00569917201369718"
"hristian";"30";"SRIC_EX";"0.0278905631407901"
"hristian";"30";"Max";"0.0238313650094455"
"stolnik_2-1";"30";"SRIC_EX";"0.00170286341245782"
"stolnik_2-1";"30";"Max";"0.00855273529940381"
"stolnik_3-1";"30";"SRIC_EX";"0.0020027433860631"
"stolnik_3-1";"30";"Max";"0.00978361823156695"
"golk";"30";"SRIC_EX";"0.00456137682106999"
"golk";"30";"Max";"0.00851563766597104"
"brage";"30";"SRIC_EX";"0.00456137682106999"
"brage";"30";"Max";"0.00851563766597104"
"marfa";"30";"SRIC_EX";"0"
"marfa";"30";"Max";"0.00536902778641393"
"vrach";"30";"SRIC_EX";"0.00348433823264704"
"vrach";"30";"Max";"0.00826319541495168"
"stolnik_4-3";"30";"SRIC_EX";"0.00348433823264704"
"stolnik_4-3";"30";"Max";"0.00826319541495168"
"pervyj_chasovoj";"30";"SRIC_EX";"0.00558659217877095"
"pervyj_chasovoj";"30";"Max";"0.00643661237246506"
"vtoroj_chasovoj";"30";"SRIC_EX";"0.00558659217877095"
"vtoroj_chasovoj";"30";"Max";"0.00643661237246506"
"kleshnin";"30";"SRIC_EX";"0.00558659217877095"
"kleshnin";"30";"Max";"0.00643661237246506"
"spalnik";"30";"SRIC_EX";"0.000563568349844381"
"spalnik";"30";"Max";"0.00657393700337665"
"fedor_nikitich";"30";"SRIC_EX";"0.0111731843575419"
"fedor_nikitich";"30";"Max";"0.00830741748432915"
"cherkasskij";"30";"SRIC_EX";"0.0111731843575419"
"cherkasskij";"30";"Max";"0.00830741748432915"
"sitskij";"30";"SRIC_EX";"0.0111731843575419"
"sitskij";"30";"Max";"0.00830741748432915"
"aleksandr_nikitich";"30";"SRIC_EX";"0.0111731843575419"
"aleksandr_nikitich";"30";"Max";"0.00830741748432915"
"repnin";"30";"SRIC_EX";"0.0111731843575419"
"repnin";"30";"Max";"0.00830741748432915"
"vlasev";"30";"SRIC_EX";"0.00558659217877095"
"vlasev";"30";"Max";"0.00564025413887954"
"dementevna";"30";"SRIC_EX";"0.00558659217877095"
"dementevna";"30";"Max";"0.00564025413887954"
"volohova";"30";"SRIC_EX";"0.00558659217877095"
"volohova";"30";"Max";"0.00564025413887954"
"glavnyj_syschik";"30";"SRIC_EX";"0"
"glavnyj_syschik";"30";"Max";"0"
"vtoroj_syschik";"30";"SRIC_EX";"0"
"vtoroj_syschik";"30";"Max";"0"
"odin_posadskij";"30";"SRIC_EX";"0"
"odin_posadskij";"30";"Max";"0"
"drugoj_posadskij";"30";"SRIC_EX";"0"
"drugoj_posadskij";"30";"Max";"0"
"tretij_posadskij";"30";"SRIC_EX";"0"
"tretij_posadskij";"30";"Max";"0"
"syschik";"30";"SRIC_EX";"0"
"syschik";"30";"Max";"0"
"odin_4-1a";"30";"SRIC_EX";"0"
"odin_4-1a";"30";"Max";"0"
"drugoj_4-1a";"30";"SRIC_EX";"0"
"drugoj_4-1a";"30";"Max";"0"
"tretij_4-1a";"30";"SRIC_EX";"0"
"tretij_4-1a";"30";"Max";"0"
"chetvertyj_4-1a";"30";"SRIC_EX";"0"
"chetvertyj_4-1a";"30";"Max";"0"
"pjatyj_4-1a";"30";"SRIC_EX";"0"
"pjatyj_4-1a";"30";"Max";"0"
"odna_baba";"30";"SRIC_EX";"0"
"odna_baba";"30";"Max";"0"
"vtoraja_baba";"30";"SRIC_EX";"0"
"vtoraja_baba";"30";"Max";"0"
"tretja_baba";"30";"SRIC_EX";"0"
"tretja_baba";"30";"Max";"0"
"chetvertaja_baba";"30";"SRIC_EX";"0"
"chetvertaja_baba";"30";"Max";"0"
"pervyj_muzhik";"30";"SRIC_EX";"0"
"pervyj_muzhik";"30";"Max";"0"
"vtoroj_muzhik";"30";"SRIC_EX";"0"
"vtoroj_muzhik";"30";"Max";"0"
"kupets";"30";"SRIC_EX";"0"
"kupets";"30";"Max";"0"
"posadskie";"30";"SRIC_EX";"0"
"posadskie";"30";"Max";"0"
"narod_4-1";"30";"SRIC_EX";"0"
"narod_4-1";"30";"Max";"0"
"pristav";"30";"SRIC_EX";"0"
"pristav";"30";"Max";"0"
"odin_iz_naroda";"30";"SRIC_EX";"0"
"odin_iz_naroda";"30";"Max";"0"
"drugoj_iz_naroda";"30";"SRIC_EX";"0"
"drugoj_iz_naroda";"30";"Max";"0"
"tretij_iz_naroda";"30";"SRIC_EX";"0"
"tretij_iz_naroda";"30";"Max";"0"
"odin_4-1b";"30";"SRIC_EX";"0"
"odin_4-1b";"30";"Max";"0"
"drugoj_4-1b";"30";"SRIC_EX";"0"
"drugoj_4-1b";"30";"Max";"0"
"tretij_4-1b";"30";"SRIC_EX";"0"
"tretij_4-1b";"30";"Max";"0"
"odin_4-1c";"30";"SRIC_EX";"0"
"odin_4-1c";"30";"Max";"0"
"drugoj_4-1c";"30";"SRIC_EX";"0"
"drugoj_4-1c";"30";"Max";"0"
"tretij_4-1c";"30";"SRIC_EX";"0"
"tretij_4-1c";"30";"Max";"0"
"chetvertyj_4-1c";"30";"SRIC_EX";"0"
"chetvertyj_4-1c";"30";"Max";"0"
"pjatyj_4-1c";"30";"SRIC_EX";"0"
"pjatyj_4-1c";"30";"Max";"0"
"hlopko";"30";"SRIC_EX";"0"
"hlopko";"30";"Max";"0.0151765225834431"
"resheto";"30";"SRIC_EX";"0"
"resheto";"30";"Max";"0.0151765225834431"
"nakovalnja";"30";"SRIC_EX";"0"
"nakovalnja";"30";"Max";"0.0151765225834431"
"golosa_2-3";"30";"SRIC_EX";"0"
"golosa_2-3";"30";"Max";"0.0151765225834431"
"krestjane";"30";"SRIC_EX";"0"
"krestjane";"30";"Max";"0.0151765225834431"
"odin_krestjanin";"30";"SRIC_EX";"0"
"odin_krestjanin";"30";"Max";"0.0151765225834431"
"drugoj_krestjanin";"30";"SRIC_EX";"0"
"drugoj_krestjanin";"30";"Max";"0.0151765225834431"
"posadskij";"30";"SRIC_EX";"0"
"posadskij";"30";"Max";"0.0151765225834431"
"razbojniki";"30";"SRIC_EX";"0"
"razbojniki";"30";"Max";"0.0151765225834431"
"odin_razbojnik_2-3a";"30";"SRIC_EX";"0"
"odin_razbojnik_2-3a";"30";"Max";"0.0151765225834431"
"mitka";"30";"SRIC_EX";"0"
"mitka";"30";"Max";"0.0151765225834431"
"misail";"30";"SRIC_EX";"0"
"misail";"30";"Max";"0.0151765225834431"
"grigorij";"30";"SRIC_EX";"0"
"grigorij";"30";"Max";"0.0151765225834431"
"kriki";"30";"SRIC_EX";"0"
"kriki";"30";"Max";"0.0151765225834431"
"odin_razbojnik_2-3b";"30";"SRIC_EX";"0"
"odin_razbojnik_2-3b";"30";"Max";"0.0151765225834431"
"saltykov";"50";"SRIC_EX";"0"
"saltykov";"50";"Max";"0.00900535761782326"
"voejkov";"50";"SRIC_EX";"0"
"voejkov";"50";"Max";"0"
"boris_godunov";"50";"SRIC_EX";"0.145709397209792"
"boris_godunov";"50";"Max";"0.133940445581549"
"bojare";"50";"SRIC_EX";"0"
"bojare";"50";"Max";"0"
"richard_li";"50";"SRIC_EX";"0"
"richard_li";"50";"Max";"0"
"miranda";"50";"SRIC_EX";"0"
"miranda";"50";"Max";"0"
"logau";"50";"SRIC_EX";"0"
"logau";"50";"Max";"0"
"sapega";"50";"SRIC_EX";"0"
"sapega";"50";"Max";"0"
"gendrihson";"50";"SRIC_EX";"0"
"gendrihson";"50";"Max";"0"
"ljus";"50";"SRIC_EX";"0"
"ljus";"50";"Max";"0"
"germers";"50";"SRIC_EX";"0"
"germers";"50";"Max";"0"
"prochie";"50";"SRIC_EX";"0"
"prochie";"50";"Max";"0"
"semen_godunov";"50";"SRIC_EX";"0.148144248486444"
"semen_godunov";"50";"Max";"0.13713221790179"
"lachin-bek";"50";"SRIC_EX";"0"
"lachin-bek";"50";"Max";"0"
"chelibej";"50";"SRIC_EX";"0"
"chelibej";"50";"Max";"0"
"arhimandrit_kirill";"50";"SRIC_EX";"0"
"arhimandrit_kirill";"50";"Max";"0"
"tsaritsa_marija";"50";"SRIC_EX";"0.0490260594893393"
"tsaritsa_marija";"50";"Max";"0.0486576401994436"
"ksenija";"50";"SRIC_EX";"0.0853645696235852"
"ksenija";"50";"Max";"0.0857598824617177"
"golosa_1-1";"50";"SRIC_EX";"0"
"golosa_1-1";"50";"Max";"0"
"streletskij_golova";"50";"SRIC_EX";"0"
"streletskij_golova";"50";"Max";"0"
"narod_1-1";"50";"SRIC_EX";"0"
"narod_1-1";"50";"Max";"0"
"nischie";"50";"SRIC_EX";"0"
"nischie";"50";"Max";"0"
"golitsyn";"50";"SRIC_EX";"0"
"golitsyn";"50";"Max";"0.00900535761782326"
"vasilij_shujskij";"50";"SRIC_EX";"0.10539615688339"
"vasilij_shujskij";"50";"Max";"0.0978852397417873"
"basmanov";"50";"SRIC_EX";"0"
"basmanov";"50";"Max";"0.00900535761782326"
"vse_5-3";"50";"SRIC_EX";"0"
"vse_5-3";"50";"Max";"0.00900535761782326"
"odin_bojarin_5-3a";"50";"SRIC_EX";"0"
"odin_bojarin_5-3a";"50";"Max";"0.00900535761782326"
"drugoj_bojarin_5-3a";"50";"SRIC_EX";"0"
"drugoj_bojarin_5-3a";"50";"Max";"0.00900535761782326"
"golosa_5-3";"50";"SRIC_EX";"0"
"golosa_5-3";"50";"Max";"0.00900535761782326"
"odin_bojarin_5-3b";"50";"SRIC_EX";"0"
"odin_bojarin_5-3b";"50";"Max";"0.00900535761782326"
"drugoj_bojarin_5-3b";"50";"SRIC_EX";"0"
"drugoj_bojarin_5-3b";"50";"Max";"0.00900535761782326"
"fedor";"50";"SRIC_EX";"0.0939852592787576"
"fedor";"50";"Max";"0.0582498448444011"
"neskolko_golosov";"50";"SRIC_EX";"0"
"neskolko_golosov";"50";"Max";"0.00900535761782326"
