"Element";"Quota";"Centrality";"Value"
"andrej_shujskij";"30";"SRIC_EX";"0.0113168111055758"
"andrej_shujskij";"30";"Max";"0.0327609537658213"
"chudovskij_arhimandrit";"30";"SRIC_EX";"0.005591255116099"
"chudovskij_arhimandrit";"30";"Max";"0.0145597267984186"
"blagoveschenskij_protopop";"30";"SRIC_EX";"0.005591255116099"
"blagoveschenskij_protopop";"30";"Max";"0.0145597267984186"
"dmitrij_shujskij";"30";"SRIC_EX";"0.0113168111055758"
"dmitrij_shujskij";"30";"Max";"0.0327609537658213"
"golovin";"30";"SRIC_EX";"0.0113168111055758"
"golovin";"30";"Max";"0.0327609537658213"
"ivan_petrovich_shujskij";"30";"SRIC_EX";"0.0523438042007795"
"ivan_petrovich_shujskij";"30";"Max";"0.0542267446514499"
"vasilij_shujskij";"30";"SRIC_EX";"0.026232049756762"
"vasilij_shujskij";"30";"Max";"0.0310007883494143"
"bojare";"30";"SRIC_EX";"0.00873135842509186"
"bojare";"30";"Max";"0.0247548281246221"
"kuptsy";"30";"SRIC_EX";"0.00919540229885058"
"kuptsy";"30";"Max";"0.018567532391005"
"shahovskoj";"30";"SRIC_EX";"0.0286983708336035"
"shahovskoj";"30";"Max";"0.0423828757863693"
"volohova";"30";"SRIC_EX";"0.0133287829625082"
"volohova";"30";"Max";"0.0264203054263545"
"vse_1-1";"30";"SRIC_EX";"0.005591255116099"
"vse_1-1";"30";"Max";"0.0145597267984186"
"hvorostinin";"30";"SRIC_EX";"0.00873135842509186"
"hvorostinin";"30";"Max";"0.0247548281246221"
"starkov";"30";"SRIC_EX";"0.0107245000869818"
"starkov";"30";"Max";"0.0200212249013793"
"fedor_ivanovich";"30";"SRIC_EX";"0.140773396503586"
"fedor_ivanovich";"30";"Max";"0.0417522357552664"
"boris_godunov";"30";"SRIC_EX";"0.139719921646588"
"boris_godunov";"30";"Max";"0.0441748427113951"
"dionisij";"30";"SRIC_EX";"0.000535543821457542"
"dionisij";"30";"Max";"0.0136427935885033"
"varlaam";"30";"SRIC_EX";"0.000535543821457542"
"varlaam";"30";"Max";"0.0136427935885033"
"iov";"30";"SRIC_EX";"0.000535543821457542"
"iov";"30";"Max";"0.0136427935885033"
"irina";"30";"SRIC_EX";"0.150250501633535"
"irina";"30";"Max";"0.0458710314720793"
"kleshnin";"30";"SRIC_EX";"0.147624366515478"
"kleshnin";"30";"Max";"0.0481451252529967"
"stolnik_2-1";"30";"SRIC_EX";"0.000535543821457542"
"stolnik_2-1";"30";"Max";"0.0136427935885033"
"ivan_ivanovich_shujskij";"30";"SRIC_EX";"0.00283439439617019"
"ivan_ivanovich_shujskij";"30";"Max";"0.0207375857235167"
"vybornye";"30";"SRIC_EX";"0.000535543821457542"
"vybornye";"30";"Max";"0.0136427935885033"
"kurjukov";"30";"SRIC_EX";"0.000535543821457542"
"kurjukov";"30";"Max";"0.0136427935885033"
"krasilnikov";"30";"SRIC_EX";"0.00666178953499623"
"krasilnikov";"30";"Max";"0.0284090401246719"
"golub_syn";"30";"SRIC_EX";"0.00407633685451232"
"golub_syn";"30";"Max";"0.0186039670168379"
"golub_otets";"30";"SRIC_EX";"0.000535543821457542"
"golub_otets";"30";"Max";"0.0136427935885033"
"golos_2-1";"30";"SRIC_EX";"0.000535543821457542"
"golos_2-1";"30";"Max";"0.0136427935885033"
"knjazhna_mstislavskaja";"30";"SRIC_EX";"0.0227155299438819"
"knjazhna_mstislavskaja";"30";"Max";"0.0259330498284444"
"mstislavskij";"30";"SRIC_EX";"0.0189263484191587"
"mstislavskij";"30";"Max";"0.0250120619763925"
"vse_3-1";"30";"SRIC_EX";"0"
"vse_3-1";"30";"Max";"0.0108585820141175"
"duhovnik";"30";"SRIC_EX";"0.00283439439617019"
"duhovnik";"30";"Max";"0.00743482833634757"
"stolnik_3-2";"30";"SRIC_EX";"0.00283439439617019"
"stolnik_3-2";"30";"Max";"0.00743482833634757"
"vse_4-1";"30";"SRIC_EX";"0.000859806317313785"
"vse_4-1";"30";"Max";"0.00725402548571403"
"stolnik_4-3";"30";"SRIC_EX";"0.00480113925338216"
"stolnik_4-3";"30";"Max";"0.00718834877488451"
"sennaja_devushka";"30";"SRIC_EX";"0.00480113925338216"
"sennaja_devushka";"30";"Max";"0.00718834877488451"
"slugi";"30";"SRIC_EX";"0.00480113925338216"
"slugi";"30";"Max";"0.00718834877488451"
"posadskij_4-4a";"30";"SRIC_EX";"0"
"posadskij_4-4a";"30";"Max";"0"
"drugoj_posadskij";"30";"SRIC_EX";"0"
"drugoj_posadskij";"30";"Max";"0"
"tretij_posadskij";"30";"SRIC_EX";"0"
"tretij_posadskij";"30";"Max";"0"
"gusljar";"30";"SRIC_EX";"0"
"gusljar";"30";"Max";"0"
"odin_iz_naroda_4-4a";"30";"SRIC_EX";"0"
"odin_iz_naroda_4-4a";"30";"Max";"0"
"drugoj_iz_naroda_4-4a";"30";"SRIC_EX";"0"
"drugoj_iz_naroda_4-4a";"30";"Max";"0"
"zhenschina_4-4a";"30";"SRIC_EX";"0"
"zhenschina_4-4a";"30";"Max";"0"
"odin_4-4a";"30";"SRIC_EX";"0"
"odin_4-4a";"30";"Max";"0"
"odin_4-4b";"30";"SRIC_EX";"0"
"odin_4-4b";"30";"Max";"0"
"drugoj_4-4a";"30";"SRIC_EX";"0"
"drugoj_4-4a";"30";"Max";"0"
"zhenschina_4-4b";"30";"SRIC_EX";"0"
"zhenschina_4-4b";"30";"Max";"0"
"odin_4-4c";"30";"SRIC_EX";"0"
"odin_4-4c";"30";"Max";"0"
"odin_4-4d";"30";"SRIC_EX";"0"
"odin_4-4d";"30";"Max";"0"
"odin_4-4e";"30";"SRIC_EX";"0"
"odin_4-4e";"30";"Max";"0"
"drugoj_4-4b";"30";"SRIC_EX";"0"
"drugoj_4-4b";"30";"Max";"0"
"vse_4-4";"30";"SRIC_EX";"0"
"vse_4-4";"30";"Max";"0"
"odin_4-4f";"30";"SRIC_EX";"0"
"odin_4-4f";"30";"Max";"0"
"drugoj_4-4c";"30";"SRIC_EX";"0"
"drugoj_4-4c";"30";"Max";"0"
"gonets_4-4";"30";"SRIC_EX";"0"
"gonets_4-4";"30";"Max";"0"
"posadskij_4-4b";"30";"SRIC_EX";"0"
"posadskij_4-4b";"30";"Max";"0"
"odin_4-4g";"30";"SRIC_EX";"0"
"odin_4-4g";"30";"Max";"0"
"zhenschina_4-4c";"30";"SRIC_EX";"0"
"zhenschina_4-4c";"30";"Max";"0"
"tretij_4-4";"30";"SRIC_EX";"0"
"tretij_4-4";"30";"Max";"0"
"chetvertyj_4-4";"30";"SRIC_EX";"0"
"chetvertyj_4-4";"30";"Max";"0"
"narod";"30";"SRIC_EX";"0"
"narod";"30";"Max";"0"
"golosa_v_narode";"30";"SRIC_EX";"0"
"golosa_v_narode";"30";"Max";"0"
"turenin";"30";"SRIC_EX";"0.0309857209695266"
"turenin";"30";"Max";"0.0244128628115447"
"odin_iz_naroda_4-4b";"30";"SRIC_EX";"0"
"odin_iz_naroda_4-4b";"30";"Max";"0"
"drugoj_iz_naroda_4-4b";"30";"SRIC_EX";"0"
"drugoj_iz_naroda_4-4b";"30";"Max";"0"
"govor_v_narode";"30";"SRIC_EX";"0"
"govor_v_narode";"30";"Max";"0"
"sluga_v_tsarskom_tereme";"30";"SRIC_EX";"0.000401657866093157"
"sluga_v_tsarskom_tereme";"30";"Max";"0.00807494896403691"
"sluga_godunova";"30";"SRIC_EX";"0.000267771910728771"
"sluga_godunova";"30";"Max";"0.00739076363359747"
"stremjannyj";"30";"SRIC_EX";"0.000535543821457542"
"stremjannyj";"30";"Max";"0.00907350249183182"
"pervyj_nischij";"30";"SRIC_EX";"0.0143286472697334"
"pervyj_nischij";"30";"Max";"0.0149468790834637"
"slepoj";"30";"SRIC_EX";"0.0143286472697334"
"slepoj";"30";"Max";"0.0149468790834637"
"drugoj_nischij";"30";"SRIC_EX";"0.0143286472697334"
"drugoj_nischij";"30";"Max";"0.0149468790834637"
"chetvertyj_nischij";"30";"SRIC_EX";"0.0143286472697334"
"chetvertyj_nischij";"30";"Max";"0.0149468790834637"
"vse_5-2";"30";"SRIC_EX";"0.0143286472697334"
"vse_5-2";"30";"Max";"0.0149468790834637"
"gonets_5-2";"30";"SRIC_EX";"0.0143286472697334"
"gonets_5-2";"30";"Max";"0.0149468790834637"
"ratnik";"30";"SRIC_EX";"0.0143286472697334"
"ratnik";"30";"Max";"0.0149468790834637"
"andrej_shujskij";"50";"SRIC_EX";"0"
"andrej_shujskij";"50";"Max";"0"
"chudovskij_arhimandrit";"50";"SRIC_EX";"0"
"chudovskij_arhimandrit";"50";"Max";"0"
"blagoveschenskij_protopop";"50";"SRIC_EX";"0"
"blagoveschenskij_protopop";"50";"Max";"0"
"dmitrij_shujskij";"50";"SRIC_EX";"0"
"dmitrij_shujskij";"50";"Max";"0"
"golovin";"50";"SRIC_EX";"0"
