"Element";"Quota";"Centrality";"Value"
"petr";"30";"SRIC_EX";"0.0352901773911423"
"petr";"30";"Max";"0.0666066040928965"
"nikita";"30";"SRIC_EX";"0.251216929018837"
"nikita";"30";"Max";"0.145079515923405"
"akulina";"30";"SRIC_EX";"0.0647395860289411"
"akulina";"30";"Max";"0.0825652611232722"
"anisja";"30";"SRIC_EX";"0.26175219444732"
"anisja";"30";"Max";"0.146539325456737"
"anjutka";"30";"SRIC_EX";"0.0527550872966125"
"anjutka";"30";"Max";"0.0659770748285789"
"akim";"30";"SRIC_EX";"0.0716539779998824"
"akim";"30";"Max";"0.0795536413137191"
"matrena";"30";"SRIC_EX";"0.170875571900109"
"matrena";"30";"Max";"0.132293123524308"
"marina";"30";"SRIC_EX";"0.00828413495460511"
"marina";"30";"Max";"0.0276165719702184"
"mitrich";"30";"SRIC_EX";"0.0299491397395378"
"mitrich";"30";"Max";"0.0544089210727528"
"muzh_mariny";"30";"SRIC_EX";"0.00147531670054061"
"muzh_mariny";"30";"Max";"0.0113738354973851"
"svaha";"30";"SRIC_EX";"0.0085342240814943"
"svaha";"30";"Max";"0.0203616129646273"
"urjadnik";"30";"SRIC_EX";"0.00722395496909654"
"urjadnik";"30";"Max";"0.0214598921154956"
"starosta";"30";"SRIC_EX";"0.00135839936222931"
"starosta";"30";"Max";"0.0108945608468924"
"marfa";"30";"SRIC_EX";"0.000193799601862115"
"marfa";"30";"Max";"0.0102761456093486"
"kuma";"30";"SRIC_EX";"0.0100471397173449"
"kuma";"30";"Max";"0.0327419511938402"
"golos_muzhika";"30";"SRIC_EX";"0.000964636208120459"
"golos_muzhika";"30";"Max";"0.0106962108673358"
"izvozchik";"30";"SRIC_EX";"0.00372550741118196"
"izvozchik";"30";"Max";"0.0108595984372885"
"druzhko";"30";"SRIC_EX";"0.00372550741118196"
"druzhko";"30";"Max";"0.0108595984372885"
"odin_golos_iz_naroda";"30";"SRIC_EX";"1.84786264930887e-05"
"odin_golos_iz_naroda";"30";"Max";"0.00898745484869963"
"svat";"30";"SRIC_EX";"0.00227073087874534"
"svat";"30";"Max";"0.00991932755351324"
"golos_baby_iz_senej";"30";"SRIC_EX";"0.00227073087874534"
"golos_baby_iz_senej";"30";"Max";"0.00991932755351324"
"pervaja_devka";"30";"SRIC_EX";"0.00556975894813733"
"pervaja_devka";"30";"Max";"0.0108501503988725"
"vtoraja_devka";"30";"SRIC_EX";"0.00556975894813733"
"vtoraja_devka";"30";"Max";"0.0108501503988725"
"sosedka";"30";"SRIC_EX";"0.000535257479701924"
"sosedka";"30";"Max";"0.00931014397113906"
"petr";"50";"SRIC_EX";"0.0383373435235175"
"petr";"50";"Max";"0.0669415200998096"
"nikita";"50";"SRIC_EX";"0.252003555782009"
"nikita";"50";"Max";"0.153455282275152"
"akulina";"50";"SRIC_EX";"0.0578044788000273"
"akulina";"50";"Max";"0.0797747928721313"
