"Element";"Quota";"Centrality";"Value"
"njanja";"30";"SRIC_EX";"0.000923316447613123"
"njanja";"30";"Max";"0.00941051798853784"
"anna_pavlovna";"30";"SRIC_EX";"0.0489035974284019"
"anna_pavlovna";"30";"Max";"0.0414201523212787"
"sasha";"30";"SRIC_EX";"0.0447640103897152"
"sasha";"30";"Max";"0.0420952765004539"
"gornichnaja";"30";"SRIC_EX";"0.00328356489481809"
"gornichnaja";"30";"Max";"0.0159120912159153"
"karenin";"30";"SRIC_EX";"0.143542313646452"
"karenin";"30";"Max";"0.0732021437042759"
"liza";"30";"SRIC_EX";"0.171122525546977"
"liza";"30";"Max";"0.0758347033966571"
"doktor";"30";"SRIC_EX";"0.0022150380095723"
"doktor";"30";"Max";"0.0114195869881835"
"fedja";"30";"SRIC_EX";"0.142149959608906"
"fedja";"30";"Max";"0.0745578512877949"
"muzykant";"30";"SRIC_EX";"0.0166251890972467"
"muzykant";"30";"Max";"0.0246024026090405"
"afremov";"30";"SRIC_EX";"0.0915057164140779"
"afremov";"30";"Max";"0.0487994072009364"
"masha";"30";"SRIC_EX";"0.0371063694508408"
"masha";"30";"Max";"0.0362462222161834"
"anna_dmitrievna";"30";"SRIC_EX";"0.0492267542734444"
"anna_dmitrievna";"30";"Max";"0.0522306313161213"
"knjaz_abrezkov";"30";"SRIC_EX";"0.0260321586443492"
"knjaz_abrezkov";"30";"Max";"0.0502218386476262"
"lakej_3-1-5";"30";"SRIC_EX";"0.00233923327454402"
"lakej_3-1-5";"30";"Max";"0.0128200804374368"
"lakej_4-2-3";"30";"SRIC_EX";"0.000174552892630457"
"lakej_4-2-3";"30";"Max";"0.00889621179917298"
"voznesenskij";"30";"SRIC_EX";"0.000753112171538932"
"voznesenskij";"30";"Max";"0.0176031704591702"
"marja_vasilevna";"30";"SRIC_EX";"0.0036121172942438"
"marja_vasilevna";"30";"Max";"0.0183397951687933"
"sudebnyj_sledovatel";"30";"SRIC_EX";"0.00675206612216251"
"sudebnyj_sledovatel";"30";"Max";"0.0186917803964805"
"malchik";"30";"SRIC_EX";"0.00127025483587663"
"malchik";"30";"Max";"0.0107637722906229"
"tsygan";"30";"SRIC_EX";"0.0124502580837966"
"tsygan";"30";"Max";"0.0178698637183292"
"ofitser";"30";"SRIC_EX";"0.012832373134279"
"ofitser";"30";"Max";"0.016316596211659"
"tsyganka";"30";"SRIC_EX";"0.00994810462501046"
"tsyganka";"30";"Max";"0.0141897730730849"
"korotkov";"30";"SRIC_EX";"0.0335926253984895"
"korotkov";"30";"Max";"0.0302527006584715"
"stahovich";"30";"SRIC_EX";"0.0335926253984895"
"stahovich";"30";"Max";"0.0302527006584715"
"lakej_2-2-2";"30";"SRIC_EX";"0.00147661245850025"
"lakej_2-2-2";"30";"Max";"0.0095526330773078"
"butkevich";"30";"SRIC_EX";"0.00523401005467344"
"butkevich";"30";"Max";"0.0209361959191631"
"nastasja_ivanovna";"30";"SRIC_EX";"0.00499403438050227"
"nastasja_ivanovna";"30";"Max";"0.0138298685990113"
"ivan_makarovich";"30";"SRIC_EX";"0.00499403438050227"
"ivan_makarovich";"30";"Max";"0.0138298685990113"
"polovoj";"30";"SRIC_EX";"0.00950754488578517"
"polovoj";"30";"Max";"0.0180605574863689"
"ivan_petrovich";"30";"SRIC_EX";"0.0339056683853752"
"ivan_petrovich";"30";"Max";"0.0361104998126879"
"petushkov";"30";"SRIC_EX";"0.0127933889346662"
"petushkov";"30";"Max";"0.0214339037050912"
"artemev";"30";"SRIC_EX";"0.00457898080180689"
"artemev";"30";"Max";"0.0115527061500477"
"dama";"30";"SRIC_EX";"0.00358551350886844"
"dama";"30";"Max";"0.0124481707228305"
"petrushin";"30";"SRIC_EX";"0.000428391053391053"
"petrushin";"30";"Max";"0.00719101270810566"
"sudejskij";"30";"SRIC_EX";"0.000428391053391053"
"sudejskij";"30";"Max";"0.00719101270810566"
"lakej_3-1-2";"30";"SRIC_EX";"0.000744537446314932"
"lakej_3-1-2";"30";"Max";"0.00937301782947893"
"molodoj_advokat";"30";"SRIC_EX";"0.00471161536523144"
"molodoj_advokat";"30";"Max";"0.0248821878989278"
"kurer";"30";"SRIC_EX";"0.00718515449323027"
"kurer";"30";"Max";"0.0204995421529825"
"melnikov";"30";"SRIC_EX";"0.00535714285714286"
"melnikov";"30";"Max";"0.0105797761830909"
"pismovoditel";"30";"SRIC_EX";"0.00535714285714286"
"pismovoditel";"30";"Max";"0.0105797761830909"
"njanja";"50";"SRIC_EX";"0.000900725630516511"
"njanja";"50";"Max";"0.00762981639196062"
"anna_pavlovna";"50";"SRIC_EX";"0.096524355583654"
